state,state_ansi,county,county_ansi,fips5,ag_district,ag_district_code,year,produced_soy,acres_planted,acres_harvested,production_bu,yield_bu_ac,yield_kg_ha,production_tonnes,area_harvested_ha,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja,pcp_grow,pcp_critical,pcp_summer,tmp_grow,tmp_critical,tmp_summer,tmax_critical,tmax_summer,tmp_range_crit,pcp_grow_cv,tmp_grow_sd,pdsi_critical,zndx_critical,drought_flag,severe_drought,hot_month_count,dry_month_count,heat_x_dry,pcp_grow_anom,pcp_grow_z,pcp_critical_anom,pcp_critical_z,pcp08_anom,pcp08_z,tmp_grow_anom,tmp_grow_z,tmp_critical_anom,tmp_critical_z,tmax_critical_anom,tmax_critical_z,tmax08_anom,tmax08_z,pdsi08_anom,pdsi08_z,zndx08_anom,zndx08_z,climate_normal_pcp,climate_normal_tmax,trend_slope,yield_trend,yield_anom,log_yield,n_years_county,in_balanced_panel,is_focal
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1980,1.0,500.0,500.0,9300.0,19.0,1277.7683375285155,253.10415,202.342821,0.45,1.4,3.07,3.56,4.15,4.48,44.2,57.3,62.1,68.6,64.8,53.4,2.17,1.48,30.4,42.2,43.0,30.2,81.9,75.8,77.56666666666666,-3.01,-3.27,-3.02,-3.1,-2.42,-1.71,-0.26,-1.4933333333333332,17.11,7.710000000000001,10.78,58.4,66.69999999999999,65.16666666666667,78.85,77.56666666666666,42.24999999999999,0.5602393683760043,8.792496801250483,-3.145,-0.985,1,1,0,0,20.501,-2.987424242424243,-0.7267572603630069,0.1853030303030314,0.0680468409556166,0.5140151515151521,0.2959877098258903,1.4442171717171632,0.8523051256099893,0.925757575757558,0.4508791732003187,1.2662878787878782,0.5534677503096475,-0.4136363636363711,-0.1432492141773457,-2.846742424242424,-1.2033643654978037,-0.0089393939393939,-0.0038882468209922,7.524696969696969,77.58371212121212,0.29056362765447835,21.496662941082718,-2.496662941082718,2.9444389791664403,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1981,1.0,500.0,400.0,7200.0,18.0,1210.5173723954356,195.9516,161.8742568,4.15,1.47,6.74,2.78,4.09,1.82,42.9,52.6,61.4,66.9,65.3,54.3,1.82,1.06,31.6,39.5,43.2,32.9,78.2,75.3,75.30000000000001,1.03,0.62,0.64,0.7633333333333333,0.01,-0.92,0.26,0.8033333333333333,21.05,6.869999999999999,13.61,57.23333333333334,66.1,64.53333333333335,76.75,75.30000000000001,38.7,0.5516670518789154,9.070758880417156,0.63,-0.33,0,0,0,0,-19.955,0.9525757575757544,0.2317351978446117,-0.6546969696969702,-0.240417334234847,0.4540151515151516,0.2614376337489402,0.277550505050506,0.1637965000713308,0.3257575757575637,0.1586563375418441,-0.8337121212121161,-0.3643980013256139,-0.9136363636363712,-0.3164076049411671,0.8132575757575757,0.3437772164786684,0.511060606060606,0.2222890936814736,7.524696969696969,77.58371212121212,0.29056362765447835,21.787226568737196,-3.7872265687371964,2.8903717578961645,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1982,1.0,500.0,500.0,12000.0,24.0,1614.023163193914,326.586,202.342821,1.92,4.3,2.52,4.3,2.49,4.53,37.0,56.2,57.3,67.8,63.2,54.8,2.64,1.35,25.3,44.4,44.6,37.4,79.3,75.2,74.63333333333333,1.08,1.2,0.6,0.96,1.66,0.71,-1.43,-0.6466666666666666,20.06,6.79,9.31,56.05,65.5,62.76666666666667,77.25,74.63333333333333,36.25,0.3454741833482452,10.53788403807899,0.8999999999999999,-0.36,0,0,0,1,110.4675,-0.0374242424242439,-0.0091042776948658,-0.7346969696969694,-0.2697948747291765,-1.145984848484848,-0.6598977283030563,-0.9057828282828312,-0.5345479629750307,-0.2742424242424306,-0.1335664981166303,-0.3337121212121161,-0.145858536650551,-1.0136363636363654,-0.3510392830939294,0.7732575757575757,0.3268685653095266,-1.178939393939394,-0.5127872629515406,7.524696969696969,77.58371212121212,0.29056362765447835,22.077790196391675,1.9222098036083253,3.1780538303479458,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1991,1.0,1000.0,1000.0,29000.0,29.0,1950.277988859313,789.2495,404.685642,2.28,4.59,4.57,6.25,2.18,4.81,44.3,57.1,65.1,66.3,67.9,54.8,1.7,1.04,32.0,45.9,44.7,31.6,76.5,80.1,77.7,0.66,1.85,0.99,1.1666666666666667,0.64,3.78,-2.0,0.6733333333333332,24.68,8.43,13.0,59.25000000000001,67.1,66.43333333333332,78.3,77.7,40.14999999999999,0.3857033884430221,9.01859190783129,1.42,0.8899999999999999,0,0,0,1,156.6,4.5825757575757535,1.114813274822697,0.9053030303030304,0.3324447054045846,-1.455984848484848,-0.8384064547006306,2.294217171717172,1.3539328385024496,1.3257575757575637,0.6456943969726396,0.716287878787881,0.3130743391670796,3.886363636363626,1.3459129463915174,1.1632575757575758,0.4917279142086589,-1.748939393939394,-0.7607124246561667,7.524696969696969,77.58371212121212,0.29056362765447835,24.69286284528198,4.307137154718021,3.367295829986474,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1992,1.0,1100.0,900.0,9900.0,11.0,739.7606164638773,269.43345,364.2170778,1.73,1.8,3.88,3.54,4.88,1.93,37.9,55.6,59.1,60.2,61.1,54.4,1.63,3.71,28.4,42.1,42.5,31.5,70.8,72.0,71.39999999999999,-0.99,-0.73,-0.05,-0.59,-0.99,0.5,1.81,0.6633333333333333,17.759999999999998,8.42,12.3,54.71666666666667,60.650000000000006,60.13333333333333,71.4,71.39999999999999,34.400000000000006,0.447902138625442,8.64532629035288,-0.39,1.155,0,0,0,0,-129.234,-2.3374242424242446,-0.5686303319785015,0.8953030303030305,0.3287725128427934,1.2440151515151516,0.7163469687621136,-2.239116161616167,-1.3214149635906485,-5.124242424242425,-2.4957010863559854,-6.1837121212121104,-2.702770273348784,-4.213636363636368,-1.4592529839823871,0.1232575757575757,0.0521029838109728,2.061060606060606,0.8964715509484393,7.524696969696969,77.58371212121212,0.29056362765447835,24.983426472936458,-13.983426472936458,2.3978952727983707,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1995,1.0,1800.0,1600.0,52800.0,33.0,2219.281849391632,1436.9784,647.4970272,1.51,2.74,1.35,6.07,5.97,1.99,35.5,52.2,67.3,66.4,67.7,55.1,2.22,1.35,25.7,39.9,43.2,35.2,77.5,78.6,78.6,-1.72,0.7,1.35,0.11,-0.31,2.11,2.15,-0.0200000000000001,19.63,12.04,13.39,57.366666666666674,67.05000000000001,67.13333333333333,78.05,78.6,38.85,0.6673257551800649,12.625635297547078,1.025,2.13,0,0,0,0,-167.80749999999998,-0.4674242424242436,-0.1137113226261541,4.51530303030303,1.6581062202112176,2.3340151515151515,1.3440066841600362,0.4108838383838389,0.2424832001328921,1.2757575757575808,0.6213424940011082,0.466287878787881,0.2038046068295482,2.386363636363626,0.8264377741000531,1.523257575757576,0.6439057747309349,2.401060606060606,1.0443567351231289,7.524696969696969,77.58371212121212,0.29056362765447835,25.855117355899893,7.144882644100107,3.4965075614664802,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1996,1.0,1600.0,1500.0,42000.0,28.0,1883.0270237262328,1143.051,607.028463,1.44,2.14,3.87,6.27,1.86,2.98,35.5,50.6,63.1,65.0,66.6,57.2,3.27,1.99,24.4,38.4,46.7,33.0,75.9,78.9,76.60000000000001,-0.98,1.24,-0.75,-0.1633333333333333,-0.89,3.72,-2.24,0.3099999999999999,18.56,8.129999999999999,12.0,56.33333333333332,65.8,64.89999999999999,77.4,76.60000000000001,37.55,0.5759526403841876,11.78094506678758,0.245,0.74,0,0,0,1,173.37600000000003,-1.537424242424244,-0.374012573966802,0.6053030303030296,0.2222789285508475,-1.7759848484848482,-1.02267352711103,-0.6224494949495138,-0.3673387253442218,0.0257575757575665,0.0125449197126069,-0.1837121212121104,-0.0802966972480297,2.6863636363636374,0.93033280855835,-0.5767424242424243,-0.2437984116490081,-1.9889393939393945,-0.8651019664265357,7.524696969696969,77.58371212121212,0.29056362765447835,26.14568098355437,1.8543190164456291,3.332204510175204,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1997,1.0,1700.0,1700.0,44200.0,26.0,1748.5250934600738,1202.9251,687.9655914,0.65,1.83,5.08,5.54,2.69,2.5,38.4,47.7,65.0,66.2,62.3,58.8,3.51,4.61,26.4,36.2,48.0,35.5,76.4,72.6,75.63333333333334,0.24,1.15,0.81,0.7333333333333334,-1.02,2.82,-0.68,0.9499999999999998,18.29,8.23,13.31,56.400000000000006,64.25,64.5,74.5,75.63333333333334,32.75,0.6224531786839305,11.047714695809264,0.98,1.0699999999999998,0,0,0,0,50.66,-1.8074242424242437,-0.4396960672957504,0.705303030303031,0.2590008541687603,-0.9459848484848484,-0.5447308080465568,-0.5557828282828297,-0.3279953753134306,-1.5242424242424306,-0.7423640724051247,-3.083712121212116,-1.3478255923633966,-3.613636363636374,-1.2514629150658036,0.9832575757575758,0.4156389839475209,-0.428939393939394,-0.1865699449191378,7.524696969696969,77.58371212121212,0.29056362765447835,26.43624461120885,-0.43624461120884916,3.258096538021482,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2002,1.0,3500.0,3400.0,102000.0,30.0,2017.5289539923929,2775.981,1375.9311828,2.55,2.32,4.23,7.78,4.74,3.7,38.6,48.4,65.2,70.4,65.0,59.4,1.65,2.77,28.1,36.1,48.7,28.8,81.8,75.4,78.1,0.21,1.93,2.25,1.4633333333333336,0.32,5.22,1.57,2.1866666666666665,25.32,12.52,16.75,57.833333333333336,67.7,66.86666666666667,78.6,78.1,39.85,0.4693307284096639,12.040874829789848,2.09,3.395,0,0,0,0,-123.402,5.222575757575754,1.2705074812320567,4.99530303030303,1.8343714631771968,1.104015151515152,0.6357301245825641,0.8775505050505004,0.5178866503483547,1.925757575757572,0.937917232631121,1.0162878787878782,0.444198017972116,-0.8136363636363626,-0.2817759267883999,2.423257575757576,1.0243504260366247,1.821060606060606,0.7920820091780705,7.524696969696969,77.58371212121212,0.29056362765447835,27.88906274948124,2.1109372505187594,3.4011973816621555,20,0,0
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2003,1.0,3800.0,3700.0,125800.0,34.0,2286.532814524712,3423.7099,1497.3368754,2.75,3.37,5.35,3.9,1.12,3.39,41.1,52.9,62.2,67.8,69.0,57.4,0.6799999999999999,0.55,29.0,39.7,45.8,34.5,79.6,81.5,78.56666666666666,0.78,0.85,-1.23,0.1333333333333333,0.24,0.47,-3.7,-0.5133333333333333,19.88,5.02,10.37,58.4,68.4,66.33333333333333,80.55,78.56666666666666,40.4,0.4188398337201241,10.4470091413763,-0.19,-1.6150000000000002,0,0,0,1,298.035,-0.2174242424242436,-0.0528932732474981,-2.50469696969697,-0.919772958166224,-2.515984848484848,-1.4487911320600784,1.4442171717171632,0.8523051256099893,2.625757575757575,1.278843874232679,2.966287878787881,1.2965019302048624,5.286363636363632,1.8307564405302192,-1.056742424242424,-0.4467022256787094,-3.448939393939394,-1.5001383455296131,7.524696969696969,77.58371212121212,0.29056362765447835,28.17962637713572,5.820373622864281,3.5263605246161616,20,0,0
