state,state_ansi,county,county_ansi,fips5,ag_district,ag_district_code,year,produced_soy,acres_planted,acres_harvested,production_bu,yield_bu_ac,yield_kg_ha,production_tonnes,area_harvested_ha
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1980,1.0,59300.0,56500.0,2120000.0,37.5,2521.911192490491,57696.86,22864.738773
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1981,1.0,61400.0,61400.0,2639000.0,43.0,2891.7915007224296,71821.7045,24847.698418800002
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1982,1.0,62100.0,61900.0,2026000.0,32.7,2199.1065598517084,55138.603,25050.0412398
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1983,1.0,65200.0,65200.0,2290000.0,35.1,2360.5088761710995,62323.495,26385.5038584
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1984,1.0,63100.0,62900.0,1597000.0,25.4,1708.174514380226,43463.1535,25454.7268818
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1985,1.0,64300.0,64000.0,2529000.0,39.5,2656.4131227566504,68827.9995,25899.881088000002
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1986,1.0,69400.0,69200.0,2906000.0,42.0,2824.54053558935,79088.243,28004.2464264
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1987,1.0,63400.0,63100.0,2771000.0,43.9,2952.3173693422013,75414.1505,25535.664010200002
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1988,1.0,68100.0,67800.0,1936000.0,28.6,1923.3776028060813,52689.208,27437.686527600003
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1989,1.0,67900.0,67000.0,2573000.0,38.4,2582.4370611102627,70025.4815,27113.938014
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1990,1.0,66200.0,65800.0,2415000.0,36.7,2468.1104203840273,65725.4325,26628.315243600002
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1991,1.0,69400.0,68900.0,2920000.0,42.4,2851.4409216425815,79469.26,27882.8407338
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1992,1.0,70000.0,69800.0,2902000.0,41.6,2797.6401495361183,78979.381,28247.0578116
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1993,1.0,77000.0,76700.0,2406000.0,31.4,2111.680305178704,65480.493,31039.388741400002
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1994,1.0,77000.0,76900.0,3831000.0,49.8,3349.0980636273716,104262.5805,31120.325869800003
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1995,1.0,86000.0,85800.0,2633000.0,30.7,2064.6046295855485,71658.4115,34722.0280836
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1996,1.0,96000.0,95800.0,3550000.0,37.1,2495.0108064372594,96615.025,38768.8845036
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1997,1.0,95900.0,94500.0,3791000.0,40.1,2696.7637018364985,103173.9605,38242.793169000004
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1998,1.0,95100.0,94500.0,4098000.0,43.4,2918.6918867756613,111529.119,38242.793169000004
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,1999,1.0,101000.0,100800.0,4249000.0,42.2,2837.990728615966,115638.6595,40792.312713600004
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2000,1.0,102000.0,101800.0,4070000.0,40.0,2690.0386053231905,110767.085,41196.9983556
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2001,1.0,99000.0,98400.0,3856000.0,39.2,2636.237833216727,104942.968,39821.0671728
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2002,1.0,97000.0,96300.0,4547000.0,47.2,3174.245554281365,123748.8785,38971.227324600004
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2003,1.0,101000.0,100600.0,2822000.0,28.1,1889.7521202395412,76802.141,40711.3755852
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2004,1.0,98000.0,97700.0,5049000.0,51.7,3476.874897380224,137411.0595,39537.7872234
IOWA,19,ADAIR,001,19001,SOUTHWEST,70,2005,1.0,96500.0,96000.0,4685400.0,48.8,3281.847098494292,127515.50369999999,38849.821632
