model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18051,1,1.0188369652510687,1.1670701776756118,0.9657097535804569,0.948824491488935
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18059,1,1.111256749646543,1.2482455087653648,1.0879066284325711,0.5489153096343955
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18069,1,1.4417305506613047,1.4057365869560385,1.083162092016516,0.2073718924314818
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18079,1,0.9750857481721482,1.1271123161186551,1.0345531456889139,0.9459031698498706
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18085,1,1.606600766583938,1.491546065074374,1.0671499711976082,0.060107852330091305
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18095,1,1.2351177863879457,1.3074141723012076,1.0855136671535042,0.42829306687897883
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18105,1,1.0365586975123051,1.1862271105107425,1.0301423085980888,0.7910124197224064
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18115,1,0.9730127749925259,1.0985240158606757,1.0397527216562208,0.9490178256069868
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18125,1,0.9998233922436839,1.1503600508879686,0.9755255686792199,0.9879276934451013
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18131,1,1.5486983738750268,1.4499226275875685,1.0500102713582287,0.09256420487746198
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18139,1,1.0594084067969902,1.207497101220497,1.0866536476190543,0.6630884810276143
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18153,1,1.1251355878490585,1.2478253214240453,1.0113686609632104,0.6076387008014592
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18173,1,0.9833555331310322,1.1229323594393463,0.9684525470352997,1.0617997271071857
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18179,1,1.3866756545255043,1.3763146292657211,1.0889056102538426,0.26397030271573385
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,18183,1,1.5520094169173717,1.4616340137318957,1.076111249779741,0.09272186404176352
