model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27073,1,1.7479054498751907,1.3408224188545432,1.1520470394075526,0.17889947889497648
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27083,1,1.6615430282600983,1.2848762090805508,1.122253874005054,0.21320959293792896
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27085,1,1.9805214367205508,1.4628516325205396,1.0262680192225437,-0.6202540728441193
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27093,1,2.0288570959127696,1.4827752699337111,1.0418316392889908,-0.6562482787450534
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27103,1,1.8731408603108548,1.4132019662717425,1.0155134149675575,-0.44614879627971504
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27113,1,2.670393330174875,1.8057101380751988,1.0944923288952473,-0.14349610612204344
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27121,1,1.9777362289672737,1.4453749035176315,1.1083229211628152,-0.24743424165446015
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27127,1,1.7498019689746798,1.337625624092766,1.077533151512771,-0.05315364216268392
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27147,1,1.7627509101590135,1.3196612395010447,0.9953980110861482,-0.4833227762152461
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27153,1,2.255670682031621,1.585115688067674,1.074260460788855,-0.6116282465450524
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27161,1,1.8368646079038058,1.374592402425094,0.9948089276728469,-0.4948421191738248
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27009,1,2.2338079608509815,1.5841377721885692,1.0333558030239223,-1.130982466373311
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27019,1,2.0125085286871354,1.4707351755645277,1.002197925560762,-0.9052981408336649
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27029,1,2.632853081621704,1.79709881452834,1.082497588702312,-0.2886002758906443
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27039,1,1.7311198047165135,1.2990405653590074,0.993611374710903,-0.5689648342031717
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27051,1,2.002388229091707,1.4654131152581158,1.1482036293109648,0.04322637486389169
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27057,1,2.7020909577396424,1.7993105653938528,1.061021847811386,-0.544819638946251
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27067,1,1.96422187087677,1.4438579816750234,1.0772295203197078,-0.3835160683457133
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27081,1,1.5978074994644658,1.2841670093758921,1.1513735682510118,0.24866362047706048
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27089,1,2.5810090037015243,1.812063807798495,1.1182739084225135,-0.07195249940035353
