fips5,irrigated_acres_avg,total_acres_avg,irrigated_frac_avg,any_suppressed,census_years_reported
27001,,5024.5,0.0,False,2
27003,150.5,4842.0,0.027418473310256878,True,2
27005,2087.0,141181.5,0.013443054749374683,False,2
27007,,20919.0,0.0,False,2
27009,2164.5,52710.0,0.04472291053017345,False,2
27011,1032.0,137308.5,0.0073284754333841715,False,2
27013,0.0,213532.5,0.0,True,2
27015,1004.5,149511.5,0.007310289474800981,False,2
27017,,0.0,0.0,False,1
27019,0.0,61809.5,0.0,True,2
27021,0.0,777.0,0.0,True,2
27023,122.5,126446.5,0.0007990919705934155,True,2
27025,0.0,30935.5,0.0,True,2
27027,670.5,225435.5,0.002900907353514835,False,2
27029,0.0,16433.0,0.0,True,2
27033,43.5,183244.5,0.000269943218840175,True,2
27035,889.0,5800.5,0.15311163077961967,False,2
27037,13712.0,102092.0,0.15852279734360314,False,2
27039,364.0,110756.0,0.0017777604125967024,False,2
27041,1097.0,93791.0,0.01176326260872516,False,2
27043,358.0,198869.5,0.001041994108949507,False,2
27045,0.0,116682.5,0.0,True,2
27047,744.0,178149.0,0.0050707670558909745,False,2
27049,999.0,141954.0,0.006716455547311843,False,2
27051,2658.5,147464.0,0.019405511498495353,False,2
27053,0.0,19654.0,0.0,True,2
27055,314.0,29578.5,0.005727000802509667,False,2
27057,896.5,1882.5,0.4756894790602656,False,2
27059,468.5,35424.5,0.01862131317062864,False,2
27061,,4467.0,0.0,False,2
27063,1059.0,193106.0,0.0031639329568880522,False,2
27065,786.0,21413.5,0.014535098749907537,False,2
27067,3196.0,154824.5,0.021003993114199815,False,2
27069,0.0,161513.0,0.0,True,2
27071,,6940.5,0.0,False,2
27073,2345.5,197293.5,0.012164226432699888,False,2
27077,,32201.5,0.0,False,2
27079,857.5,104840.5,0.009822443501654364,False,2
27081,0.0,109617.5,0.0,True,2
27083,669.0,189042.5,0.004046403600029032,True,2
27085,0.0,110855.5,0.0,True,2
27087,,92738.5,0.0,False,2
27089,870.0,338670.0,0.003414241704766203,True,2
27091,0.0,225313.5,0.0,True,2
27093,1650.5,128358.5,0.013747606393978366,False,2
27095,0.0,26723.0,0.0,True,2
27097,5343.0,44011.5,0.12240283309545702,False,2
27099,1663.0,191080.0,0.009830787873944154,False,2
27101,,173298.5,0.0,False,2
27103,0.0,127620.5,0.0,True,2
27105,222.0,194283.0,0.0007487251436742843,False,2
27107,0.0,233156.5,0.0,True,2
27109,439.0,89326.5,0.002777918396274172,False,2
27111,17064.5,201620.5,0.08566586566439541,False,2
27113,,118374.5,0.0,False,2
27115,,14511.5,0.0,False,2
27117,942.0,92965.5,0.010700305611545072,False,2
27119,2015.0,365023.0,0.0060763418396453895,False,2
27121,7073.0,106776.5,0.06877143271086025,False,2
27123,,0.0,0.0,False,1
27125,198.0,77890.0,0.0030267361694972256,True,2
27127,0.0,263832.0,0.0,True,2
27129,0.0,262996.0,0.0,True,2
27131,186.0,93591.5,0.0018161047482351564,True,2
27133,0.0,130917.5,0.0,True,2
27135,,182668.0,0.0,False,2
27137,,0.0,0.0,False,2
27139,,42250.0,0.0,False,2
27141,10143.0,20038.5,0.5340866310353559,False,2
27143,0.0,157069.5,0.0,True,2
27145,9597.0,142138.5,0.06948806843620725,False,2
27147,459.0,103554.0,0.005177606569581843,True,2
27149,3469.0,130056.0,0.0264774740069348,False,2
27151,7992.5,126995.5,0.06397736398396565,False,2
27153,3261.5,59548.0,0.05800953369378566,False,2
27155,0.0,173361.0,0.0,True,2
27157,272.0,49832.0,0.0034231921266581087,False,2
27159,7865.5,17526.5,0.4593765330266765,False,2
27161,860.0,124196.0,0.003959520805900607,False,2
27163,270.5,26435.0,0.006472840392438383,True,2
27165,1634.0,115547.0,0.01401276942055255,False,2
27167,0.0,173414.0,0.0,True,2
27169,,46693.5,0.0,False,2
27171,1601.0,96093.0,0.017468350515911824,False,2
27173,0.0,176969.0,0.0,True,2
