state,state_ansi,county,county_ansi,fips5,ag_district,ag_district_code,year,produced_soy,acres_planted,acres_harvested,production_bu,yield_bu_ac,yield_kg_ha,production_tonnes,area_harvested_ha
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1980,1.0,500.0,500.0,9300.0,19.0,1277.7683375285155,253.10415,202.34282100000001
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1981,1.0,500.0,400.0,7200.0,18.0,1210.5173723954356,195.95159999999998,161.8742568
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1982,1.0,500.0,500.0,12000.0,24.0,1614.0231631939141,326.586,202.34282100000001
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1991,1.0,1000.0,1000.0,29000.0,29.0,1950.277988859313,789.2495,404.68564200000003
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1992,1.0,1100.0,900.0,9900.0,11.0,739.7606164638773,269.43345,364.2170778
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1995,1.0,1800.0,1600.0,52800.0,33.0,2219.281849391632,1436.9784,647.4970272
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1996,1.0,1600.0,1500.0,42000.0,28.0,1883.0270237262332,1143.051,607.028463
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,1997,1.0,1700.0,1700.0,44200.0,26.0,1748.5250934600738,1202.9251,687.9655914
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2002,1.0,3500.0,3400.0,102000.0,30.0,2017.5289539923929,2775.981,1375.9311828
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2003,1.0,3800.0,3700.0,125800.0,34.0,2286.5328145247117,3423.7099,1497.3368754
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2010,1.0,5000.0,4900.0,194000.0,39.6,2663.1382192699584,5279.807,1982.9596458
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2011,1.0,6200.0,6200.0,191000.0,30.8,2071.3297260988566,5198.1605,2509.0509804000003
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2012,1.0,9100.0,8000.0,227000.0,28.4,1909.927409779465,6177.9185,3237.4851360000002
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2015,1.0,6100.0,6000.0,192000.0,32.0,2152.0308842585523,5225.376,2428.113852
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2017,1.0,7700.0,7470.0,228000.0,30.5,2051.1544365589325,6205.134,3023.00174574
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2018,1.0,5900.0,5840.0,167000.0,28.6,1923.3776028060813,4544.9885,2363.36414928
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2020,1.0,8300.0,7650.0,295000.0,38.6,2595.8872541368787,8028.5725,3095.8451613
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2022,1.0,4800.0,4760.0,132000.0,27.7,1862.8517341863094,3592.446,1926.30365592
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2023,1.0,8900.0,8740.0,277000.0,31.7,2131.8555947186283,7538.6935,3536.95251108
MINNESOTA,27,AITKIN,001,27001,EAST CENTRAL,60,2024,1.0,6000.0,5940.0,194000.0,32.7,2199.1065598517084,5279.807,2403.83271348
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1980,1.0,6200.0,6000.0,165400.0,28.0,1883.0270237262332,4501.4437,2428.113852
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1981,1.0,5900.0,5900.0,147500.0,25.0,1681.274128326994,4014.28625,2387.6452878
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1982,1.0,6800.0,6600.0,184800.0,27.2,1829.2262516197693,5029.4244,2670.9252372
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1983,1.0,4900.0,4300.0,111800.0,22.8,1533.3220050342186,3042.6929,1740.1482606
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1984,1.0,8300.0,8100.0,202500.0,25.0,1681.274128326994,5511.13875,3277.9537002
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1985,1.0,9500.0,9100.0,209300.0,23.0,1546.7721980608344,5696.20415,3682.6393422
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1986,1.0,10000.0,9800.0,284200.0,29.0,1950.277988859313,7734.6451,3965.9192916
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1987,1.0,3400.0,3300.0,102300.0,31.0,2084.7799191254726,2784.14565,1335.4626186
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1988,1.0,3300.0,2500.0,47500.0,19.0,1277.7683375285155,1292.73625,1011.714105
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1989,1.0,4200.0,4000.0,84000.0,21.0,1412.270267794675,2286.102,1618.7425680000001
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1990,1.0,3800.0,3700.0,99900.0,27.0,1815.7760585931535,2718.8284499999995,1497.3368754
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1991,1.0,4100.0,4000.0,120000.0,30.0,2017.5289539923929,3265.86,1618.7425680000001
MINNESOTA,27,ANOKA,003,27003,EAST CENTRAL,60,1992,1.0,4000.0,3300.0,66000.0,20.0,1345.0193026615952,1796.223,1335.4626186
