model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17005,1,1.226544129541253,1.30064759108825,0.9792492569534462
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17009,1,1.2471553148120051,1.2205604008471482,0.9844688253922806
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17019,1,1.3400286278738918,1.348508971339868,1.0351787164264856
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17029,1,1.2309626183424598,1.314141030097744,1.0290658466555729
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17035,1,1.2001140508505728,1.2900248881882703,1.0094014854296813
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17049,1,1.1921494418891712,1.280933822756424,0.996712068212231
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17055,1,1.1281979926095573,1.255773319035825,0.948166810314427
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17065,1,1.094616840198455,1.2237436250204041,0.9537510518777453
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17073,1,1.2814616212091323,1.1908030580717082,0.9748028638595158
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17077,1,1.1679538499989235,1.29346619372825,0.9316686101171264
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17079,1,1.1631983965186237,1.2712275516379918,0.9960770670846569
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17089,1,1.6784320753630482,1.480317444744287,1.0326249990197274
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17103,1,1.4393612930485915,1.2961865799515522,1.0044567931599269
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17107,1,1.287241596088279,1.2598231982281618,1.0172218831813113
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17121,1,1.175522401714204,1.286166325081581,0.971442062019434
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17129,1,1.2686109863435604,1.2269313528425414,1.0103982971203769
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17139,1,1.2468676761270103,1.2976034863904147,1.0287218843793235
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17145,1,1.1743575799191603,1.3079874948782049,0.948816690431655
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17155,1,1.3735737003004829,1.2699748009150653,0.9883589723697815
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17169,1,1.2537085034965685,1.215991385147106,0.9852994036128551
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,17175,1,1.2998761651281256,1.2145605429836905,0.9807815860555729
