fips5,irrigated_acres_avg,total_acres_avg,irrigated_frac_avg,any_suppressed,census_years_reported
17001,3786.5,169893.0,0.022807764893450592,False,2
17003,0.0,36966.5,0.0,True,2
17005,,87804.5,0.0,False,2
17007,0.0,51606.0,0.0,True,2
17009,0.0,39099.5,0.0,True,2
17011,5876.0,182160.0,0.03394298768060905,False,2
17013,,33468.0,0.0,False,2
17015,2122.0,60799.0,0.035057481430681166,False,2
17017,6760.5,63478.0,0.11423806743172508,False,2
17019,5327.5,299790.5,0.01852882647206557,False,2
17021,0.0,193859.5,0.0,True,2
17023,6175.0,122996.0,0.05245730286910966,False,2
17025,74.5,166179.0,0.0007529207260379189,True,2
17027,674.0,116201.5,0.005804604563283985,False,2
17029,0.0,107560.5,0.0,True,2
17031,,3542.0,0.0,False,2
17033,7345.0,107273.0,0.071346326706835,False,2
17035,519.0,74543.0,0.006290484249211743,False,2
17037,0.0,155639.0,0.0,True,2
17039,0.0,100492.5,0.0,True,2
17041,,120038.0,0.0,False,2
17043,,211.5,0.0,False,2
17045,402.0,167540.0,0.0013565132884311689,False,2
17047,0.0,56090.5,0.0,True,2
17049,201.0,140229.5,0.001516913076709659,False,2
17051,,161739.5,0.0,False,2
17053,401.0,145829.0,0.0031607257731492934,False,2
17055,,99939.5,0.0,False,2
17057,157.5,148207.5,0.0009364242269297771,True,2
17059,12240.5,85828.0,0.1433316306036015,False,2
17061,0.0,130206.5,0.0,True,2
17063,,118596.0,0.0,False,2
17065,,103621.0,0.0,False,2
17067,1349.0,183861.5,0.007274252790275682,False,2
17069,,5877.0,0.0,False,2
17071,4363.5,70531.5,0.06421888780168702,False,2
17073,1337.0,206566.0,0.006858154264903306,False,2
17075,935.0,346800.0,0.002852397733414257,False,2
17077,2248.0,150650.5,0.01429113828188094,False,2
17079,,123823.5,0.0,False,2
17081,,136037.0,0.0,False,2
17083,,69145.5,0.0,False,2
17085,0.0,57567.0,0.0,True,2
17087,0.0,23041.5,0.0,True,2
17089,,68140.5,0.0,False,2
17091,2945.5,142623.5,0.02030890718818721,False,2
17093,178.0,64046.5,0.0017369242779078846,False,2
17095,0.0,180650.0,0.0,True,2
17097,0.0,9407.0,0.0,True,2
17099,890.5,288155.5,0.003499705246610336,True,2
17101,9600.0,107378.0,0.08927709931903888,False,2
17103,7009.0,149199.0,0.04809276807065087,False,2
17105,85.0,307188.0,0.0003155651586364615,True,2
17107,818.0,174725.0,0.0046968354718367675,False,2
17109,0.0,134801.0,0.0,True,2
17111,2269.5,79219.0,0.029612475540442836,False,2
17113,699.0,324431.0,0.002201908981641992,False,2
17115,0.0,142877.5,0.0,True,2
17117,16.0,193489.0,4.3411492107248094e-05,False,2
17119,0.0,143628.0,0.0,True,2
17121,0.0,114307.5,0.0,True,2
17123,608.5,87091.0,0.0070033723227015,False,2
17125,47883.5,112568.5,0.43054457356286036,False,2
17127,4108.0,63330.5,0.06569326718251933,False,2
17129,2067.0,70577.5,0.03180883347970826,False,2
17131,2522.5,109455.5,0.0235141072504685,False,2
17133,541.0,91642.5,0.005931037439324842,False,2
17135,0.0,191004.0,0.0,True,2
17137,1771.0,130965.0,0.013658126844407127,False,2
17139,,93716.5,0.0,False,2
17141,177.5,117350.5,0.001703029954138123,True,2
17143,1477.0,104181.0,0.015254676380609542,False,2
17145,0.0,96046.5,0.0,True,2
17147,350.0,129873.5,0.002279298757456563,True,2
17149,1180.0,151969.0,0.007962494117692943,False,2
17151,0.0,13201.5,0.0,True,2
17153,752.0,59768.0,0.011727644178285144,True,2
17155,0.0,21103.0,0.0,True,2
17157,0.0,124839.0,0.0,True,2
17159,859.5,101795.0,0.00847902422298762,False,2
17161,983.5,51871.5,0.01860181579352991,False,2
17163,0.0,135987.5,0.0,True,2
17165,0.0,65786.5,0.0,True,2
17167,386.0,229638.5,0.0010026703240755173,False,2
17169,1068.0,72479.5,0.015050467641560292,False,2
17171,2348.5,55590.5,0.043537003274111474,False,2
17173,102.5,174803.0,0.0006935892057219417,True,2
17175,423.0,76932.5,0.003230339223802178,False,2
17177,93.0,93109.0,0.0012324410283593957,True,2
17179,14022.0,143867.0,0.09878427638529878,False,2
17181,2559.5,55165.0,0.04738001376136167,False,2
17183,237.5,234634.5,0.0012233880896086703,True,2
17185,1137.0,65312.0,0.017336132401088784,False,2
17187,173.5,140396.5,0.0016231640003742166,True,2
17189,739.0,181588.5,0.004140147202630606,False,2
17191,738.0,154853.0,0.0031151858980853005,False,2
17193,8805.5,144190.0,0.06313771717220705,False,2
17195,14627.5,97782.5,0.15592699816419278,False,2
17197,,119390.0,0.0,False,2
17199,,36009.0,0.0,False,2
17201,456.0,64071.0,0.0027856514514710195,False,2
17203,385.0,128603.0,0.0036446598633015884,True,2
