fips5,year,plant_doy,r1_doy,r3_doy,start_doy,r5_doy,end_doy,end_driver,r6_doy,r8_doy,frost_doy,matured_before_frost,days_r8_to_frost,window_days,podfill_days,seedfill_days,season_days,win_gdd,win_edd,win_hot_days,win_vpd_mean,win_vpd_max,win_prcp_mm,win_et0_mm,win_tmax_mean,win_water_deficit_mm,season_gdd,season_edd,season_prcp_mm,wb_stress_days,wb_min_water_frac,wb_season_deficit_mm
17001,1981,148,198,216,217,236.0,264,216.0,264.0,303.0,296,0,-7.0,48,48,,117,493.7946447055433,0.06927941862428547,0,0.6549557270911498,0.9561929218490413,93.75999999999999,165.88391780161254,25.70645833333333,72.12391780161255,1391.8056866007712,2.378237523396373,586.76,9,0.38062666963956454,2.7324400724355193
17001,1982,134,197,213,215,231.0,264,213.0,256.0,279.0,294,1,15.0,50,50,,131,536.409666774291,1.3392468898519228,0,0.6134964290379917,1.0951464999426022,202.92,168.14105589376751,25.766999999999992,-34.77894410623247,1442.1893340672768,1.9121534793543589,625.2,0,0.640871403568146,0.0
17001,1983,162,207,220,219,234.0,265,220.0,251.0,268.0,315,1,47.0,47,47,,104,684.205703745316,59.810632315215216,23,1.9598666019389996,3.576115440106284,110.54,248.4344818789651,32.70595744680851,137.8944818789651,1537.5543122058136,93.3920238547176,189.03,47,0.12669243118808704,146.03111983112876
17001,1984,144,202,220,219,235.0,265,220.0,257.0,283.0,306,1,23.0,47,47,,122,587.1762804625246,16.781276975515258,4,1.357852751115117,2.9154335882092424,108.23000000000002,209.488722290311,29.59085106382978,101.25872229031097,1452.094624615474,17.98706175390145,356.96,40,0.14788891634871526,72.30432841290178
17001,1985,149,206,224,221,244.0,267,224.0,272.0,,308,0,,47,47,,119,533.6743103772018,5.597409379783388,1,0.8684653900424136,1.53509908933315,161.46999999999997,172.8797492919824,26.975106382978723,11.409749291982422,1374.633392761095,8.865354759730893,419.41,8,0.4375711605604938,2.096574640422163
17001,1986,130,189,204,211,220.0,261,204.0,244.0,261.0,313,1,52.0,51,51,,132,568.194193231537,2.552259333857399,0,1.0737366605516032,1.7225199039514323,109.99000000000001,209.55674865517832,27.340588235294117,99.56674865517832,1557.5250406675368,8.368727105396593,462.54999999999995,37,0.1545218079975981,70.32630414368812
17001,1987,134,187,203,210,216.0,261,203.0,234.0,249.0,294,1,45.0,52,52,,128,681.2926566633895,21.305939211427756,7,1.2628966591461526,2.495942422899331,197.04,232.97692556919495,29.62576923076923,35.936925569194955,1681.2534715147517,39.51235151839893,402.40999999999997,39,0.2508529840125695,54.28207880814902
17001,1988,144,193,207,212,220.0,262,207.0,236.0,251.0,300,1,49.0,51,51,,119,739.8019685102186,54.26751945037793,18,1.9389073741641507,3.5479707188141325,119.64999999999999,269.83763593185523,32.52980392156863,150.18763593185525,1704.8017705916122,123.8210825277991,211.96000000000004,51,0.1050951201280238,224.60589412475557
17001,1989,140,193,209,213,225.0,263,209.0,244.0,260.0,306,1,46.0,51,51,,124,635.6846426082413,11.504016731213078,3,1.139465751117631,2.2635259654061604,188.6,207.12112869096882,28.582941176470595,18.521128690968823,1575.251885855107,36.11507045003491,419.27000000000004,22,0.2441363631307248,34.89716689998192
17001,1990,159,208,229,223,243.0,268,229.0,266.0,296.0,311,1,15.0,46,46,,110,598.1913959501748,22.288438779301266,9,1.2588177103875304,2.6585338648361634,72.8,197.24925874354693,29.628695652173914,124.44925874354693,1406.2349976655912,24.984837063885173,339.64,29,0.15556387689213083,56.691723866718846
