SOURCE_DESC,SECTOR_DESC,GROUP_DESC,COMMODITY_DESC,CLASS_DESC,PRODN_PRACTICE_DESC,UTIL_PRACTICE_DESC,STATISTICCAT_DESC,UNIT_DESC,SHORT_DESC,DOMAIN_DESC,DOMAINCAT_DESC,AGG_LEVEL_DESC,STATE_ANSI,STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,ASD_CODE,ASD_DESC,COUNTY_ANSI,COUNTY_CODE,COUNTY_NAME,REGION_DESC,ZIP_5,WATERSHED_CODE,WATERSHED_DESC,CONGR_DISTRICT_CODE,COUNTRY_CODE,COUNTRY_NAME,LOCATION_DESC,YEAR,FREQ_DESC,BEGIN_CODE,END_CODE,REFERENCE_PERIOD_DESC,WEEK_ENDING,LOAD_TIME,VALUE,CV_%,CENSUS_YEAR,VALUE_NUM,suppressed,series
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,021,021,BUENA VISTA,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, BUENA VISTA",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"143,345",17.6,2017,143345.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,021,021,BUENA VISTA,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, BUENA VISTA",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,(D),(D),2017,,True,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,19,19,IA,IOWA,10,NORTHWEST,021,021,BUENA VISTA,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, BUENA VISTA",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"60,816",,2017,60816.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,035,035,CHEROKEE,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, CHEROKEE",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"131,206",17.6,2017,131206.0,False,TOTAL
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,19,19,IA,IOWA,10,NORTHWEST,035,035,CHEROKEE,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, CHEROKEE",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"49,219",,2017,49219.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,041,041,CLAY,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"130,118",17.6,2017,130118.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,041,041,CLAY,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,180,31.9,2017,180.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,19,19,IA,IOWA,10,NORTHWEST,041,041,CLAY,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"60,906",,2017,60906.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,059,059,DICKINSON,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, DICKINSON",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"76,666",17.6,2017,76666.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,059,059,DICKINSON,,,00000000,,,9000,UNITED STATES,"IOWA, NORTHWEST, DICKINSON",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,194,31.9,2017,194.0,False,IRRIGATED
