SOURCE_DESC,SECTOR_DESC,GROUP_DESC,COMMODITY_DESC,CLASS_DESC,PRODN_PRACTICE_DESC,UTIL_PRACTICE_DESC,STATISTICCAT_DESC,UNIT_DESC,SHORT_DESC,DOMAIN_DESC,DOMAINCAT_DESC,AGG_LEVEL_DESC,STATE_ANSI,STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,ASD_CODE,ASD_DESC,COUNTY_ANSI,COUNTY_CODE,COUNTY_NAME,REGION_DESC,ZIP_5,WATERSHED_CODE,WATERSHED_DESC,CONGR_DISTRICT_CODE,COUNTRY_CODE,COUNTRY_NAME,LOCATION_DESC,YEAR,FREQ_DESC,BEGIN_CODE,END_CODE,REFERENCE_PERIOD_DESC,WEEK_ENDING,LOAD_TIME,VALUE,CV_%,VALUE_NUM
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"PROGRESS, 5 YEAR AVG",PCT BLOOMING,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2007,WEEKLY,30,30,WEEK #30,2007-07-29,2013-01-01 12:00:00,91,,91
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"CONDITION, PREVIOUS YEAR",PCT VERY POOR,"SOYBEANS - CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2015,WEEKLY,41,41,WEEK #41,2015-10-11,2015-10-13 16:04:34,1,,1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"CONDITION, PREVIOUS YEAR",PCT EXCELLENT,"SOYBEANS - CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2021,WEEKLY,25,25,WEEK #25,2021-06-27,2021-06-28 16:00:11,16,,16
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"PROGRESS, 5 YEAR AVG",PCT HARVESTED,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,1997,WEEKLY,37,37,WEEK #37,1997-09-14,2013-01-01 12:00:00,1,,1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT SETTING PODS,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,1996,WEEKLY,34,34,WEEK #34,1996-08-25,2013-01-01 12:00:00,94,,94
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,CONDITION,PCT GOOD,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,1995,WEEKLY,32,32,WEEK #32,1995-08-13,2013-01-01 12:00:00,51,,51
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"CONDITION, PREVIOUS YEAR",PCT EXCELLENT,"SOYBEANS - CONDITION, PREVIOUS YEAR, MEASURED IN PCT EXCELLENT",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2021,WEEKLY,36,36,WEEK #36,2021-09-12,2021-09-13 16:00:14,5,,5
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,"PROGRESS, 5 YEAR AVG",PCT PLANTED,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2018,WEEKLY,18,18,WEEK #18,2018-05-06,2018-05-07 16:00:02,11,,11
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,CONDITION,PCT POOR,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2014,WEEKLY,23,23,WEEK #23,2014-06-08,2014-06-09 17:05:03,2,,2
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,CONDITION,PCT VERY POOR,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",TOTAL,NOT SPECIFIED,STATE,19,19,IA,IOWA,,,,,,,,00000000,,,9000,UNITED STATES,IOWA,2008,WEEKLY,31,31,WEEK #31,2008-08-03,2013-01-01 12:00:00,2,,2
