state,state_ansi,county,county_ansi,ag_district,ag_district_code,year,acres_harvested,acres_planted,production_bu,yield_bu_ac,is_county_estimate
IOWA,19,ADAIR,001,SOUTHWEST,70,1980,56500.0,59300.0,2120000.0,37.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1981,61400.0,61400.0,2639000.0,43.0,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1982,61900.0,62100.0,2026000.0,32.7,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1983,65200.0,65200.0,2290000.0,35.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1984,62900.0,63100.0,1597000.0,25.4,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1985,64000.0,64300.0,2529000.0,39.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1986,69200.0,69400.0,2906000.0,42.0,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1987,63100.0,63400.0,2771000.0,43.9,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1988,67800.0,68100.0,1936000.0,28.6,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1989,67000.0,67900.0,2573000.0,38.4,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1990,65800.0,66200.0,2415000.0,36.7,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1991,68900.0,69400.0,2920000.0,42.4,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1992,69800.0,70000.0,2902000.0,41.6,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1993,76700.0,77000.0,2406000.0,31.4,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1994,76900.0,77000.0,3831000.0,49.8,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1995,85800.0,86000.0,2633000.0,30.7,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1996,95800.0,96000.0,3550000.0,37.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1997,94500.0,95900.0,3791000.0,40.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1998,94500.0,95100.0,4098000.0,43.4,1
IOWA,19,ADAIR,001,SOUTHWEST,70,1999,100800.0,101000.0,4249000.0,42.2,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2000,101800.0,102000.0,4070000.0,40.0,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2001,98400.0,99000.0,3856000.0,39.2,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2002,96300.0,97000.0,4547000.0,47.2,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2003,100600.0,101000.0,2822000.0,28.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2004,97700.0,98000.0,5049000.0,51.7,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2005,96000.0,96500.0,4685400.0,48.8,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2006,101000.0,101500.0,5154100.0,51.0,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2007,90900.0,91000.0,4843000.0,53.3,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2008,105300.0,106000.0,4816000.0,45.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2009,93900.0,94500.0,4836000.0,51.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2010,101300.0,102000.0,4935000.0,48.7,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2011,101900.0,103500.0,5130000.0,50.3,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2012,105200.0,105500.0,4063000.0,38.6,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2013,103500.0,104000.0,3806000.0,36.8,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2014,102700.0,106000.0,5139000.0,50.0,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2015,106100.0,106500.0,5849000.0,55.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2016,106700.0,107000.0,6332000.0,59.3,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2017,109900.0,110500.0,5554000.0,50.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2018,105700.0,106500.0,5300000.0,50.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2019,100900.0,101500.0,5376000.0,53.3,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2020,105200.0,106000.0,5060000.0,48.1,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2022,106800.0,107500.0,5076000.0,47.5,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2024,106300.0,107000.0,6399000.0,60.2,1
IOWA,19,ADAIR,001,SOUTHWEST,70,2025,103200.0,104000.0,6419000.0,62.2,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1980,38900.0,40100.0,1370000.0,35.2,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1981,44100.0,44100.0,1769000.0,40.1,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1982,47500.0,47600.0,1390000.0,29.3,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1983,44500.0,44500.0,1196000.0,26.9,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1984,48600.0,49300.0,954000.0,19.6,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1985,50000.0,50200.0,1923000.0,38.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1986,52500.0,52900.0,2098000.0,40.0,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1987,44000.0,44200.0,1794000.0,40.8,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1988,41900.0,42100.0,949000.0,22.6,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1989,43600.0,43700.0,1549000.0,35.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1990,41700.0,41900.0,1606000.0,38.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1991,44000.0,44100.0,1797000.0,40.8,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1992,43800.0,44000.0,1802000.0,41.1,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1993,44700.0,45000.0,1480000.0,33.1,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1994,44900.0,45000.0,2176000.0,48.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1995,54800.0,55000.0,1572000.0,28.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1996,52900.0,53000.0,2117000.0,40.0,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1997,56400.0,57000.0,2387000.0,42.3,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1998,56300.0,56500.0,2460000.0,43.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,1999,59900.0,60000.0,2359000.0,39.4,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2000,59800.0,60000.0,2494000.0,41.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2001,61500.0,62000.0,2504000.0,40.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2002,58600.0,59000.0,2550000.0,43.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2003,61800.0,62000.0,1702000.0,27.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2004,61800.0,62000.0,3135000.0,50.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2005,60700.0,61000.0,3047300.0,50.2,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2006,60800.0,61000.0,2749600.0,45.2,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2007,56900.0,57000.0,2928000.0,51.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2008,63200.0,63700.0,2472000.0,39.0,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2009,62200.0,62500.0,3172000.0,51.0,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2010,64200.0,65000.0,3064000.0,47.7,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2011,66800.0,67800.0,3134000.0,46.9,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2012,67800.0,68000.0,2770000.0,40.9,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2013,69800.0,70100.0,3075000.0,44.1,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2014,69700.0,70000.0,3315000.0,47.6,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2015,66500.0,66800.0,3348000.0,50.3,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2016,69200.0,69400.0,3907000.0,56.5,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2017,71100.0,71500.0,3742000.0,52.6,1
IOWA,19,ADAMS,003,SOUTHWEST,70,2018,69000.0,69500.0,3674000.0,53.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1980,3400.0,3400.0,130000.0,38.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1981,3800.0,3800.0,146000.0,38.4,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1982,4000.0,4000.0,132000.0,33.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1983,4100.0,4200.0,154000.0,37.6,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1984,4200.0,4200.0,127000.0,30.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1985,3800.0,3900.0,123000.0,32.4,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1986,4200.0,4200.0,161000.0,38.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1987,3600.0,3600.0,158000.0,43.9,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1988,5900.0,6000.0,175000.0,29.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1989,4700.0,4700.0,199000.0,42.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1990,4400.0,4400.0,185000.0,42.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1991,4900.0,4900.0,212000.0,43.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1992,4800.0,5000.0,179000.0,37.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1993,6900.0,7000.0,246000.0,35.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1994,8000.0,8000.0,392000.0,49.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1995,10000.0,10000.0,437000.0,43.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1996,12000.0,12000.0,565000.0,47.1,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1997,19500.0,21200.0,891000.0,45.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1998,22600.0,22800.0,1188000.0,52.6,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,1999,26000.0,26000.0,1229000.0,47.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2000,27900.0,28000.0,1319000.0,47.3,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2001,31700.0,32000.0,1300000.0,41.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2002,26800.0,27000.0,1366000.0,51.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2003,28800.0,29000.0,914000.0,31.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2004,29900.0,30000.0,1275000.0,42.6,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2005,27800.0,28000.0,1578000.0,56.8,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2006,30700.0,31000.0,1500700.0,48.9,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2007,23900.0,24000.0,1156000.0,48.4,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2008,32800.0,33000.0,1374000.0,42.0,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2009,30400.0,30500.0,1390000.0,45.5,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2010,32400.0,32500.0,1690000.0,52.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2011,29700.0,29900.0,1548000.0,52.1,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2012,30400.0,30500.0,1587000.0,52.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2013,31500.0,31700.0,1596000.0,50.7,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2014,30400.0,30600.0,1539000.0,50.6,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2015,34400.0,34600.0,1861000.0,54.1,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2016,31800.0,32200.0,1805000.0,56.8,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2017,34500.0,34700.0,1815000.0,52.6,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2018,32400.0,32700.0,1712000.0,52.8,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2020,30500.0,30800.0,1793000.0,58.8,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2021,34500.0,34700.0,2136000.0,61.9,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2022,36500.0,36700.0,2234000.0,61.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2023,35300.0,35500.0,1843000.0,52.2,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2024,36400.0,36700.0,2078000.0,57.1,1
IOWA,19,ALLAMAKEE,005,NORTHEAST,30,2025,31600.0,31800.0,1956000.0,61.9,1
IOWA,19,APPANOOSE,007,SOUTH CENTRAL,80,1980,41000.0,41100.0,1130000.0,27.6,1
IOWA,19,APPANOOSE,007,SOUTH CENTRAL,80,1981,33500.0,34700.0,1051000.0,31.4,1
