county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1895,,,40.1,48.5,54.3,30.9,84.6,84.8,83.89999999999999,0.35,0.22,0.97,0.5133333333333333,0.19,-0.28,2.32,0.8666666666666666
001,1896,2.1,2.38,41.3,53.1,46.2,33.8,84.6,83.0,83.26666666666667,0.66,2.74,3.03,2.143333333333333,0.98,6.42,1.73,2.5066666666666664
001,1897,2.92,2.27,35.7,43.9,56.3,42.0,87.6,81.3,83.46666666666665,-0.54,-0.67,-1.02,-0.7433333333333333,-0.44,-0.57,-1.25,-0.75
001,1898,4.42,1.78,34.6,47.6,52.4,36.0,85.6,86.3,84.76666666666667,-1.21,-1.15,-1.75,-1.3699999999999999,-1.78,-0.19,-2.16,-0.4000000000000001
001,1899,1.5499999999999998,2.06,34.3,47.8,47.5,42.7,85.2,85.7,84.23333333333333,0.52,0.9,0.99,0.8033333333333333,0.8,1.29,0.56,0.4166666666666667
001,1900,2.77,2.41,39.3,50.8,51.8,46.7,87.2,89.6,86.53333333333335,-1.84,0.49,0.62,-0.24333333333333337,-1.61,1.48,0.52,0.26666666666666666
001,1901,1.96,0.97,35.7,46.3,50.3,41.0,96.2,88.5,89.86666666666667,-0.29,-0.84,-1.81,-0.98,-0.43,-1.75,-3.16,-1.54
001,1902,2.22,1.99,33.7,51.1,46.7,40.6,82.6,78.7,78.89999999999999,0.8,2.8,3.6,2.4,0.12,6.25,3.27,3.8666666666666667
001,1903,3.23,3.9000000000000004,36.9,50.0,48.6,39.1,84.2,79.3,79.36666666666667,4.04,3.82,5.07,4.31,4.43,0.61,4.91,1.906666666666667
001,1904,1.89,0.9600000000000001,31.1,45.9,51.8,41.0,81.6,81.5,80.73333333333333,2.21,2.56,2.46,2.4099999999999997,2.84,1.73,0.49,0.39666666666666667
001,1905,3.6499999999999995,1.3099999999999998,33.6,45.6,53.9,36.9,81.7,85.9,83.33333333333334,1.62,1.56,1.56,1.58,1.03,0.33,0.48,0.9666666666666667
001,1906,2.57,2.9400000000000004,39.7,48.0,54.0,37.2,83.8,86.0,83.93333333333334,-0.63,-0.47,-0.81,-0.6366666666666667,-0.59,0.27,-1.16,-0.39666666666666667
001,1907,3.61,3.42,29.0,41.3,51.3,37.3,86.4,83.6,82.86666666666666,0.59,1.77,1.92,1.4266666666666665,-0.68,3.72,1.01,2.1666666666666665
001,1908,3.8099999999999996,2.45,38.4,48.5,54.0,40.0,85.1,82.2,81.60000000000001,2.6,2.51,3.06,2.723333333333333,2.22,0.53,2.41,1.59
001,1909,3.46,1.43,32.6,45.5,51.8,38.1,84.0,88.8,84.3,3.35,3.56,2.45,3.1199999999999997,3.0,1.66,-2.23,0.4666666666666666
001,1910,4.39,7.949999999999999,38.0,41.9,51.2,41.2,89.1,84.6,85.46666666666665,-2.39,-3.0,-2.39,-2.5933333333333337,-1.87,-2.56,0.9,-1.26
001,1911,4.13,0.75,34.8,51.2,53.9,37.8,91.2,86.7,89.46666666666665,-2.3,-3.25,-3.42,-2.9899999999999998,-0.99,-3.57,-1.52,-3.106666666666667
001,1912,4.75,3.44,38.0,49.9,50.0,39.3,89.6,83.8,84.13333333333333,-1.87,-2.25,-2.26,-2.1266666666666665,-1.65,-1.73,-0.71,-1.1966666666666665
001,1913,2.15,1.1,37.3,48.6,51.5,37.4,91.0,93.6,89.43333333333332,-0.24,-1.02,-1.81,-1.0233333333333334,1.53,-2.43,-2.68,-1.9400000000000002
001,1914,4.21,3.59,36.3,48.9,52.5,43.9,90.8,88.9,88.66666666666667,-0.98,-1.54,-2.12,-1.5466666666666669,-0.83,-1.99,-2.21,-1.6366666666666667
001,1915,5.3100000000000005,1.64,43.3,44.4,52.3,41.2,79.6,77.1,78.03333333333333,1.97,4.52,4.2,3.563333333333333,2.48,8.24,0.46,2.646666666666667
001,1916,3.2,2.04,33.8,47.3,48.6,37.6,94.2,87.9,86.63333333333333,-0.73,-1.46,-2.3,-1.4966666666666668,-0.41,-2.41,-2.96,-2.16
001,1917,1.8,2.89,33.4,41.8,50.5,30.4,87.7,82.1,82.3,2.25,-0.67,-1.03,0.18333333333333335,1.08,-2.01,-1.28,0.18666666666666676
001,1918,2.63,0.7,30.8,50.7,45.8,43.8,88.4,92.1,88.66666666666667,-3.77,-4.18,-4.53,-4.16,-3.82,-2.4,-2.36,-1.9233333333333331
001,1919,3.59,2.62,37.4,46.1,55.2,39.0,90.2,84.1,85.59999999999998,2.77,2.18,1.4,2.1166666666666667,2.21,-0.91,-1.66,-0.07333333333333332
001,1920,2.08,4.22,30.6,46.6,53.2,44.3,83.5,82.0,82.26666666666667,-0.67,-0.59,-0.57,-0.61,-0.21,0.04,-0.13,-0.5099999999999999
001,1921,2.0300000000000002,2.5100000000000002,37.9,50.9,54.4,40.2,90.2,85.2,87.2,-1.9,-1.96,-2.0,-1.9533333333333331,-1.61,-0.77,-0.73,-0.9533333333333333
001,1922,2.2,0.44999999999999996,37.6,50.4,54.5,42.4,82.8,85.4,84.13333333333334,-1.51,0.84,1.48,0.26999999999999996,-1.02,2.53,2.17,0.9766666666666666
