county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
001,1895,4.34,3.65,5.33,2.65,6.66,4.31,53.8,61.8,69.3,71.5,71.9,67.0
001,1896,3.55,7.02,3.99,10.19,5.16,4.3,54.3,64.8,69.5,72.4,70.8,57.9
001,1897,6.59,2.33,4.29,2.97,2.44,1.51,47.3,58.1,69.4,75.1,68.7,71.1
001,1898,1.9,5.16,6.24,2.83,1.33,2.6,47.7,59.5,71.2,72.4,73.1,65.0
001,1899,1.97,6.51,4.12,4.58,4.48,0.71,47.4,59.6,70.2,72.3,73.9,61.7
001,1900,2.16,3.32,3.44,5.36,4.94,4.53,52.0,63.1,69.8,74.4,76.8,64.9
001,1901,2.43,2.77,5.43,2.22,1.08,3.45,48.3,59.7,72.0,81.9,73.8,63.2
001,1902,1.1,5.31,6.57,9.82,6.81,5.63,47.7,63.2,64.6,72.0,68.4,57.8
001,1903,1.98,12.37,4.16,3.72,9.23,2.44,50.0,60.9,63.4,72.6,68.5,60.1
001,1904,4.68,3.96,3.18,4.95,3.79,2.39,43.4,59.2,66.7,70.0,68.9,63.9
001,1905,4.32,5.11,7.19,3.16,4.38,5.85,46.6,58.4,70.3,69.8,73.8,65.1
001,1906,3.18,2.27,4.36,3.52,2.79,4.0,52.4,61.4,68.2,70.4,73.8,65.9
001,1907,1.47,2.9,6.43,7.32,4.36,2.73,41.6,54.4,67.2,74.8,71.7,63.4
001,1908,1.36,9.0,6.52,3.69,6.42,0.89,51.0,59.9,67.4,73.2,70.5,67.4
001,1909,4.88,4.63,6.94,4.92,0.98,4.14,44.2,58.4,69.4,73.2,76.1,62.6
001,1910,1.04,4.02,2.39,1.36,6.12,4.88,52.4,54.9,69.0,74.5,71.8,62.6
001,1911,3.56,4.33,0.74,1.08,3.69,2.88,46.8,64.2,75.8,76.3,72.8,67.2
001,1912,3.87,2.33,3.15,2.18,3.87,5.36,49.6,63.2,66.1,75.6,71.5,60.7
001,1913,2.97,6.83,4.11,1.01,2.44,3.5,50.0,60.1,71.1,77.0,78.6,63.7
001,1914,2.83,1.62,4.74,2.11,2.53,8.47,48.2,62.3,73.6,77.0,74.7,64.5
001,1915,2.0,9.13,3.34,11.85,3.09,5.06,56.7,56.7,65.5,68.8,65.1,63.3
001,1916,2.52,4.43,2.89,1.39,1.67,3.51,46.2,60.0,65.1,79.9,74.5,62.4
001,1917,5.4,3.95,8.57,1.03,2.6,1.13,44.6,54.7,65.5,74.4,69.2,62.6
001,1918,1.54,6.22,4.4,1.63,2.87,1.29,44.0,65.2,72.8,74.4,77.8,59.6
001,1919,7.51,3.47,7.62,2.51,2.1,7.18,47.7,58.3,71.3,77.4,71.4,68.0
001,1920,4.56,3.12,3.05,3.45,3.61,3.89,41.5,58.5,69.3,71.6,68.5,65.4
001,1921,2.64,2.79,3.92,3.5,3.76,6.64,51.3,63.2,74.3,77.6,72.4,67.6
001,1922,2.76,4.14,3.01,6.25,6.32,2.4,50.0,62.5,71.9,71.3,73.5,66.5
001,1923,2.3,2.64,4.57,1.1,5.8,4.51,48.2,59.2,70.0,75.8,70.6,64.0
001,1924,1.48,1.36,10.75,2.51,4.64,3.53,50.2,54.3,66.8,70.1,71.7,58.2
001,1925,1.71,1.05,6.29,1.37,5.27,2.71,56.4,57.8,70.3,74.6,71.9,68.4
001,1926,0.55,2.74,5.42,2.2,3.06,9.29,46.1,64.6,65.9,74.5,73.6,62.8
001,1927,4.27,2.48,1.48,2.01,1.92,4.51,48.7,58.7,66.4,73.3,67.8,67.1
001,1928,1.99,2.65,6.47,5.64,4.98,2.55,44.5,62.7,64.3,73.9,72.8,60.4
