fips5,areasymbol,mukey,muacres,cokey,comppct_r,majcompflag,slope_r,drainagecl,taxorder,hydgrp,hzdept_r,hzdepb_r,claytotal_r,sandtotal_r,silttotal_r,om_r,awc_r,ph1to1h2o_r,dbthirdbar_r,ksat_r,cec7_r
19001,IA001,402215,955,27356980,5,No ,1,Poorly drained,Mollisols,C/D,0,20,30,6,64,6,0.22,6.3,1.27,3,25.6
19001,IA001,402215,955,27356980,5,No ,1,Poorly drained,Mollisols,C/D,20,86,31,6,63,3,0.19,6.4,1.23,3,25.7
19001,IA001,402215,955,27356980,5,No ,1,Poorly drained,Mollisols,C/D,86,117,33,4,63,1.7,0.19,6.5,1.36,3,26.6
19001,IA001,402215,955,27356980,5,No ,1,Poorly drained,Mollisols,C/D,132,200,30,6,64,1,0.19,6.6,1.4,3,23.9
19001,IA001,402215,955,27356980,5,No ,1,Poorly drained,Mollisols,C/D,117,132,32,5,63,1.1,0.19,6.7,1.38,3,25.4
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,0,23,29,4,67,3.8,0.22,5.8,1.31,3,24.4
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,23,56,30,4,66,2.6,0.19,6.1,1.26,3,24.8
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,56,71,30,4,66,2,0.19,6.3,1.27,3,24.6
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,71,89,31,4,65,1,0.19,6.4,1.36,3,24.6
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,89,132,30,4,66,0.5,0.19,6.7,1.4,3,23.3
19001,IA001,402215,955,27356981,90,Yes,4,Well drained,Mollisols,C,132,200,30,4,66,0.3,0.19,6.8,1.38,3,22.8
19001,IA001,402215,955,27356982,5,No ,4,Somewhat poorly drained,Mollisols,C/D,20,81,33,3,64,4.5,0.18,6.1,1.43,3,26.1
19001,IA001,402215,955,27356982,5,No ,4,Somewhat poorly drained,Mollisols,C/D,81,147,33,3,64,2,0.19,6.6,1.43,3,25.3
19001,IA001,402215,955,27356982,5,No ,4,Somewhat poorly drained,Mollisols,C/D,0,20,29,8,63,5.5,0.16,6.6,1.45,3,24
19001,IA001,402215,955,27356982,5,No ,4,Somewhat poorly drained,Mollisols,C/D,147,200,28,4,68,0.75,0.19,7,1.4,3,21.5
19001,IA001,402216,436,27356990,5,No ,4,Somewhat poorly drained,Mollisols,C/D,20,81,33,3,64,4.5,0.18,6.1,1.43,3,26.1
19001,IA001,402216,436,27356990,5,No ,4,Somewhat poorly drained,Mollisols,C/D,81,147,33,3,64,2,0.19,6.6,1.43,3,25.3
19001,IA001,402216,436,27356990,5,No ,4,Somewhat poorly drained,Mollisols,C/D,0,20,29,8,63,5.5,0.16,6.6,1.45,3,24
19001,IA001,402216,436,27356990,5,No ,4,Somewhat poorly drained,Mollisols,C/D,147,200,28,4,68,0.75,0.19,7,1.4,3,21.5
19001,IA001,402216,436,27356991,5,No ,4,Poorly drained,Mollisols,D,0,18,36,3,61,4.5,0.22,6.2,1.34,3,28.9
19001,IA001,402216,436,27356991,5,No ,4,Poorly drained,Mollisols,D,97,155,38,3,59,1.7,0.19,6.9,1.35,0.7,29.3
19001,IA001,402216,436,27356991,5,No ,4,Poorly drained,Mollisols,D,18,51,37,3,60,3.2,0.22,6.4,1.3,0.7,29.2
19001,IA001,402216,436,27356991,5,No ,4,Poorly drained,Mollisols,D,155,200,35,5,60,1.4,0.19,6.8,1.37,3,27.1
19001,IA001,402216,436,27356991,5,No ,4,Poorly drained,Mollisols,D,51,97,41,4,55,2,0.12,6.9,1.32,0.04,29.5
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,0,23,29,4,67,3.8,0.22,5.8,1.31,3,24.4
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,23,56,30,4,66,2.6,0.19,6.1,1.26,3,24.8
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,56,71,30,4,66,2,0.19,6.3,1.27,3,24.6
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,71,89,31,4,65,1,0.19,6.4,1.36,3,24.6
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,89,132,30,4,66,0.5,0.19,6.7,1.4,3,23.3
19001,IA001,402216,436,27356992,85,Yes,7,Well drained,Mollisols,C,132,200,30,4,66,0.3,0.19,6.8,1.38,3,22.8
19001,IA001,402216,436,27356993,5,No ,4,Poorly drained,Mollisols,C/D,0,20,25,10,65,3.5,0.23,5.7,1.36,9,21.3
19001,IA001,402216,436,27356993,5,No ,4,Poorly drained,Mollisols,C/D,79,168,32,10,58,0.5,0.19,5.7,1.49,3,24.7
19001,IA001,402216,436,27356993,5,No ,4,Poorly drained,Mollisols,C/D,168,200,32,10,58,0.25,0.19,5.8,1.43,3,24
19001,IA001,402216,436,27356993,5,No ,4,Poorly drained,Mollisols,C/D,20,38,25,10,65,2.5,0.23,5.8,1.34,9,21
19001,IA001,402216,436,27356993,5,No ,4,Poorly drained,Mollisols,C/D,38,79,22,10,68,1.5,0.21,5.6,1.42,9,18.4
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,0,23,29,4,67,3.8,0.22,5.8,1.31,3,24.4
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,23,56,30,4,66,2.6,0.19,6.1,1.26,3,24.8
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,56,71,30,4,66,2,0.19,6.3,1.27,3,24.6
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,71,89,31,4,65,1,0.19,6.4,1.36,3,24.6
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,89,132,30,4,66,0.5,0.19,6.7,1.4,3,23.3
19001,IA001,402143,48103,27357396,10,No ,4,Well drained,Mollisols,C,132,200,30,4,66,0.3,0.19,6.8,1.38,3,22.8
19001,IA001,402143,48103,27357397,30,Yes,4,Somewhat poorly drained,Mollisols,C/D,20,81,33,3,64,4.5,0.18,6.1,1.43,3,26.1
19001,IA001,402143,48103,27357397,30,Yes,4,Somewhat poorly drained,Mollisols,C/D,81,147,33,3,64,2,0.19,6.6,1.43,3,25.3
19001,IA001,402143,48103,27357397,30,Yes,4,Somewhat poorly drained,Mollisols,C/D,0,20,29,8,63,5.5,0.16,6.6,1.45,3,24
19001,IA001,402143,48103,27357397,30,Yes,4,Somewhat poorly drained,Mollisols,C/D,147,200,28,4,68,0.75,0.19,7,1.4,3,21.5
19001,IA001,402143,48103,27357398,60,Yes,4,Poorly drained,Mollisols,C/D,0,20,30,6,64,6,0.22,6.3,1.27,3,25.6
19001,IA001,402143,48103,27357398,60,Yes,4,Poorly drained,Mollisols,C/D,20,86,31,6,63,3,0.19,6.4,1.23,3,25.7
19001,IA001,402143,48103,27357398,60,Yes,4,Poorly drained,Mollisols,C/D,86,117,33,4,63,1.7,0.19,6.5,1.36,3,26.6
19001,IA001,402143,48103,27357398,60,Yes,4,Poorly drained,Mollisols,C/D,132,200,30,6,64,1,0.19,6.6,1.4,3,23.9
19001,IA001,402143,48103,27357398,60,Yes,4,Poorly drained,Mollisols,C/D,117,132,32,5,63,1.1,0.19,6.7,1.38,3,25.4
19001,IA001,402146,891,27357753,5,No ,1,Moderately well drained,Mollisols,B,0,20,26,6,68,4.8,0.23,6.1,1.28,9,22.3
19001,IA001,402146,891,27357753,5,No ,1,Moderately well drained,Mollisols,B,20,137,26,8,66,3.5,0.21,6.4,1.31,9,22.1
19001,IA001,402146,891,27357753,5,No ,1,Moderately well drained,Mollisols,B,137,200,26,12,62,1,0.21,6.4,1.38,9,21
19001,IA001,402146,891,27357754,35,Yes,3,Moderately well drained,Entisols,B,0,18,25,9,66,2.8,0.23,6.5,1.31,9,21.1
19001,IA001,402146,891,27357754,35,Yes,3,Moderately well drained,Entisols,B,18,200,23,10,67,1.8,0.21,6.6,1.39,9,19.3
19001,IA001,402146,891,27357755,5,No ,1,Excessively drained,Entisols,A,23,200,6,92,2,0.3,0.06,6.5,1.61,200,4.5
19001,IA001,402146,891,27357755,5,No ,1,Excessively drained,Entisols,A,0,23,6,90,4,1,0.08,6.1,1.6,200,5
19001,IA001,402146,891,27357756,50,Yes,4,Poorly drained,Mollisols,C/D,0,20,25,10,65,3.5,0.23,5.7,1.36,9,21.3
19001,IA001,402146,891,27357756,50,Yes,4,Poorly drained,Mollisols,C/D,79,168,32,10,58,0.5,0.19,5.7,1.49,3,24.7
19001,IA001,402146,891,27357756,50,Yes,4,Poorly drained,Mollisols,C/D,168,200,32,10,58,0.25,0.19,5.8,1.43,3,24
19001,IA001,402146,891,27357756,50,Yes,4,Poorly drained,Mollisols,C/D,20,38,25,10,65,2.5,0.23,5.8,1.34,9,21
19001,IA001,402146,891,27357756,50,Yes,4,Poorly drained,Mollisols,C/D,38,79,22,10,68,1.5,0.21,5.6,1.42,9,18.4
19001,IA001,402146,891,27357757,5,No ,1,Poorly drained,Mollisols,C/D,0,20,30,6,64,6,0.22,6.3,1.23,3,25.6
19001,IA001,402146,891,27357757,5,No ,1,Poorly drained,Mollisols,C/D,20,86,31,6,63,3,0.19,6.4,1.26,3,25.7
19001,IA001,402146,891,27357757,5,No ,1,Poorly drained,Mollisols,C/D,86,117,33,4,63,1.7,0.19,6.5,1.37,3,26.6
19001,IA001,402146,891,27357757,5,No ,1,Poorly drained,Mollisols,C/D,132,200,30,6,64,1,0.19,6.6,1.4,3,23.9
19001,IA001,402146,891,27357757,5,No ,1,Poorly drained,Mollisols,C/D,117,132,32,5,63,1.1,0.19,6.7,1.4,3,25.4
19001,IA001,402187,1005,27357750,5,No ,1,Poorly drained,Mollisols,C/D,0,20,30,6,64,6,0.22,6.3,1.27,3,25.6
19001,IA001,402187,1005,27357750,5,No ,1,Poorly drained,Mollisols,C/D,20,86,31,6,63,3,0.19,6.4,1.23,3,25.7
19001,IA001,402187,1005,27357750,5,No ,1,Poorly drained,Mollisols,C/D,86,117,33,4,63,1.7,0.19,6.5,1.36,3,26.6
19001,IA001,402187,1005,27357750,5,No ,1,Poorly drained,Mollisols,C/D,117,132,32,5,63,1.1,0.19,6.7,1.38,3,25.4
19001,IA001,402187,1005,27357750,5,No ,1,Poorly drained,Mollisols,C/D,132,200,30,6,64,1,0.19,6.6,1.4,3,23.9
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,20,28,28,7,65,3.5,0.22,6.5,1.28,3,23.1
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,0,20,28,7,65,3.5,0.22,6.4,1.33,3,23.1
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,78,183,39,7,54,1.3,0.19,5.6,1.38,0.7,29.7
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,183,200,35,9,56,0.8,0.19,6,1.42,0.7,26.6
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,64,78,32,5,63,1,0.19,5.7,1.38,3,24.8
19001,IA001,402187,1005,27357751,5,No ,1,Poorly drained,Mollisols,C/D,28,64,22,5,73,1.5,0.21,5.7,1.42,9,18.2
19001,IA001,402187,1005,27357752,90,Yes,1,Poorly drained,Mollisols,C/D,0,20,25,10,65,3.5,0.23,5.7,1.36,9,21.3
19001,IA001,402187,1005,27357752,90,Yes,1,Poorly drained,Mollisols,C/D,79,168,32,10,58,0.5,0.19,5.7,1.49,3,24.7
19001,IA001,402187,1005,27357752,90,Yes,1,Poorly drained,Mollisols,C/D,168,200,32,10,58,0.25,0.19,5.8,1.43,3,24
19001,IA001,402187,1005,27357752,90,Yes,1,Poorly drained,Mollisols,C/D,20,38,25,10,65,2.5,0.23,5.8,1.34,9,21
19001,IA001,402187,1005,27357752,90,Yes,1,Poorly drained,Mollisols,C/D,38,79,22,10,68,1.5,0.21,5.6,1.42,9,18.4
19001,IA001,402188,2935,27357370,85,Yes,1,Poorly drained,Mollisols,D,0,18,36,3,61,4.5,0.22,6.2,1.34,3,28.9
19001,IA001,402188,2935,27357370,85,Yes,1,Poorly drained,Mollisols,D,18,51,37,3,60,3.2,0.22,6.4,1.3,0.7,29.2
19001,IA001,402188,2935,27357370,85,Yes,1,Poorly drained,Mollisols,D,155,200,35,5,60,1.4,0.19,6.8,1.37,3,27.1
19001,IA001,402188,2935,27357370,85,Yes,1,Poorly drained,Mollisols,D,51,97,41,4,55,2,0.12,6.9,1.32,0.04,29.5
19001,IA001,402188,2935,27357370,85,Yes,1,Poorly drained,Mollisols,D,97,155,38,3,59,1.7,0.19,6.9,1.35,0.7,29.3
19001,IA001,402188,2935,27357371,5,No ,1,Poorly drained,Mollisols,D,147,200,35,5,60,1.4,0.19,6.8,1.37,3,27.1
19001,IA001,402188,2935,27357371,5,No ,1,Poorly drained,Mollisols,D,33,127,41,4,55,2,0.12,6.9,1.32,0.04,29.5
19001,IA001,402188,2935,27357371,5,No ,1,Poorly drained,Mollisols,D,127,147,38,3,59,1.7,0.19,6.9,1.35,0.7,29.3
19001,IA001,402188,2935,27357371,5,No ,1,Poorly drained,Mollisols,D,0,18,23,12,65,3,0.23,6.7,1.36,9,19.4
19001,IA001,402188,2935,27357371,5,No ,1,Poorly drained,Mollisols,D,18,33,23,12,65,3,0.23,6.7,1.31,9,19.4
19001,IA001,402188,2935,27357372,5,No ,1,Poorly drained,Mollisols,C/D,0,20,30,6,64,6,0.22,6.3,1.27,3,25.6
19001,IA001,402188,2935,27357372,5,No ,1,Poorly drained,Mollisols,C/D,20,86,31,6,63,3,0.19,6.4,1.23,3,25.7
19001,IA001,402188,2935,27357372,5,No ,1,Poorly drained,Mollisols,C/D,86,117,33,4,63,1.7,0.19,6.5,1.36,3,26.6
19001,IA001,402188,2935,27357372,5,No ,1,Poorly drained,Mollisols,C/D,117,132,32,5,63,1.1,0.19,6.7,1.38,3,25.4
19001,IA001,402188,2935,27357372,5,No ,1,Poorly drained,Mollisols,C/D,132,200,30,6,64,1,0.19,6.6,1.4,3,23.9
19001,IA001,402188,2935,27357373,5,No ,1,Very poorly drained,Mollisols,D,0,15,50,3,47,5,0.13,6.2,1.33,0.04,38.5
19001,IA001,402188,2935,27357373,5,No ,1,Very poorly drained,Mollisols,D,15,48,50,7.5,42.5,3,0.12,6.2,1.33,0.04,37.8
19001,IA001,402188,2935,27357373,5,No ,1,Very poorly drained,Mollisols,D,48,152,50,7.5,42.5,1.5,0.11,6.2,1.33,0.04,37
19001,IA001,402189,2219,27357382,5,No ,1,Somewhat poorly drained,Entisols,C/D,64,152,32,4,64,4,0.19,6.4,1.28,3,26.8
19001,IA001,402189,2219,27357382,5,No ,1,Somewhat poorly drained,Entisols,C/D,0,15,24,5,71,2,0.22,5.9,1.41,9,20.1
19001,IA001,402189,2219,27357382,5,No ,1,Somewhat poorly drained,Entisols,C/D,15,64,26,5,69,2,0.22,6.3,1.36,9,21.6
19001,IA001,402189,2219,27357383,5,No ,1,Moderately well drained,Entisols,B,0,18,25,9,66,2.8,0.23,6.5,1.36,9,21.1
19001,IA001,402189,2219,27357383,5,No ,1,Moderately well drained,Entisols,B,18,200,23,10,67,1.8,0.21,6.6,1.39,9,19.3
19001,IA001,402189,2219,27357384,85,Yes,1,Poorly drained,Mollisols,D,147,200,35,5,60,1.4,0.19,6.8,1.37,3,27.1
19001,IA001,402189,2219,27357384,85,Yes,1,Poorly drained,Mollisols,D,33,127,41,4,55,2,0.12,6.9,1.32,0.04,29.5
19001,IA001,402189,2219,27357384,85,Yes,1,Poorly drained,Mollisols,D,127,147,38,3,59,1.7,0.19,6.9,1.35,0.7,29.3
19001,IA001,402189,2219,27357384,85,Yes,1,Poorly drained,Mollisols,D,0,18,23,12,65,3,0.23,6.7,1.36,9,19.4
19001,IA001,402189,2219,27357384,85,Yes,1,Poorly drained,Mollisols,D,18,33,23,12,65,3,0.23,6.7,1.31,9,19.4
19001,IA001,402189,2219,27357385,5,No ,1,Poorly drained,Mollisols,C/D,0,28,27,15,58,3.5,0.22,6.5,1.4,9,22.4
