year,o3_mean_ppm,o3_4thmax_ppm,o3_90pct_ppm,monitors,counties
1980,0.0430531568627451,0.0880588235294117,0.0735686274509803,51,9
1981,0.0441317719298245,0.0832631578947368,0.069719298245614,57,9
1982,0.0471843166666666,0.0846190476190476,0.0713833333333333,63,9
1983,0.0522933859649122,0.0934,0.0823157894736841,60,9
1984,0.0492002463768115,0.0897246376811594,0.0749420289855072,69,11
1985,0.0483068888888888,0.0842777777777777,0.0706805555555555,72,12
1986,0.046645619047619,0.0861269841269841,0.0687619047619047,63,11
1987,0.0497072179487179,0.0894999999999999,0.0748846153846153,78,15
1988,0.0534391666666666,0.1011923076923077,0.0847820512820512,78,16
1989,0.0487147142857142,0.0820714285714285,0.0701309523809523,84,18
1990,0.0477299462365591,0.0845483870967741,0.0710537634408602,93,21
1991,0.0532016979166666,0.0888020833333333,0.0761041666666666,96,20
1992,0.0466486999999999,0.0798333333333333,0.0653333333333333,90,16
1993,0.0487673103448276,0.0797241379310344,0.0681264367816092,87,16
1994,0.0549556049382716,0.0917777777777777,0.077037037037037,81,16
1995,0.0553633229166666,0.0931770833333333,0.0791874999999999,96,19
1996,0.0530964999999999,0.0905333333333333,0.0746333333333333,90,19
1997,0.0520365833333333,0.088875,0.0735208333333333,96,21
1998,0.057349219047619,0.0909142857142857,0.0776285714285714,105,21
1999,0.0547317314814814,0.0914166666666666,0.0779814814814814,108,22
2000,0.0483812619047618,0.0808650793650793,0.0654682539682539,126,28
2001,0.0512444148148148,0.0811925925925926,0.0705481481481481,135,30
2002,0.0552278409090909,0.0957954545454545,0.0795378787878788,132,29
2003,0.0502769481481481,0.0823555555555555,0.0686296296296296,135,30
2004,0.0468099166666666,0.0703560606060606,0.0617196969696969,132,30
2005,0.0523833720930232,0.0798062015503875,0.0710232558139534,129,29
2006,0.0471745984848484,0.0728712121212121,0.0633333333333333,132,29
2007,0.0523332945736434,0.0801627906976744,0.0701937984496124,129,29
2008,0.046363746031746,0.0673968253968254,0.0602301587301587,126,29
2009,0.0423571287878787,0.0646969696969697,0.056590909090909,132,29
2010,0.0464870303030303,0.0677045454545454,0.0606287878787878,132,29
2011,0.0456449545454545,0.0709925925925926,0.0621666666666666,135,29
2012,0.0492921395348837,0.0765813953488372,0.0666201550387596,129,29
2013,0.0443826136363636,0.0637499999999999,0.0567499999999999,132,30
2014,0.0435025144927536,0.0630144927536231,0.0566376811594202,138,31
2015,0.0422961811594202,0.0635362318840579,0.0555579710144927,138,31
2016,0.0439274186046511,0.0689302325581395,0.0600077519379844,129,30
2017,0.0425242272727272,0.0668181818181818,0.0554015151515151,132,30
2018,0.0416152619047618,0.0697777777777777,0.0561111111111111,126,30
2019,0.0421148888888888,0.0628809523809523,0.0547222222222222,126,30
2020,0.0397983418803418,0.0651538461538461,0.0535470085470085,117,27
2021,0.0415586837606837,0.0645982905982906,0.0549743589743589,117,27
2022,0.042086798245614,0.0665263157894736,0.054438596491228,114,27
2023,0.0446310283687943,0.071886524822695,0.0587446808510638,141,27
2024,0.0446605040650406,0.0654715447154471,0.0569674796747967,123,27
