state,state_ansi,county,county_ansi,ag_district,ag_district_code,year,acres_harvested,acres_planted,production_bu,yield_bu_ac,is_county_estimate
INDIANA,18,ADAMS,001,NORTHEAST,30,1980,70700.0,70800.0,2730900.0,38.6,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1981,67700.0,68500.0,2044500.0,30.2,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1982,69300.0,69900.0,2849600.0,41.1,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1983,63800.0,64400.0,1975100.0,31.0,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1984,70000.0,70600.0,2669100.0,38.1,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1985,72200.0,72600.0,2975600.0,41.2,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1986,67700.0,68400.0,2753300.0,40.7,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1987,75300.0,76000.0,3040800.0,40.4,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1988,73200.0,75500.0,1826300.0,24.9,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1989,82600.0,84200.0,2724600.0,33.0,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1990,72900.0,73400.0,3102900.0,42.6,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1991,75700.0,76500.0,3069300.0,40.5,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1992,77200.0,78000.0,3095200.0,40.1,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1993,80000.0,81300.0,3434500.0,42.9,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1994,74100.0,74300.0,3368700.0,45.5,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1995,77600.0,78000.0,2891500.0,37.3,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1996,81500.0,81900.0,2729400.0,33.5,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1997,87200.0,88000.0,4000900.0,45.9,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1998,85600.0,87400.0,3398100.0,39.7,1
INDIANA,18,ADAMS,001,NORTHEAST,30,1999,81100.0,81800.0,2872000.0,35.4,1
