county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1895,,,40.3,49.4,57.0,33.2,85.2,85.9,85.3,-3.22,-3.98,-4.2,-3.8000000000000003,-2.64,-3.25,-1.9,-2.5733333333333337
001,1896,7.619999999999999,9.5,45.7,56.4,51.1,37.5,83.2,81.3,81.56666666666666,0.1,3.2,4.83,2.7100000000000004,-0.65,9.32,5.88,5.170000000000001
001,1897,6.1,3.85,37.7,45.7,50.9,43.3,86.6,79.5,81.5,3.25,-0.44,-0.33,0.8266666666666667,3.32,-1.33,0.2,-0.11
001,1898,8.040000000000001,7.94,36.2,50.6,57.1,44.5,87.0,82.6,84.23333333333333,1.64,1.62,1.26,1.5066666666666666,2.34,0.45,-0.56,-0.5033333333333333
001,1899,6.95,5.28,43.0,52.5,53.0,46.4,85.4,85.5,84.83333333333333,-2.43,-2.15,-2.74,-2.44,-1.64,0.06,-2.43,-1.7466666666666668
001,1900,8.99,5.359999999999999,39.0,51.4,57.6,48.1,83.4,86.3,82.76666666666667,1.17,1.3,1.78,1.4166666666666667,0.28,0.76,1.84,1.7833333333333332
001,1901,4.18,4.65,36.1,47.8,53.7,41.1,91.1,84.5,86.06666666666666,-0.43,-1.46,-1.94,-1.2766666666666666,0.67,-3.2,-1.89,-2.13
001,1902,5.58,5.3100000000000005,37.6,50.9,51.7,44.9,83.9,79.3,79.89999999999999,1.78,1.58,1.04,1.4666666666666668,-3.43,-0.04,-1.12,1.39
001,1903,9.5,6.52,38.5,51.8,51.6,41.6,84.2,80.5,79.7,2.21,1.84,1.82,1.9566666666666668,2.1,-0.43,0.52,0.35000000000000003
001,1904,9.77,3.8899999999999997,33.5,49.5,53.1,40.0,82.1,80.2,79.86666666666666,2.93,3.12,3.08,3.0433333333333334,3.66,1.5,0.83,0.41999999999999993
001,1905,6.3999999999999995,3.14,37.6,48.8,53.4,40.2,83.2,82.2,81.8,1.02,0.8,1.27,1.03,0.77,-0.33,1.66,0.7766666666666667
001,1906,4.87,4.72,39.3,50.2,55.7,42.0,84.1,84.9,82.96666666666667,-1.17,-1.29,0.84,-0.54,-1.08,-0.72,2.52,0.39333333333333337
001,1907,8.91,5.800000000000001,30.8,42.1,52.3,37.6,82.4,79.6,79.13333333333334,1.38,2.81,2.68,2.2899999999999996,0.77,4.72,0.46,2.4166666666666665
001,1908,9.53,5.82,39.5,51.7,53.1,38.9,85.0,83.9,83.06666666666668,-0.82,-0.83,-1.4,-1.0166666666666666,-0.14,-0.27,-1.98,-1.4533333333333331
001,1909,8.58,2.69,35.7,47.3,49.4,35.3,81.0,83.5,81.33333333333333,1.61,1.77,2.29,1.89,1.2,0.98,2.11,1.5599999999999998
001,1910,7.59,5.779999999999999,37.4,42.8,52.6,42.8,85.0,83.4,82.5,-2.26,-2.53,-2.68,-2.4899999999999998,-1.58,-1.51,-1.23,-1.7566666666666666
001,1911,6.1899999999999995,4.65,35.4,51.5,55.4,40.0,86.1,81.2,82.96666666666665,-1.29,-1.73,0.53,-0.8300000000000001,-1.11,-1.71,1.6,-0.3299999999999999
001,1912,6.960000000000001,5.960000000000001,38.2,49.9,53.5,39.2,82.5,78.5,79.63333333333334,0.98,1.75,2.78,1.8366666666666667,1.42,2.62,3.64,1.7966666666666669
001,1913,9.37,2.7,36.8,46.8,50.0,41.2,86.2,83.6,84.3,-1.12,0.79,1.09,0.25333333333333335,-0.14,2.36,1.15,0.17999999999999985
001,1914,4.99,3.25,37.0,48.9,49.9,45.2,86.7,83.7,84.60000000000001,-0.62,-0.75,0.73,-0.21333333333333337,0.54,-0.57,2.19,-0.08333333333333333
001,1915,6.890000000000001,4.46,41.8,44.7,55.3,42.4,80.0,73.7,76.39999999999999,0.1,1.93,3.13,1.72,0.35,5.51,4.21,3.026666666666667
001,1916,9.25,5.18,37.4,49.3,50.1,37.8,91.0,86.6,83.93333333333332,3.88,-0.97,-1.18,0.5766666666666668,3.23,-2.91,-0.93,-0.3000000000000001
