county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
001,1895,1.29,1.78,2.39,1.4,2.66,2.07,51.4,61.8,72.4,72.2,73.2,68.6
001,1896,2.83,4.5,4.12,11.18,7.01,5.11,56.6,67.7,69.3,73.1,71.1,60.8
001,1897,3.5,3.49,4.35,2.51,3.03,0.72,47.0,56.7,67.8,76.0,68.2,66.6
001,1898,2.47,5.79,2.87,4.28,2.86,3.7,46.8,60.2,71.3,75.3,72.8,68.3
001,1899,0.77,3.08,2.02,4.37,1.99,2.28,53.6,62.4,72.2,73.7,74.0,63.8
001,1900,2.11,4.18,6.15,3.96,4.53,1.79,49.2,63.1,68.8,73.2,76.4,68.2
001,1901,2.33,5.31,3.04,1.6,2.45,1.56,46.8,58.1,72.0,78.9,72.7,65.0
001,1902,1.48,2.91,8.23,3.28,1.68,6.5,48.4,62.9,66.8,73.1,68.1,61.8
001,1903,4.55,3.57,4.11,2.95,3.24,1.97,49.0,63.9,64.2,72.8,69.7,63.9
001,1904,4.39,3.35,2.69,4.64,3.21,2.93,43.0,59.8,67.3,71.3,67.8,64.0
001,1905,3.94,5.3,4.71,3.05,4.24,4.31,47.9,60.5,69.4,73.1,71.6,64.5
001,1906,2.06,2.77,3.38,3.0,5.59,2.29,51.2,62.4,69.2,72.2,74.4,67.8
001,1907,2.0,2.91,5.15,7.21,2.61,3.04,40.2,53.5,65.3,72.4,68.6,63.0
001,1908,2.81,4.31,1.95,3.61,1.76,0.7,49.9,61.6,68.7,73.7,71.2,68.4
001,1909,4.59,4.03,5.27,3.87,4.29,2.22,46.8,57.5,69.8,70.4,72.0,60.9
001,1910,2.89,3.84,1.23,2.55,2.39,5.48,49.6,53.9,65.6,73.1,69.8,63.2
001,1911,4.61,1.63,3.55,2.5,4.74,3.62,45.5,65.2,70.0,72.8,70.3,65.4
001,1912,3.89,3.38,2.7,5.7,5.28,3.45,49.0,61.5,65.8,72.5,68.2,64.9
001,1913,3.27,3.26,1.31,6.03,4.02,2.22,47.5,59.0,69.5,74.1,71.9,62.2
