fips5,areasymbol,mukey,muacres,cokey,comppct_r,majcompflag,slope_r,drainagecl,taxorder,hydgrp,hzdept_r,hzdepb_r,claytotal_r,sandtotal_r,silttotal_r,om_r,awc_r,ph1to1h2o_r,dbthirdbar_r,ksat_r,cec7_r
18001,IN001,163427,675,27017602,90,Yes,0.5,Well drained,Mollisols,B,112,200,26,28,46,1.75,0.17,7,1.47,9.17,21.5
18001,IN001,163427,675,27017602,90,Yes,0.5,Well drained,Mollisols,B,0,28,31,10,59,3.25,0.23,7,1.36,9.17,25.8
18001,IN001,163427,675,27017602,90,Yes,0.5,Well drained,Mollisols,B,28,51,31,12,57,3.25,0.23,7.2,1.34,9.17,25.8
18001,IN001,163427,675,27017602,90,Yes,0.5,Well drained,Mollisols,B,51,112,30,13,57,1.75,0.17,7.2,1.31,9.17,22.7
18001,IN001,163427,675,27017603,3,No ,0.5,Somewhat poorly drained,Mollisols,B/D,0,18,33,12,55,3,0.21,7.6,1.39,9.17,25.7
18001,IN001,163427,675,27017603,3,No ,0.5,Somewhat poorly drained,Mollisols,B/D,130,200,22,55,23,1.25,0.16,7.5,1.48,23.29,16.7
18001,IN001,163427,675,27017603,3,No ,0.5,Somewhat poorly drained,Mollisols,B/D,18,30,28,18,54,3.5,0.24,7,1.29,9.17,23.6
18001,IN001,163427,675,27017603,3,No ,0.5,Somewhat poorly drained,Mollisols,B/D,30,130,28,15,57,2,0.18,6.7,1.36,9.17,23.1
18001,IN001,163427,675,27017604,3,No ,0.5,Very poorly drained,Mollisols,B/D,36,106,32,18,50,2.5,0.18,7,1.39,9.17,26.3
18001,IN001,163427,675,27017604,3,No ,0.5,Very poorly drained,Mollisols,B/D,106,200,18,40,42,0.75,0.15,7.4,1.45,2.82,14.9
18001,IN001,163427,675,27017604,3,No ,0.5,Very poorly drained,Mollisols,B/D,0,36,30,18,52,4,0.23,7,1.35,9.17,25.2
18001,IN001,163427,675,27017605,4,No ,0.5,Very poorly drained,Mollisols,C/D,28,112,46,10,44,2.55,0.14,7,1.33,2.82,24.7
18001,IN001,163427,675,27017605,4,No ,0.5,Very poorly drained,Mollisols,C/D,112,200,41,15,44,1.25,0.16,7,1.38,2.82,21.9
18001,IN001,163427,675,27017605,4,No ,0.5,Very poorly drained,Mollisols,C/D,0,28,51,6,43,4.5,0.15,7,1.32,2.82,27.6
18001,IN001,2676630,44369,27017516,9,No ,0.5,Very poorly drained,Mollisols,C/D,0,28,35,15,50,5,0.22,6.4,1.45,9.17,18
18001,IN001,2676630,44369,27017516,9,No ,0.5,Very poorly drained,Mollisols,C/D,86,145,42,20,38,1.25,0.12,7,1.55,2.82,21
18001,IN001,2676630,44369,27017516,9,No ,0.5,Very poorly drained,Mollisols,C/D,28,86,42,16,42,1.25,0.15,6.4,1.55,2.82,21
18001,IN001,2676630,44369,27017516,9,No ,0.5,Very poorly drained,Mollisols,C/D,145,200,33,23,44,0.5,0.09,7.9,1.65,2.82,15
18001,IN001,2676630,44369,27017517,85,Yes,1,Somewhat poorly drained,Alfisols,D,99,200,33,22,45,0.25,0.03,8,1.9,0.74,18
18001,IN001,2676630,44369,27017517,85,Yes,1,Somewhat poorly drained,Alfisols,D,25,83,42,16,42,0.5,0.15,6.5,1.55,0.92,24
18001,IN001,2676630,44369,27017517,85,Yes,1,Somewhat poorly drained,Alfisols,D,0,25,22,22,56,2.5,0.21,6.4,1.45,9.17,18
18001,IN001,2676630,44369,27017517,85,Yes,1,Somewhat poorly drained,Alfisols,D,83,99,35,25,40,0.25,0.12,7.6,1.8,0.92,18
