year,o3_mean_ppm,o3_4thmax_ppm,o3_90pct_ppm,monitors,counties
1980,0.0411284,0.0784,0.0611999999999999,30,8
1981,0.0361240666666666,0.0649666666666666,0.0543,30,9
1982,0.0369668888888888,0.0629259259259259,0.0534074074074074,27,8
1983,0.0426042777777777,0.0737222222222222,0.0606666666666666,18,5
1984,0.0389354761904761,0.0649047619047619,0.0527142857142857,21,6
1985,0.0395306666666666,0.0639047619047619,0.0551428571428571,21,6
1986,0.0334332777777777,0.052047619047619,0.0497777777777777,21,5
1987,0.0420400555555555,0.0696666666666666,0.0593888888888888,18,5
1988,0.0461636666666666,0.0778095238095238,0.0679047619047619,21,5
1989,0.0424018333333333,0.06675,0.05925,24,7
1990,0.0393573333333333,0.0594761904761904,0.0535555555555555,21,5
1991,0.0383885333333333,0.0666,0.0548,15,4
1992,0.0368792666666666,0.0729999999999999,0.0542,15,4
1993,0.0335628888888888,0.0577222222222222,0.0482777777777777,18,5
1994,0.0389156111111111,0.0678333333333333,0.0549444444444444,18,5
1995,0.0405391666666666,0.0756666666666666,0.0576666666666666,18,5
1996,0.040375238095238,0.0634285714285714,0.0542380952380952,21,6
1997,0.0386439444444444,0.0666666666666666,0.0538333333333333,18,5
1998,0.0436727592592592,0.0702777777777777,0.0587962962962963,54,5
1999,0.0402797142857142,0.0731904761904762,0.0583809523809523,21,6
2000,0.0406507142857142,0.0659523809523809,0.0557142857142857,21,6
2001,0.0397342916666666,0.0690416666666666,0.05525,24,7
2002,0.0421468888888888,0.068,0.0581481481481481,27,8
2003,0.0450265128205128,0.069,0.061,39,12
2004,0.0385594666666666,0.0591333333333333,0.0523999999999999,45,13
2005,0.0436151875,0.0694166666666666,0.0598541666666666,48,14
2006,0.043678625,0.0654791666666666,0.0577083333333333,48,14
2007,0.0411719583333333,0.06725,0.0559166666666666,48,14
2008,0.0403176458333333,0.0590625,0.0531458333333333,48,14
2009,0.0395181458333333,0.0586458333333333,0.0530416666666666,48,14
2010,0.0389054583333333,0.061125,0.0521666666666666,48,14
2011,0.03849575,0.0600208333333333,0.0502499999999999,48,14
2012,0.0409150476190476,0.065047619047619,0.0559365079365079,63,14
2013,0.0387345490196078,0.0613529411764705,0.0527450980392156,51,15
2014,0.0366736274509803,0.0595882352941176,0.0498235294117647,51,15
2015,0.037874294117647,0.0586666666666666,0.0507450980392156,51,15
2016,0.0342882352941176,0.0590196078431372,0.0479411764705882,51,15
2017,0.0365945098039215,0.0592745098039215,0.0497058823529411,51,15
2018,0.0373437058823529,0.0608235294117646,0.0518431372549019,51,15
2019,0.0362318823529411,0.0584117647058823,0.049235294117647,51,15
2020,0.036142862745098,0.0578235294117647,0.0477647058823529,51,15
2021,0.0390260980392156,0.0615882352941176,0.0530196078431372,51,15
2022,0.038261725490196,0.0554313725490196,0.0491372549019607,51,15
2023,0.0426784901960784,0.071235294117647,0.0590980392156862,51,15
2024,0.0388580526315789,0.0558947368421052,0.0487719298245613,57,17
