SOURCE_DESC,SECTOR_DESC,GROUP_DESC,COMMODITY_DESC,CLASS_DESC,PRODN_PRACTICE_DESC,UTIL_PRACTICE_DESC,STATISTICCAT_DESC,UNIT_DESC,SHORT_DESC,DOMAIN_DESC,DOMAINCAT_DESC,AGG_LEVEL_DESC,STATE_ANSI,STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,ASD_CODE,ASD_DESC,COUNTY_ANSI,COUNTY_CODE,COUNTY_NAME,REGION_DESC,ZIP_5,WATERSHED_CODE,WATERSHED_DESC,CONGR_DISTRICT_CODE,COUNTRY_CODE,COUNTRY_NAME,LOCATION_DESC,YEAR,FREQ_DESC,BEGIN_CODE,END_CODE,REFERENCE_PERIOD_DESC,WEEK_ENDING,LOAD_TIME,VALUE,CV_%,CENSUS_YEAR,VALUE_NUM,suppressed,series
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,119,119,POLK,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, POLK",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"311,160",15.8,2017,311160.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,119,119,POLK,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, POLK",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,396,50.0,2017,396.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,119,119,POLK,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, POLK",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"93,682",,2017,93682.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,005,005,BECKER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, BECKER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"86,237",15.8,2017,86237.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,005,005,BECKER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, BECKER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"3,332",50.0,2017,3332.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,"PRODUCERS: (RACE = AMERICAN INDIAN OR ALASKA NATIVE, ALONE OR COMBINED WITH OTHER RACES)",COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,005,005,BECKER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, BECKER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,279,,2017,279.0,False,TOTAL
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,005,005,BECKER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, BECKER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"27,452",,2017,27452.0,False,TOTAL
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,"PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)",COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,005,005,BECKER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, BECKER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"86,107",,2017,86107.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,027,027,CLAY,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"210,459",15.8,2017,210459.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,027,027,CLAY,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,880,50.0,2017,880.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,027,027,CLAY,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, CLAY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"46,714",,2017,46714.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,27,27,MN,MINNESOTA,10,NORTHWEST,029,029,CLEARWATER,,,00000000,,,9000,UNITED STATES,"MINNESOTA, NORTHWEST, CLEARWATER",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"16,293",15.8,2017,16293.0,False,TOTAL
