state,state_ansi,county,county_ansi,ag_district,ag_district_code,year,acres_harvested,acres_planted,production_bu,yield_bu_ac,is_county_estimate
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1980,500.0,500.0,9300.0,19.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1981,400.0,500.0,7200.0,18.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1982,500.0,500.0,12000.0,24.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1991,1000.0,1000.0,29000.0,29.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1992,900.0,1100.0,9900.0,11.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1995,1600.0,1800.0,52800.0,33.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1996,1500.0,1600.0,42000.0,28.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,1997,1700.0,1700.0,44200.0,26.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2002,3400.0,3500.0,102000.0,30.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2003,3700.0,3800.0,125800.0,34.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2010,4900.0,5000.0,194000.0,39.6,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2011,6200.0,6200.0,191000.0,30.8,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2012,8000.0,9100.0,227000.0,28.4,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2015,6000.0,6100.0,192000.0,32.0,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2017,7470.0,7700.0,228000.0,30.5,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2018,5840.0,5900.0,167000.0,28.6,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2020,7650.0,8300.0,295000.0,38.6,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2022,4760.0,4800.0,132000.0,27.7,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2023,8740.0,8900.0,277000.0,31.7,1
MINNESOTA,27,AITKIN,001,EAST CENTRAL,60,2024,5940.0,6000.0,194000.0,32.7,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1980,6000.0,6200.0,165400.0,28.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1981,5900.0,5900.0,147500.0,25.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1982,6600.0,6800.0,184800.0,27.2,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1983,4300.0,4900.0,111800.0,22.8,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1984,8100.0,8300.0,202500.0,25.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1985,9100.0,9500.0,209300.0,23.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1986,9800.0,10000.0,284200.0,29.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1987,3300.0,3400.0,102300.0,31.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1988,2500.0,3300.0,47500.0,19.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1989,4000.0,4200.0,84000.0,21.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1990,3700.0,3800.0,99900.0,27.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1991,4000.0,4100.0,120000.0,30.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1992,3300.0,4000.0,66000.0,20.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1993,4100.0,4500.0,102500.0,25.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1994,4100.0,4100.0,131200.0,32.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1995,3800.0,3900.0,125400.0,33.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1996,4200.0,4300.0,84000.0,20.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1997,5400.0,5500.0,151200.0,28.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1998,14000.0,14200.0,434000.0,31.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,1999,4700.0,4800.0,173900.0,37.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2000,5900.0,6000.0,159300.0,27.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2001,5800.0,5900.0,168200.0,29.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2002,4900.0,5000.0,156800.0,32.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2003,5200.0,5300.0,93600.0,18.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2004,3700.0,3900.0,70300.0,19.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2005,3200.0,3300.0,83200.0,26.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2006,3200.0,3300.0,96000.0,30.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2007,1800.0,2100.0,48600.0,27.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2010,3000.0,3000.0,122000.0,40.7,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2012,3580.0,3600.0,127000.0,35.5,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2013,3330.0,3400.0,73400.0,22.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2015,4000.0,4100.0,170000.0,42.5,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2016,3800.0,3800.0,190000.0,50.0,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2017,4090.0,4100.0,145000.0,35.5,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2018,5030.0,5100.0,159000.0,31.6,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2020,3240.0,3300.0,148000.0,45.7,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2021,3370.0,3400.0,116000.0,34.4,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2022,3670.0,3700.0,167000.0,45.5,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2023,2630.0,2700.0,105000.0,39.9,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2024,3980.0,4000.0,157000.0,39.4,1
MINNESOTA,27,ANOKA,003,EAST CENTRAL,60,2025,4180.0,4200.0,188000.0,45.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1980,4400.0,4400.0,73600.0,17.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1981,6200.0,6200.0,155000.0,25.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1982,13300.0,13900.0,332500.0,23.9,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1983,21000.0,21500.0,735000.0,35.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1984,40500.0,40700.0,1012500.0,25.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1985,39100.0,41900.0,586500.0,15.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1986,33400.0,33600.0,1002000.0,30.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1987,21200.0,21300.0,742000.0,35.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1988,23400.0,24400.0,678600.0,29.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1989,35100.0,36200.0,737100.0,21.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1990,27900.0,29100.0,809100.0,29.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1991,36700.0,37400.0,1284500.0,35.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1992,36400.0,39600.0,764400.0,21.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1993,31000.0,36300.0,527000.0,17.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1994,37900.0,40200.0,985400.0,26.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1995,39900.0,40500.0,1236900.0,31.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1996,49200.0,49700.0,1476000.0,30.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1997,59800.0,60000.0,1913600.0,32.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1998,61000.0,62700.0,1708000.0,28.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,1999,59000.0,59700.0,1652000.0,28.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2000,79700.0,80900.0,2391000.0,30.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2001,72200.0,73100.0,2382600.0,33.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2002,82400.0,84600.0,2801600.0,34.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2003,86100.0,86800.0,2324700.0,27.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2004,80200.0,86300.0,1042600.0,13.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2005,74400.0,75700.0,2455200.0,33.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2006,87000.0,88200.0,3132000.0,36.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2007,73300.0,74000.0,2565500.0,35.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2008,82900.0,84000.0,2244000.0,27.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2009,94900.0,96000.0,2638000.0,28.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2010,85400.0,87300.0,2879000.0,33.7,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2011,86100.0,86400.0,2870000.0,33.3,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2012,87600.0,88100.0,3067000.0,35.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2013,83100.0,83900.0,2894000.0,34.8,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2014,91500.0,92200.0,2951000.0,32.3,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2016,74600.0,75100.0,3345000.0,44.8,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2017,83400.0,84000.0,3166000.0,38.0,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2018,76400.0,77000.0,3401000.0,44.5,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2019,72400.0,73000.0,2549000.0,35.2,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2020,71800.0,72400.0,2807000.0,39.1,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2021,76800.0,77500.0,2926000.0,38.1,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2022,75400.0,76000.0,3267000.0,43.3,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2023,69300.0,69900.0,2675000.0,38.6,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2024,67800.0,68400.0,2610000.0,38.5,1
MINNESOTA,27,BECKER,005,NORTHWEST,10,2025,64800.0,65500.0,2760000.0,42.6,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,1980,100.0,100.0,1900.0,19.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,1981,100.0,100.0,2300.0,23.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,1986,100.0,100.0,2100.0,21.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2002,1000.0,1000.0,34000.0,34.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2003,3500.0,3600.0,87500.0,25.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2006,5800.0,6000.0,110200.0,19.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2019,21400.0,21700.0,701000.0,32.8,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2020,23900.0,24100.0,863000.0,36.1,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2021,26300.0,27300.0,684000.0,26.0,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2022,22000.0,22200.0,783000.0,35.6,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2023,27900.0,28200.0,960000.0,34.4,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2024,21200.0,21500.0,611000.0,28.8,1
MINNESOTA,27,BELTRAMI,007,NORTH CENTRAL,20,2025,30400.0,30500.0,1152000.0,37.9,1
MINNESOTA,27,BENTON,009,CENTRAL,50,1980,5600.0,5600.0,137800.0,25.0,1
MINNESOTA,27,BENTON,009,CENTRAL,50,1981,4200.0,4200.0,105000.0,25.0,1
MINNESOTA,27,BENTON,009,CENTRAL,50,1982,4900.0,5000.0,137200.0,28.0,1
MINNESOTA,27,BENTON,009,CENTRAL,50,1983,5000.0,5100.0,130000.0,25.5,1
