county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
001,1895,1.08,4.39,4.78,3.46,2.41,5.11,45.4,53.6,61.6,64.2,62.6,56.7
001,1896,6.91,5.73,3.18,2.3,2.79,2.04,39.6,58.1,63.9,66.3,63.8,52.4
001,1897,1.04,1.66,5.56,10.73,1.89,2.02,41.0,51.4,58.3,70.1,62.0,60.2
001,1898,1.06,3.09,4.7,4.06,3.36,2.19,38.9,50.2,61.1,65.4,61.5,56.0
001,1899,1.76,5.14,5.16,3.44,9.08,2.67,39.3,49.2,62.2,66.4,63.8,51.8
001,1900,0.51,0.57,1.99,3.5,9.19,3.88,46.8,54.4,62.4,63.6,69.5,55.5
001,1901,1.77,0.84,7.76,3.34,2.07,1.38,41.8,54.6,60.5,69.1,65.1,53.3
001,1902,1.5,6.15,3.09,3.88,4.27,1.38,38.0,53.5,58.3,66.9,61.5,50.9
001,1903,3.59,4.04,1.65,5.9,4.58,5.89,39.4,52.9,59.3,63.4,58.6,51.4
001,1904,1.43,1.41,3.84,3.27,2.12,3.79,34.5,50.5,59.0,62.7,61.0,52.0
001,1905,2.8,4.22,8.04,5.02,4.28,3.74,37.2,48.1,58.5,64.4,64.7,57.6
001,1906,1.62,3.98,5.42,1.97,4.27,3.68,44.2,49.3,60.7,65.4,64.4,60.2
001,1907,0.98,3.07,2.52,2.49,4.26,3.88,30.7,41.2,60.8,64.8,62.6,52.4
001,1908,2.07,5.19,7.24,3.59,1.98,2.84,41.9,49.9,59.8,66.2,61.5,59.8
001,1909,2.4,2.14,1.53,5.47,6.14,2.32,31.6,48.4,62.3,66.0,66.5,55.0
001,1910,1.57,1.61,1.49,3.37,1.91,3.42,45.3,48.2,65.0,66.6,61.6,54.8
001,1911,1.9,3.36,3.26,4.48,3.25,3.68,40.4,55.9,65.7,65.3,60.2,52.9
