fips5,areasymbol,mukey,muacres,cokey,comppct_r,majcompflag,slope_r,drainagecl,taxorder,hydgrp,hzdept_r,hzdepb_r,claytotal_r,sandtotal_r,silttotal_r,om_r,awc_r,ph1to1h2o_r,dbthirdbar_r,ksat_r,cec7_r
27001,MN001,432812,519,27548985,85,Yes,8,Well drained,Alfisols,C,38,56,12,83.7,4.3,0.25,0.04,5.8,1.7,2.82,7.5
27001,MN001,432812,519,27548985,85,Yes,8,Well drained,Alfisols,C,112,152,10,66.9,23.1,0.25,0.02,6.5,1.9,2.12,6
27001,MN001,432812,519,27548985,85,Yes,8,Well drained,Alfisols,C,0,10,8.5,82.2,9.3,0.75,0.11,5.8,1.45,91.74,6
27001,MN001,432812,519,27548985,85,Yes,8,Well drained,Alfisols,C,56,112,10,66.9,23.1,0.25,0.04,6.5,1.7,0.71,6
27001,MN001,432812,519,27548985,85,Yes,8,Well drained,Alfisols,C,10,38,6,77.9,16.1,0.25,0.08,5.8,1.58,91.74,4
27001,MN001,432814,10208,27548990,85,Yes,1,Poorly drained,Alfisols,C/D,81,152,44,26.9,29.1,0.25,0.19,7.9,1.38,2.33,34
27001,MN001,432814,10208,27548990,85,Yes,1,Poorly drained,Alfisols,C/D,10,81,47.5,5.5,47,0.75,0.18,6.5,1.33,2.33,36
27001,MN001,432814,10208,27548990,85,Yes,1,Poorly drained,Alfisols,C/D,0,10,21,26.3,52.7,3,0.23,6.5,1.3,9.17,21.5
27001,MN001,432822,1440,27549000,90,Yes,4,Moderately well drained,Alfisols,C,8,89,47.5,5.5,47,1.25,0.14,6.2,1.35,2.33,27
27001,MN001,432822,1440,27549000,90,Yes,4,Moderately well drained,Alfisols,C,89,152,35,15.5,49.5,0.25,0.14,7.9,1.45,7.76,25
27001,MN001,432822,1440,27549000,90,Yes,4,Moderately well drained,Alfisols,C,0,8,12.5,63.8,23.7,2,0.16,6.5,1.38,28.23,12
27001,MN001,432851,643,27549021,85,Yes,1,Poorly drained,Alfisols,C/D,0,15,8,70.1,21.9,4.5,0.16,5,1.5,28.23,
27001,MN001,432851,643,27549021,85,Yes,1,Poorly drained,Alfisols,C/D,15,30,10,66.9,23.1,1.5,0.16,5,1.55,23.29,
27001,MN001,432851,643,27549021,85,Yes,1,Poorly drained,Alfisols,C/D,30,48,13,67.4,19.6,0.25,0.16,5.8,1.55,9.17,7
27001,MN001,432851,643,27549021,85,Yes,1,Poorly drained,Alfisols,C/D,48,112,11,66,23,0.25,0.04,6.5,1.7,0.92,6
27001,MN001,432851,643,27549021,85,Yes,1,Poorly drained,Alfisols,C/D,112,152,11,66,23,0.25,0.02,6.5,1.9,0.21,6
27001,MN001,432852,641,27549025,90,Yes,5,Well drained,Alfisols,C,0,8,11.5,65.7,22.8,1.25,0.16,5.5,1.5,28.23,9
27001,MN001,432852,641,27549025,90,Yes,5,Well drained,Alfisols,C,33,56,13,67.4,19.6,0.25,0.14,5.8,1.63,9.17,7
27001,MN001,432852,641,27549025,90,Yes,5,Well drained,Alfisols,C,56,114,11,66,23,0.25,0.03,6.2,1.83,0.71,6
27001,MN001,432852,641,27549025,90,Yes,5,Well drained,Alfisols,C,114,152,11,66,23,0.25,0.02,6.5,1.9,0.21,6
27001,MN001,432852,641,27549025,90,Yes,5,Well drained,Alfisols,C,8,33,11.5,65.7,22.8,0.25,0.14,5.8,1.58,28.23,6.5
27001,MN001,432853,151,27549030,90,Yes,12,Well drained,Alfisols,D,0,5,11.5,65.7,22.8,1.25,0.16,5.5,1.5,28.23,9
27001,MN001,432853,151,27549030,90,Yes,12,Well drained,Alfisols,D,13,41,13,67.4,19.6,0.25,0.14,5.8,1.63,9.17,7
27001,MN001,432853,151,27549030,90,Yes,12,Well drained,Alfisols,D,41,86,11,66,23,0.25,0.03,6.2,1.83,0.71,6
27001,MN001,432853,151,27549030,90,Yes,12,Well drained,Alfisols,D,86,152,11,66,23,0.25,0.02,6.5,1.9,0.21,6
27001,MN001,432853,151,27549030,90,Yes,12,Well drained,Alfisols,D,5,13,11.5,65.7,22.8,0.25,0.14,5.8,1.58,28.23,6.5
27001,MN001,432854,1376,27549035,85,Yes,4,Moderately well drained,Inceptisols,C,0,13,13,67.4,19.6,2.25,0.16,5.3,1.5,28.23,
27001,MN001,432854,1376,27549035,85,Yes,4,Moderately well drained,Inceptisols,C,13,69,11.5,65.7,22.8,0.75,0.14,5.5,1.63,9.17,8
27001,MN001,432854,1376,27549035,85,Yes,4,Moderately well drained,Inceptisols,C,69,119,11,66,23,0.25,0.06,6.2,1.83,0.92,7
