year,o3_mean_ppm,o3_4thmax_ppm,o3_90pct_ppm,monitors,counties
1980,0.0409564444444444,0.0793015873015873,0.0656111111111111,126,20
1981,0.0391681904761904,0.0756984126984127,0.061095238095238,126,22
1982,0.0408948684210526,0.0710487804878048,0.0617368421052631,123,21
1983,0.0460279083333333,0.0903083333333333,0.0728166666666666,120,21
1984,0.0432078796296296,0.0798468468468468,0.0668703703703703,111,20
1985,0.0436383076923076,0.0793589743589743,0.0638974358974358,117,20
1986,0.0419831142857142,0.0741140350877192,0.064247619047619,114,20
1987,0.0450292156862745,0.0886176470588235,0.0698431372549019,102,18
1988,0.0502521621621621,0.0926923076923077,0.0783603603603603,117,20
1989,0.0454341300813008,0.0805447154471544,0.0661626016260162,123,20
1990,0.0413511428571428,0.0729147286821705,0.0609444444444444,129,22
1991,0.0435656821705426,0.0833488372093023,0.066875968992248,129,21
1992,0.0394551666666666,0.0754920634920634,0.0590238095238095,126,21
1993,0.0372757479674796,0.0684365079365079,0.0549756097560975,126,19
1994,0.041768496124031,0.0770465116279069,0.0608372093023255,129,20
1995,0.0438300387596899,0.0870232558139534,0.0679457364341085,129,20
1996,0.0412448682170542,0.0804418604651162,0.060922480620155,129,20
1997,0.041615106060606,0.07875,0.0607878787878787,132,21
1998,0.0441451777777777,0.0778,0.0642,135,21
1999,0.0449984420289855,0.0847826086956521,0.0664927536231884,138,21
2000,0.0406256879432624,0.0716382978723404,0.0579361702127659,141,21
2001,0.0437293900709219,0.0757847222222222,0.0638085106382978,144,23
2002,0.0452150869565217,0.0862608695652173,0.069659420289855,138,23
2003,0.0436975833333333,0.0749696969696969,0.0623863636363636,132,23
2004,0.0405511818181818,0.0663257575757575,0.0567121212121212,132,23
2005,0.0469745238095238,0.0796904761904761,0.0670555555555555,126,23
2006,0.0416942777777777,0.0692936507936508,0.0583492063492063,126,23
2007,0.0455157777777777,0.0759922480620155,0.0639365079365079,129,23
2008,0.0408975447154471,0.0636585365853658,0.0556666666666666,123,23
2009,0.0386784308943089,0.0646829268292683,0.0547479674796747,123,23
2010,0.0440592166666666,0.0681544715447154,0.0585083333333333,123,23
2011,0.0434089385964912,0.0698536585365853,0.060078947368421,123,23
2012,0.0474879999999999,0.0794210526315789,0.0672280701754386,114,23
2013,0.0419578508771929,0.0652368421052631,0.0568771929824561,114,23
2014,0.0417472252252252,0.0661351351351351,0.0571531531531531,111,23
2015,0.0419793873873873,0.065,0.0560900900900901,111,23
2016,0.0428575765765765,0.0702972972972973,0.059081081081081,111,23
2017,0.0434276403508772,0.0676140350877192,0.0576929824561403,114,23
2018,0.0426182612612612,0.0709189189189189,0.0579909909909909,111,23
2019,0.0422505675675675,0.065,0.0555405405405405,111,23
2020,0.0404617179487179,0.0692393162393162,0.0556410256410256,117,23
2021,0.0422322882882882,0.0667297297297297,0.0565405405405405,111,23
2022,0.0418728245614035,0.0668333333333333,0.055438596491228,114,23
2023,0.0466766416666666,0.0788583333333333,0.0636166666666666,120,23
2024,0.0440283055555555,0.0653333333333333,0.0566666666666666,108,23
