SOURCE_DESC,SECTOR_DESC,GROUP_DESC,COMMODITY_DESC,CLASS_DESC,PRODN_PRACTICE_DESC,UTIL_PRACTICE_DESC,STATISTICCAT_DESC,UNIT_DESC,SHORT_DESC,DOMAIN_DESC,DOMAINCAT_DESC,AGG_LEVEL_DESC,STATE_ANSI,STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,ASD_CODE,ASD_DESC,COUNTY_ANSI,COUNTY_CODE,COUNTY_NAME,REGION_DESC,ZIP_5,WATERSHED_CODE,WATERSHED_DESC,CONGR_DISTRICT_CODE,COUNTRY_CODE,COUNTRY_NAME,LOCATION_DESC,YEAR,FREQ_DESC,BEGIN_CODE,END_CODE,REFERENCE_PERIOD_DESC,WEEK_ENDING,LOAD_TIME,VALUE,CV_%,CENSUS_YEAR,VALUE_NUM,suppressed,series
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,011,011,BUREAU,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"145,109",14.6,2017,145109.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,011,011,BUREAU,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"3,832",13.9,2017,3832.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,011,011,BUREAU,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, BUREAU",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"57,483",,2017,57483.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,015,015,CARROLL,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, CARROLL",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"44,470",14.6,2017,44470.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,015,015,CARROLL,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, CARROLL",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"1,510",13.9,2017,1510.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,015,015,CARROLL,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, CARROLL",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"17,223",,2017,17223.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,073,073,HENRY,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, HENRY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"179,997",14.6,2017,179997.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,073,073,HENRY,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, HENRY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"1,150",13.9,2017,1150.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,073,073,HENRY,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, HENRY",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"63,781",,2017,63781.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,085,085,JO DAVIESS,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, JO DAVIESS",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"49,277",14.6,2017,49277.0,False,TOTAL
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,085,085,JO DAVIESS,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, JO DAVIESS",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"16,264",,2017,16264.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,103,103,LEE,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, LEE",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"124,632",14.6,2017,124632.0,False,TOTAL
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,IRRIGATED,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,103,103,LEE,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, LEE",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"7,145",13.9,2017,7145.0,False,IRRIGATED
CENSUS,DEMOGRAPHICS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,SOYBEANS - ACRES HARVESTED,PRODUCERS,PRODUCERS: (GENDER = FEMALE),COUNTY,17,17,IL,ILLINOIS,10,NORTHWEST,103,103,LEE,,,00000000,,,9000,UNITED STATES,"ILLINOIS, NORTHWEST, LEE",2017,ANNUAL,00,00,YEAR,,2018-02-01 00:00:00,"48,745",,2017,48745.0,False,TOTAL
