fips5,areasymbol,mukey,muacres,cokey,comppct_r,majcompflag,slope_r,drainagecl,taxorder,hydgrp,hzdept_r,hzdepb_r,claytotal_r,sandtotal_r,silttotal_r,om_r,awc_r,ph1to1h2o_r,dbthirdbar_r,ksat_r,cec7_r
17001,IL001,2378564,1501,26915796,90,Yes,3.5,Somewhat poorly drained,Alfisols,C/D,74,152,38,19,43,0.5,0.13,6.2,1.65,0.92,28.8
17001,IL001,2378564,1501,26915796,90,Yes,3.5,Somewhat poorly drained,Alfisols,C/D,152,203,36,29,35,0.5,0.13,7.3,1.65,0.92,27.4
17001,IL001,2378564,1501,26915796,90,Yes,3.5,Somewhat poorly drained,Alfisols,C/D,0,18,24,5,71,1.5,0.23,6.2,1.4,9.17,19.9
17001,IL001,2378564,1501,26915796,90,Yes,3.5,Somewhat poorly drained,Alfisols,C/D,18,74,31,5,64,0.5,0.19,5.9,1.5,9.17,24
17001,IL001,2378565,4660,26915797,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,129,203,36,29,35,0.5,0.13,7.3,1.65,0.92,27.4
17001,IL001,2378565,4660,26915797,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,81,129,38,29,33,0.25,0.13,6.2,1.65,0.92,28
17001,IL001,2378565,4660,26915797,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,0,15,25,5,70,1.5,0.17,6.2,1.4,9.17,20.6
17001,IL001,2378565,4660,26915797,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,15,81,31,5,64,0.5,0.19,5.9,1.5,9.17,24
17001,IL001,2378566,3494,26915798,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,69,173,38,29,33,0.5,0.13,6.2,1.65,0.92,28.8
17001,IL001,2378566,3494,26915798,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,173,208,38,29,33,0.5,0.13,7.3,1.65,0.92,28.8
17001,IL001,2378566,3494,26915798,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,0,12,31,5,64,0.75,0.21,6.2,1.45,9.17,24.4
17001,IL001,2378566,3494,26915798,90,Yes,7.5,Somewhat poorly drained,Alfisols,C/D,12,69,31,5,64,0.5,0.19,5.9,1.5,9.17,24
17001,IL001,2378567,878,26915799,90,Yes,14,Somewhat poorly drained,Alfisols,D,56,173,38,25,37,0.25,0.13,6.2,1.65,0.92,25
17001,IL001,2378567,878,26915799,90,Yes,14,Somewhat poorly drained,Alfisols,D,173,208,38,25,37,0.15,0.13,7.3,1.65,0.92,25
17001,IL001,2378567,878,26915799,90,Yes,14,Somewhat poorly drained,Alfisols,D,0,13,25,5,70,2,0.23,6.2,1.4,9.17,18
17001,IL001,2378567,878,26915799,90,Yes,14,Somewhat poorly drained,Alfisols,D,13,56,31,5,64,0.5,0.19,5.9,1.5,9.17,19.5
17001,IL001,2378568,642,26915800,90,Yes,14,Somewhat poorly drained,Alfisols,C/D,69,173,40.1,29,30.9,0.5,0.13,6.2,1.65,0.92,25
17001,IL001,2378568,642,26915800,90,Yes,14,Somewhat poorly drained,Alfisols,C/D,173,208,40.1,29,30.9,0.5,0.13,7.3,1.65,0.92,25
17001,IL001,2378568,642,26915800,90,Yes,14,Somewhat poorly drained,Alfisols,C/D,0,8,31,6.9,62.1,0.75,0.21,6.2,1.45,9.17,20
17001,IL001,2378568,642,26915800,90,Yes,14,Somewhat poorly drained,Alfisols,C/D,8,69,31,6.9,62.1,0.5,0.19,5.9,1.5,9.17,19.5
17001,IL001,2378569,606,26915801,10,No ,8,Moderately well drained,Alfisols,C,0,23,18,5,77,1.25,0.22,5.9,1.5,9.17,9.7
17001,IL001,2378569,606,26915801,10,No ,8,Moderately well drained,Alfisols,C,23,71,31,3,66,0.5,0.17,5,1.5,2.82,
17001,IL001,2378569,606,26915801,10,No ,8,Moderately well drained,Alfisols,C,71,91,31,3,66,0.4,0.17,5,1.6,0.21,
