column,dtype,non_null,nulls,distinct,min,max,example
state,text,4417,0,1,,,IOWA
state_ansi,number,4417,0,1,19.0,19.0,19
county,text,4417,0,99,,,ADAIR
county_ansi,text,4417,0,99,,,001
fips5,text,4417,0,99,,,19001
ag_district,text,4417,0,9,,,SOUTHWEST
ag_district_code,number,4417,0,9,10.0,90.0,70
year,number,4417,0,46,1980.0,2025.0,1980
produced_soy,number,4417,0,1,1.0,1.0,1.0
acres_planted,number,4417,0,1041,2400.0,274000.0,59300.0
acres_harvested,number,4417,0,1489,2400.0,271200.0,56500.0
production_bu,number,4417,0,3471,91000.0,13565000.0,2120000.0
yield_bu_ac,number,4417,0,469,14.6,70.5,37.5
yield_kg_ha,number,4417,0,469,981.864,4741.193,2521.911192490491
production_tonnes,number,4417,0,3471,2476.61,369178.258,57696.86
area_harvested_ha,number,4417,0,1489,971.246,109750.746,22864.738773
pcp04,number,4417,0,743,0.29,10.21,1.57
pcp05,number,4417,0,905,0.41,14.16,2.43
pcp06,number,4417,0,1030,0.45,15.06,7.8
pcp07,number,4417,0,993,0.12,19.43,3.18
pcp08,number,4417,0,988,0.07,16.19,8.28
pcp09,number,4417,0,834,0.06,14.41,1.57
tmp04,number,4417,0,227,33.9,59.2,49.9
tmp05,number,4417,0,183,51.0,70.3,61.1
tmp06,number,4417,0,144,61.0,76.9,69.9
tmp07,number,4417,0,178,64.1,82.2,78.3
tmp08,number,4417,0,178,62.7,81.7,74.5
tmp09,number,4417,0,166,53.8,72.2,64.6
pcp_win,number,4417,0,927,0.34,9.39,2.11
pcp_prevND,number,4417,0,975,0.15,11.31,1.61
tmin04,number,4417,0,208,22.9,46.8,36.9
tmin05,number,4417,0,182,39.1,58.8,47.4
tmin09,number,4417,0,167,42.6,61.4,52.1
tmin10,number,4417,0,187,30.2,50.4,35.0
tmax07,number,4417,0,204,73.3,95.5,90.9
tmax08,number,4417,0,194,74.0,95.0,86.3
tmax_jja,number,4417,0,657,74.867,90.5,86.43333333333334
pdsi06,number,4417,0,1105,-6.51,8.44,0.85
pdsi07,number,4417,0,1161,-6.36,9.41,0.63
pdsi08,number,4417,0,1167,-6.26,10.86,1.66
pdsi_jja,number,4417,0,2697,-6.01,8.56,1.0466666666666666
pdsi_may,number,4417,0,1058,-6.68,9.48,-1.59
zndx07,number,4417,0,1097,-5.16,15.64,-0.38
zndx08,number,4417,0,1029,-4.44,12.65,3.27
zndx_jja,number,4417,0,2494,-3.95,8.623,1.81
pcp_grow,number,4417,0,2364,10.12,51.12,24.83
pcp_critical,number,4417,0,1580,0.87,26.3,11.46
pcp_summer,number,4417,0,1894,3.24,35.28,19.26
tmp_grow,number,4417,0,1017,57.95,70.05,66.38333333333333
tmp_critical,number,4417,0,397,63.4,81.15,76.4
tmp_summer,number,4417,0,610,63.567,78.533,74.23333333333333
tmax_critical,number,4417,0,450,73.95,93.65,88.6
tmax_summer,number,4417,0,657,74.867,90.5,86.43333333333334
tmp_range_crit,number,4417,0,1043,28.5,48.9,45.05
pcp_grow_cv,number,4417,0,4417,0.07,1.307,0.7455048943448302
tmp_grow_sd,number,4417,0,4358,5.873,14.356,10.227886715576522
pdsi_critical,number,4417,0,2129,-6.175,9.63,1.145
zndx_critical,number,4417,0,1929,-4.06,10.19,1.445
drought_flag,number,4417,0,2,0.0,1.0,0
severe_drought,number,4417,0,2,0.0,1.0,0
hot_month_count,number,4417,0,3,0.0,2.0,1
dry_month_count,number,4417,0,3,0.0,2.0,0
heat_x_dry,number,4417,0,4353,-1023.385,409.812,-289.722
pcp_grow_anom,number,4417,0,4368,-13.446,26.495,0.7415909090909061
pcp_grow_z,number,4417,0,4382,-2.538,4.594,0.1292957969568557
pcp_critical_anom,number,4417,0,4327,-6.919,18.512,3.4746969696969696
pcp_critical_z,number,4417,0,4354,-2.166,5.426,0.9721375630342136
pcp08_anom,number,4417,0,4244,-3.872,12.174,4.111136363636363
pcp08_z,number,4417,0,4276,-1.761,5.283,1.6592832804863265
tmp_grow_anom,number,4417,0,4224,-3.512,3.684,1.433333333333323
tmp_grow_z,number,4417,0,4237,-2.189,2.226,0.8866536893954459
tmp_critical_anom,number,4417,0,3726,-7.018,6.391,3.184090909090912
tmp_critical_z,number,4417,0,3875,-3.175,2.932,1.3482129976678907
tmax_critical_anom,number,4417,0,3798,-9.31,7.806,3.562499999999986
tmax_critical_z,number,4417,0,3979,-3.363,2.752,1.12217046713687
tmax08_anom,number,4417,0,3293,-7.684,10.223,2.421969696969697
tmax08_z,number,4417,0,3594,-2.454,3.205,0.6889804701648996
pdsi08_anom,number,4417,0,4269,-6.803,10.477,1.498712121212121
pdsi08_z,number,4417,0,4333,-2.703,3.983,0.5649141499122141
zndx08_anom,number,4417,0,4233,-4.325,12.552,3.2420454545454547
zndx08_z,number,4417,0,4295,-2.011,5.032,1.4607762230304442
climate_normal_pcp,number,4417,0,98,6.621,8.353,7.985303030303029
climate_normal_tmax,number,4417,0,99,81.248,87.04,85.03750000000001
trend_slope,number,4417,0,99,0.444,0.678,0.4751705999210415
yield_trend,number,4417,0,4417,26.222,65.569,33.55938089716085
yield_anom,number,4417,0,4417,-26.235,13.115,3.9406191028391504
log_yield,number,4417,0,469,2.681,4.256,3.624340932976365
n_years_county,number,4417,0,7,39.0,46.0,44
in_balanced_panel,number,4417,0,2,0.0,1.0,1
is_focal,number,4417,0,2,0.0,1.0,0
