feature,importance,sd,kind
heat_x_dry,0.1659637686788471,0.019389844138410488,climate
pcp_grow,0.11265801200734028,0.01520591715846581,climate
tmin10,0.04372031065450576,0.008478803639896384,climate
pcp_win,0.033046970158842275,0.01330187675326537,climate
pcp_critical,0.018208193533931955,0.0066679407433932565,climate
tmp_grow_sd,0.011954946982211298,0.012362324035530411,climate
pdsi_critical,0.005128213828231143,0.00531805446637757,climate
tmp_grow,0.004637208605412215,0.005532801175884183,climate
soil_cec_subsoil,0.003231860561563271,0.0014685752526966988,soil
soil_om_subsoil,0.002214794822435038,0.0007022997528638321,soil
soil_om_topsoil,0.0019066605280133413,0.0004956119058425682,soil
soil_ksat_subsoil,0.0014496529808959342,0.0015640373294808967,soil
climate_normal_pcp,0.0011855356543215938,0.0005693858718278557,climate
soil_ph_topsoil,0.0008996700551927491,0.0009186772188992735,soil
soil_bd_subsoil,0.0007724945693728761,0.0007278577043300079,soil
soil_aws_0_100cm,0.0006982915739123704,0.00015869555163014053,soil
pcp_grow_cv,0.0005464128755232797,0.005323985163081171,climate
soil_sand_topsoil,0.00040072693980131024,0.00029766739878424304,soil
soil_slope,0.0003243996278308274,0.0002520686980876336,soil
soil_drain_poorly_pct,0.00027838830397168096,0.00021451072579422147,soil
soil_clay_topsoil,0.00026106764152984224,0.0002817880522672557,soil
soil_ksat_topsoil,0.000196785024944246,0.0003145222364723469,soil
soil_mollisol_pct,0.0001866267950076291,0.00014181897143444316,soil
pcp07,0.0001214374943010003,0.0006473600813985581,climate
hot_month_count,3.593558013390933e-05,0.00011649785686686535,climate
soil_drain_mod_well_pct,9.397412196151164e-06,1.1904638841411237e-05,soil
soil_awc_topsoil,0.0,0.0,soil
soil_drain_somewhat_poorly_pct,0.0,0.0,soil
soil_sand_subsoil,0.0,0.0,soil
dry_month_count,0.0,0.0,climate
soil_silt_subsoil,-0.00014607243590686325,8.433496019201185e-05,soil
soil_awc_subsoil,-0.0002729664854484541,0.0002030808785372864,soil
soil_cec_topsoil,-0.00041223179507682284,9.151475226330677e-05,soil
zndx08,-0.0005289584105668821,0.001575204664787305,climate
soil_silt_topsoil,-0.0007641832800576823,0.00042341079346035513,soil
soil_bd_topsoil,-0.0008433307940409381,0.0001763272643358294,soil
soil_drain_well_pct,-0.0013878127320488172,0.0004956512646417108,soil
soil_clay_subsoil,-0.002047047254861258,0.0008196249650203908,soil
climate_normal_tmax,-0.002139810227446822,0.0011280086495227253,climate
soil_ph_subsoil,-0.0028364026829813906,0.001710897992502192,soil
zndx07,-0.005908151985346749,0.002550157833643989,climate
pcp08,-0.007746788890993506,0.01075629297325662,climate
tmax_critical,-0.013124990699660897,0.001443330356895311,climate
pdsi08,-0.01987786408598925,0.007800659796057483,climate
tmax08,-0.09349518838525388,0.011511506553119291,climate
