feature,r,abs_r
wb_season_deficit_mm,-0.37406,0.37406
win_edd,-0.36196,0.36196
win_hot_days,-0.35419,0.35419
season_edd,-0.2807,0.2807
win_vpd_mean,-0.26835,0.26835
win_vpd_max,-0.2671,0.2671
wb_stress_days,-0.24558,0.24558
win_water_deficit_mm,-0.23855,0.23855
win_prcp_mm,0.22386,0.22386
win_et0_mm,-0.18164,0.18164
wb_min_water_frac,0.17867,0.17867
win_tmax_mean,-0.15929,0.15929
end_doy,-0.13856,0.13856
season_prcp_mm,0.1336,0.1336
window_days,0.12943,0.12943
plant_doy,-0.1205,0.1205
win_gdd,-0.0691,0.0691
season_gdd,0.02233,0.02233
