feature,importance,sd,kind
heat_x_dry,0.09662672008662287,0.029280862066046073,calendar
pcp_grow,0.08323372190030044,0.006874309216565146,calendar
tmin10,0.05854558338228269,0.010220926084805486,calendar
wb_season_deficit_mm,0.029189164406679003,0.003597767062864092,process
pcp_grow_cv,0.023671098077498325,0.010852552375701539,calendar
end_doy,0.017562257052158903,0.002973167162373352,process
win_gdd,0.015314151436574266,0.004419726055761336,process
tmp_grow_sd,0.01482460530561211,0.019571104390894607,calendar
pcp_critical,0.014755351367850065,0.004101914136020554,calendar
win_et0_mm,0.01343820024154646,0.0022857537976178847,process
wb_stress_days,0.012434123130488436,0.002316813614815244,process
pcp_win,0.009631703643396253,0.0058258451323684925,calendar
win_water_deficit_mm,0.007991742851219591,0.004301905506775554,process
tmp_grow,0.005694620811073026,0.003947783329880917,calendar
season_gdd,0.004959040773737748,0.0025096584144266845,process
climate_normal_tmax,0.004834244163781541,0.0018078227296463665,calendar
window_days,0.0035484548646831002,0.0012441111100614205,process
win_tmax_mean,0.0007847670017475198,0.00017755124944866945,process
zndx08,0.0007019015525171294,0.001092291828348745,calendar
win_prcp_mm,0.0007018218755126168,0.00018794475199934992,process
win_hot_days,0.00040903135750601044,0.00017902247521255722,process
hot_month_count,0.00012405529537995452,0.0006357472186586356,calendar
dry_month_count,0.0,0.0,calendar
zndx07,-0.0002217610200620964,0.001439617754457385,calendar
win_edd,-0.00026368058384781956,0.00025622946792835857,process
climate_normal_pcp,-0.0011427341891985892,0.00112111572371023,calendar
pcp07,-0.0020845004303029677,0.0006146349935994114,calendar
win_vpd_mean,-0.004585962667141526,0.004512582615896159,process
tmax_critical,-0.004974942170617798,0.0012129823592212448,calendar
wb_min_water_frac,-0.006133123279790098,0.021660868226420958,process
pcp08,-0.006992832622459755,0.003720183727509443,calendar
pdsi_critical,-0.010154975078648607,0.005950653070568528,calendar
pdsi08,-0.010465128073174873,0.0030613498658571174,calendar
win_vpd_max,-0.020937715042167775,0.005960996199690001,process
season_edd,-0.021715287304250996,0.004705147178028509,process
season_prcp_mm,-0.024948990358120243,0.0058142423944033015,process
plant_doy,-0.03244453428365693,0.011879125698923246,process
tmax08,-0.038805859407916365,0.006382775893841217,calendar
