scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,0.558,-0.5464,86.6811,3.9055,12.915,-5.6792,2.4943,-12.449,-23.1168,3.7706
ssp245,late_century,EC-Earth3,-0.0601,-1.2363,89.1343,4.0161,14.7323,-4.6387,2.0373,-10.8985,-18.9021,4.1704
ssp245,late_century,GFDL-ESM4,0.7467,0.5957,60.267,2.7154,5.985,-4.2229,1.8469,-9.2336,-17.1829,2.5654
ssp245,late_century,INM-CM5-0,0.3718,0.1754,66.1492,2.9804,6.615,-3.7495,1.6411,-7.4456,-15.2772,3.0436
ssp245,late_century,MIROC6,0.4688,0.4261,61.5212,2.7719,6.5665,-3.7999,1.6743,-8.008,-15.4803,2.6367
ssp245,late_century,MPI-ESM1-2-LR,0.6204,0.7146,52.1702,2.3506,4.2646,-2.9678,1.3002,-6.4255,-12.095,2.3708
ssp245,late_century,MRI-ESM2-0,0.8436,1.0294,66.4747,2.9951,7.148,-4.6402,2.0264,-10.9062,-18.8878,2.8349
ssp245,mid_century,ACCESS-ESM1-5,0.1026,-0.4174,83.4653,3.7606,11.5338,-4.9697,2.1921,-10.6945,-20.2438,3.7433
ssp245,mid_century,EC-Earth3,0.5154,0.6918,54.9592,2.4763,4.725,-3.6242,1.5825,-8.213,-14.7315,2.5865
ssp245,mid_century,GFDL-ESM4,0.8071,0.7291,44.953,2.0254,2.9561,-2.9869,1.2961,-5.8391,-12.1391,1.828
ssp245,mid_century,INM-CM5-0,0.1775,0.2624,51.2773,2.3104,3.8769,-2.6276,1.15,-5.1522,-10.7146,2.4258
ssp245,mid_century,MIROC6,0.488,0.4737,54.108,2.4379,4.6281,-3.1369,1.354,-6.8556,-12.7267,2.469
ssp245,mid_century,MPI-ESM1-2-LR,0.714,0.9139,39.8251,1.7944,2.0354,-2.3346,1.0107,-5.0143,-9.4841,1.5736
ssp245,mid_century,MRI-ESM2-0,0.635,0.7854,58.3986,2.6312,5.4519,-3.7446,1.6375,-8.2266,-15.2353,2.6049
ssp585,late_century,ACCESS-ESM1-5,-0.8304,-6.7387,168.5226,7.593,49.6002,-7.4555,3.283,-15.6203,-30.4187,5.7278
ssp585,late_century,EC-Earth3,-2.221,-11.5196,203.3609,9.1627,62.7817,-6.9372,3.0267,-17.0625,-28.2362,7.4559
ssp585,late_century,GFDL-ESM4,-0.3536,-3.1248,117.1672,5.2791,25.8784,-5.8335,2.566,-12.5057,-23.7737,4.9888
ssp585,late_century,INM-CM5-0,-0.5458,-3.95,121.7569,5.4859,27.5503,-4.9748,2.1684,-10.1662,-20.2316,5.4631
ssp585,late_century,MIROC6,-0.1994,-3.4225,125.1316,5.638,29.0526,-6.2445,2.7276,-13.9118,-25.4185,5.0087
ssp585,late_century,MPI-ESM1-2-LR,-3.5579,-11.2531,190.7141,8.5929,58.4202,-6.0751,2.6613,-13.3523,-24.7686,7.2723
ssp585,late_century,MRI-ESM2-0,0.1675,-2.8021,121.9338,5.4939,27.211,-6.3574,2.7984,-14.4405,-25.914,4.9717
ssp585,mid_century,ACCESS-ESM1-5,0.3431,-0.2586,84.3301,3.7996,12.1638,-5.1127,2.2268,-11.3862,-20.7863,3.7004
ssp585,mid_century,EC-Earth3,0.1214,-1.1376,86.3727,3.8916,13.3511,-4.511,1.978,-11.2309,-18.3739,4.111
ssp585,mid_century,GFDL-ESM4,0.7265,0.5688,59.5846,2.6847,6.0334,-4.0964,1.7802,-9.095,-16.6441,2.4874
ssp585,mid_century,INM-CM5-0,-0.1092,-0.7759,76.3035,3.4379,8.6988,-3.7943,1.6576,-7.3899,-15.4509,3.5542
ssp585,mid_century,MIROC6,0.5233,0.418,64.6386,2.9124,6.9057,-4.2627,1.866,-9.0465,-17.3431,2.8168
ssp585,mid_century,MPI-ESM1-2-LR,0.4235,0.9437,48.7703,2.1974,3.6831,-3.0477,1.3402,-6.85,-12.4177,2.0576
ssp585,mid_century,MRI-ESM2-0,0.6799,0.7147,68.6375,3.0925,7.8507,-4.6787,2.0548,-10.4878,-19.0555,2.9526
