scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,1.5462,-0.666,85.6833,3.8618,12.5273,-8.9249,1.1442,-12.449,-23.1168,3.7706
ssp245,late_century,CanESM5,0.2936,-5.8769,138.5557,6.2448,35.5706,-10.7662,1.4008,-12.1575,-22.7936,6.0158
ssp245,late_century,EC-Earth3,0.941,-1.4036,87.6158,3.9489,13.9084,-8.1905,1.0569,-10.8985,-18.9021,4.1704
ssp245,late_century,GFDL-ESM4,1.1986,0.5208,59.725,2.6919,5.8396,-6.2157,0.8035,-9.2336,-17.1829,2.5654
ssp245,late_century,INM-CM5-0,1.0355,0.0361,65.3524,2.9455,6.3969,-6.4987,0.8377,-7.4456,-15.2772,3.0436
ssp245,late_century,MIROC6,0.8841,0.2661,60.7579,2.7384,6.2515,-6.133,0.779,-8.008,-15.4803,2.6367
ssp245,late_century,MPI-ESM1-2-LR,1.0223,0.5245,51.7083,2.3305,4.0465,-5.0412,0.6339,-6.4255,-12.095,2.3708
ssp245,late_century,MRI-ESM2-0,1.5596,0.8086,65.3575,2.9457,6.7361,-7.4301,0.9423,-10.9062,-18.8878,2.8349
ssp245,mid_century,ACCESS-ESM1-5,1.0416,-0.6007,82.1204,3.7012,10.928,-8.3896,1.0785,-10.6945,-20.2438,3.7433
ssp245,mid_century,CanESM5,0.1674,-4.785,124.1239,5.5944,28.7376,-9.6276,1.2304,-9.8049,-20.5282,5.5829
ssp245,mid_century,EC-Earth3,0.8169,0.5274,54.6614,2.4636,4.5796,-5.497,0.6906,-8.213,-14.7315,2.5865
ssp245,mid_century,GFDL-ESM4,0.8841,0.6852,44.7775,2.0182,2.9561,-4.2283,0.5551,-5.8391,-12.1391,1.828
ssp245,mid_century,INM-CM5-0,0.469,0.0758,50.9955,2.2984,3.8042,-4.6487,0.5927,-5.1522,-10.7146,2.4258
ssp245,mid_century,MIROC6,0.855,0.3222,53.6158,2.4165,4.5069,-5.2229,0.6768,-6.8556,-12.7267,2.469
ssp245,mid_century,MPI-ESM1-2-LR,0.8101,0.7886,39.6717,1.788,1.9627,-3.4824,0.4517,-5.0143,-9.4841,1.5736
ssp245,mid_century,MRI-ESM2-0,1.1224,0.5938,57.7861,2.6045,5.2581,-6.1696,0.8158,-8.2266,-15.2353,2.6049
ssp585,late_century,ACCESS-ESM1-5,1.3514,-6.3589,160.9253,7.2531,45.9898,-13.4345,1.7337,-15.6203,-30.4187,5.7278
ssp585,late_century,CanESM5,0.1236,-21.9579,315.5294,14.2212,96.3654,-17.4655,2.2445,-18.5101,-35.647,9.6446
ssp585,late_century,EC-Earth3,0.1467,-10.9598,192.7352,8.6868,59.1713,-13.5924,1.7383,-17.0625,-28.2362,7.4559
ssp585,late_century,GFDL-ESM4,0.9723,-3.2464,114.6407,5.167,24.4245,-10.1854,1.3104,-12.5057,-23.7737,4.9888
ssp585,late_century,INM-CM5-0,0.6202,-4.0557,119.0134,5.3641,26.0964,-9.8352,1.268,-10.1662,-20.2316,5.4631
ssp585,late_century,MIROC6,1.3562,-3.4885,121.1429,5.46,27.0657,-10.9222,1.4117,-13.9118,-25.4185,5.0087
ssp585,late_century,MPI-ESM1-2-LR,-1.3722,-10.9845,182.7426,8.2364,55.4882,-12.5886,1.6181,-13.3523,-24.7686,7.2723
ssp585,late_century,MRI-ESM2-0,1.5754,-2.9805,118.3122,5.3324,25.7572,-11.2215,1.4349,-14.4405,-25.914,4.9717
ssp585,mid_century,ACCESS-ESM1-5,1.4888,-0.4084,82.766,3.7303,11.5096,-8.599,1.1037,-11.3862,-20.7863,3.7004
ssp585,mid_century,CanESM5,-0.2969,-8.3975,164.8431,7.4296,47.7587,-12.0853,1.5597,-13.3402,-25.2549,6.7691
ssp585,mid_century,EC-Earth3,1.1239,-1.3603,84.9638,3.8294,12.6,-7.9772,1.0373,-11.2309,-18.3739,4.111
ssp585,mid_century,GFDL-ESM4,1.212,0.4996,59.0184,2.66,5.8396,-6.0456,0.7676,-9.095,-16.6441,2.4874
ssp585,mid_century,INM-CM5-0,0.6243,-0.965,75.1438,3.3868,8.3111,-7.1376,0.9166,-7.3899,-15.4509,3.5542
ssp585,mid_century,MIROC6,0.9777,0.2643,63.9027,2.8802,6.5907,-6.6957,0.8527,-9.0465,-17.3431,2.8168
ssp585,mid_century,MPI-ESM1-2-LR,0.7629,0.737,48.3013,2.177,3.3923,-5.0126,0.6474,-6.85,-12.4177,2.0576
ssp585,mid_century,MRI-ESM2-0,1.3184,0.5104,67.6361,3.0484,7.463,-7.4742,0.9452,-10.4878,-19.0555,2.9526
