scenario,horizon,mg,mature_rate,seedfill,podfill,r6_doy,r8_doy,frost_margin,season_edd,win_edd,water_deficit,pred
baseline,baseline,2.0,0.8248,23.02,43.0959,246.7108,257.6946,41.5197,20.0738,12.2584,37.1801,-16.5689
baseline,baseline,2.5,0.7667,24.8557,45.8063,250.938,261.6805,37.7955,21.5559,12.8464,41.65,-10.9782
baseline,baseline,3.0,0.7049,26.7466,48.524,254.9229,265.6601,34.0399,23.3411,13.5283,46.5951,-5.4356
baseline,baseline,3.5,0.644,28.5108,51.0588,258.5252,269.6643,30.5112,25.4541,14.3861,52.3297,0.0706
baseline,baseline,4.0,0.5654,30.37,53.5925,261.9899,272.5506,28.0927,27.9271,15.3015,59.409,5.5014
baseline,baseline,4.5,0.4991,32.4543,56.4068,265.6601,275.9266,24.8064,30.6252,16.2131,67.0941,10.9053
baseline,baseline,5.0,0.4281,34.4802,59.1869,269.2412,279.6376,20.9602,33.69,17.2578,75.3236,16.2984
ssp245,late_century,2.0,1.0,16.9915,33.7851,222.4698,231.8805,78.9753,42.5474,27.5373,34.9582,-18.3151
ssp245,late_century,2.5,0.9993,17.8032,35.3247,225.8553,235.9043,74.9515,45.2769,29.1625,39.2865,-12.8505
ssp245,late_century,3.0,0.9971,18.66,36.9639,229.2871,240.0029,70.8791,47.8872,30.5392,43.5953,-7.3035
ssp245,late_century,3.5,0.991,19.5529,38.6564,232.7679,244.3425,66.5755,50.3859,31.6856,47.7419,-1.7322
ssp245,late_century,4.0,0.9821,20.5056,40.4299,236.3055,248.7706,62.2539,52.7704,32.6627,51.7009,3.7798
ssp245,late_century,4.5,0.9665,21.6158,42.3345,240.0029,253.0522,58.1421,55.0961,33.5191,55.735,9.2937
ssp245,late_century,5.0,0.9367,22.9046,44.432,243.8455,257.392,53.8998,57.4517,34.349,59.9015,14.8051
ssp245,mid_century,2.0,0.9983,17.4907,34.7463,227.1602,237.1468,72.05,36.7792,24.2282,34.2023,-17.9459
ssp245,mid_century,2.5,0.9939,18.4165,36.4526,230.7223,241.4784,67.7464,39.1772,25.6173,38.3252,-12.395
ssp245,mid_century,3.0,0.9838,19.3802,38.235,234.3191,246.0858,63.2111,41.4453,26.7276,42.3958,-6.8482
ssp245,mid_century,3.5,0.9694,20.5163,40.1728,238.0757,250.504,58.9538,43.5787,27.5925,46.4449,-1.3131
ssp245,mid_century,4.0,0.9433,21.769,42.2816,241.9596,255.1664,54.3915,45.6924,28.4216,50.62,4.2083
ssp245,mid_century,4.5,0.9,23.3206,44.627,246.0858,259.6579,49.9933,47.7836,29.1919,54.9091,9.7079
ssp245,mid_century,5.0,0.8528,24.9428,47.0188,250.0994,263.871,45.9847,50.1403,30.1222,59.5922,15.2292
ssp585,late_century,2.0,1.0,15.1316,30.3661,211.0754,219.2329,107.2942,73.1583,49.297,34.7036,-20.3848
ssp585,late_century,2.5,1.0,15.8183,31.6479,214.0373,222.6281,103.899,78.358,52.5741,39.7201,-15.1481
ssp585,late_century,3.0,1.0,16.5028,32.9549,217.0119,226.0252,100.5018,83.7762,55.9492,45.2744,-9.8428
ssp585,late_century,3.5,1.0,17.2021,34.2823,219.9978,229.4197,97.1073,89.0201,59.0307,50.9215,-4.523
ssp585,late_century,4.0,1.0,17.9217,35.6772,223.0087,232.8881,93.639,93.7867,61.6076,56.5195,0.8338
ssp585,late_century,4.5,1.0,18.6361,37.0405,226.0252,236.3845,90.1425,98.5585,63.965,62.1344,6.2118
ssp585,late_century,5.0,1.0,19.3453,38.4643,229.0468,239.9133,86.6138,103.2632,66.211,67.6804,11.6022
ssp585,mid_century,2.0,1.0,16.8452,33.5968,222.1267,231.3647,80.1888,43.6772,28.166,34.3413,-18.3927
ssp585,mid_century,2.5,1.0,17.5966,35.0649,225.45,235.2513,76.3022,46.633,29.9886,38.8067,-12.979
ssp585,mid_century,3.0,0.9985,18.4148,36.6608,228.8192,239.2723,72.2953,49.4899,31.6727,43.48,-7.5051
ssp585,mid_century,3.5,0.9944,19.2474,38.2636,232.2232,243.4473,68.1467,52.2104,33.0087,48.0248,-2.0125
ssp585,mid_century,4.0,0.9862,20.148,39.9603,235.6988,247.769,63.8982,54.781,34.1714,52.5245,3.464
ssp585,mid_century,4.5,0.9779,21.1785,41.7568,239.2723,252.1235,59.6965,57.3338,35.2509,57.1416,8.9457
ssp585,mid_century,5.0,0.9536,22.3136,43.7054,242.965,256.3567,55.5177,59.8619,36.2712,61.8843,14.4044
