year,blooming,harvested,leaves,planted,pods
1980,,,,142.34,
1981,198.06,279.0,261.25,142.64,209.19
1982,210.2,296.48,269.0,159.62,220.0
1983,201.5,279.0,261.0,148.1,215.5
1984,204.0,278.12,261.7,149.93,214.64
1985,196.33,301.05,261.5,141.41,211.5
1986,198.0,293.4,264.0,150.25,211.89
1987,189.11,275.54,257.75,136.0,203.5
1988,189.2,276.52,253.25,136.88,206.0
1989,195.83,275.0,261.87,138.77,209.96
1990,203.0,279.12,266.44,151.31,215.6
1991,199.08,282.5,265.55,153.0,213.38
1992,198.0,282.86,266.47,135.67,216.0
1993,211.83,285.88,272.39,159.33,225.17
1994,189.94,278.11,257.32,134.36,
1995,201.29,284.78,265.3,150.88,
1996,203.84,285.3,269.5,145.68,
1997,198.41,277.14,263.2,137.49,213.07
1998,193.9,276.74,259.03,135.25,207.0
1999,194.62,279.6,264.39,145.9,208.92
2000,189.73,275.26,255.79,127.11,205.9
2001,200.38,285.09,270.67,141.62,215.67
2002,188.0,283.54,258.0,137.83,207.75
2003,198.38,276.83,259.41,142.82,214.12
2004,194.22,277.22,260.03,129.83,209.13
2005,191.54,275.0,256.76,136.4,205.39
2006,189.77,278.0,258.44,135.91,206.13
2007,188.44,277.57,258.03,137.92,205.95
2008,200.83,281.94,266.81,141.95,216.74
2009,196.67,301.0,263.0,138.62,211.04
2010,193.17,278.0,260.04,133.67,208.21
2011,195.04,279.14,266.47,135.68,212.0
2012,189.46,273.1,259.0,135.67,208.67
2013,205.63,286.54,271.76,155.62,221.83
2014,195.59,288.5,267.61,139.75,210.62
2015,196.18,280.82,263.58,136.67,211.55
2016,194.69,285.58,263.27,137.58,208.1
2017,195.67,292.34,264.59,137.18,210.36
2018,190.47,296.68,259.0,137.76,206.04
2019,203.17,293.78,272.37,155.17,221.17
2020,191.33,276.6,259.52,125.12,208.0
2021,189.53,280.38,261.09,124.04,204.83
2022,196.33,280.79,265.52,138.2,211.3
2023,191.27,280.5,259.48,127.35,208.77
2024,196.0,278.19,263.75,136.5,213.27
2025,192.44,290.72,260.89,127.23,207.26
2026,190.79,,,127.88,208.08
