variable,count,mean,std,min,25%,50%,75%,max,cv_%
yield_bu_ac,4417.0,46.129,9.543,14.6,39.8,46.1,52.7,70.5,20.7
yield_kg_ha,4417.0,3102.227,641.774,981.864,2676.588,3100.269,3544.126,4741.193,20.7
yield_anom,4417.0,0.0,5.518,-26.235,-2.785,0.814,3.689,13.115,3753213821261808.0
acres_planted,4417.0,94713.29,41056.433,2400.0,66200.0,94000.0,122000.0,274000.0,43.3
production_bu,4417.0,4424071.995,2221060.929,91000.0,2763000.0,4271000.0,5868000.0,13565000.0,50.2
pcp_grow,4417.0,24.657,6.286,10.12,20.38,24.09,28.18,51.12,25.5
pcp_critical,4417.0,8.379,3.618,0.87,5.79,7.71,10.51,26.3,43.2
tmp_grow,4417.0,64.639,1.941,57.95,63.283,64.683,66.083,70.05,3.0
tmax_critical,4417.0,83.199,2.895,73.95,81.4,83.15,84.95,93.65,3.5
pdsi08,4417.0,0.954,2.791,-6.26,-1.1,1.06,2.91,10.86,292.6
zndx08,4417.0,0.373,2.498,-4.44,-1.39,-0.07,1.7,12.65,670.3
