year,ge_aug,yield_anom,season_edd,wb_min_water_frac,win_prcp_mm
1986,88.6,3.524,2.044,0.496,211.126
1987,81.2,4.996,19.583,0.396,255.372
1988,7.5,-8.952,106.108,0.101,128.308
1989,43.5,-1.093,27.347,0.249,219.596
1990,72.5,1.43,11.276,0.38,130.662
1991,60.25,0.683,18.435,0.204,167.637
1992,82.8,2.411,1.209,0.554,194.254
1993,24.2,-10.037,0.284,0.827,271.026
1994,93.75,8.226,6.354,0.339,150.549
1995,66.5,0.406,13.031,0.304,135.691
1996,67.25,0.312,2.839,0.31,135.087
1997,68.2,2.531,25.3,0.314,133.936
1998,75.2,3.83,9.714,0.258,163.305
1999,71.4,-0.626,22.686,0.348,148.222
2000,66.0,-1.631,29.161,0.261,153.405
2001,50.25,-2.14,24.529,0.268,161.653
2002,62.0,1.147,44.299,0.269,173.327
2003,56.4,-14.822,42.476,0.088,102.778
2004,72.8,1.817,3.849,0.319,165.11
2005,70.25,4.249,51.998,0.167,111.328
2006,67.0,1.468,46.793,0.272,200.815
2007,71.75,2.683,16.587,0.385,286.533
2008,63.4,-4.138,1.672,0.345,135.272
2009,77.2,0.202,2.997,0.378,157.266
2010,70.0,-0.125,3.686,0.579,226.049
2011,68.75,-0.038,21.788,0.206,106.436
2012,24.75,-6.845,101.717,0.095,125.255
2013,48.0,-7.488,23.831,0.108,75.763
2014,73.6,-2.172,1.947,0.418,245.231
2015,77.6,2.389,6.411,0.496,196.26
2016,82.25,5.546,6.386,0.6,251.933
2017,58.25,1.716,21.77,0.167,115.087
2018,71.5,0.689,24.25,0.3,281.657
2019,62.75,-0.975,1.569,0.407,191.558
2020,62.2,-2.51,19.461,0.143,131.099
2021,60.0,5.706,30.547,0.198,160.099
2022,64.75,1.213,40.993,0.194,130.426
2023,55.75,-0.37,45.582,0.089,105.492
2024,76.75,2.003,18.643,0.152,114.278
