variable,r_detrended,r2,r_raw_yield,r_champaign,n
tmp_range_crit,-0.3939,0.1552,-0.4371,-0.298,4417
tmax08_anom,-0.3848,0.1481,-0.2557,-0.2809,4417
tmax08_z,-0.3793,0.1438,-0.2551,-0.2809,4417
tmax08,-0.3469,0.1204,-0.2968,-0.2809,4417
heat_x_dry,-0.3237,0.1048,-0.159,-0.1697,4417
zndx08_z,0.317,0.1005,0.1529,0.1571,4417
zndx08_anom,0.3144,0.0989,0.1512,0.1571,4417
zndx08,0.3138,0.0984,0.1531,0.1571,4417
tmin09,0.3033,0.092,0.3607,0.1495,4417
tmax_critical_anom,-0.2827,0.0799,-0.2267,-0.1826,4417
pcp08_anom,0.2763,0.0764,0.1201,0.1532,4417
pcp08,0.2755,0.0759,0.1107,0.1532,4417
tmax_critical_z,-0.2754,0.0758,-0.2261,-0.1826,4417
pcp08_z,0.2744,0.0753,0.1209,0.1532,4417
tmp09,0.2577,0.0664,0.3674,0.2164,4417
tmp08,-0.2576,0.0664,-0.2363,-0.2126,4417
tmax_critical,-0.2525,0.0637,-0.2723,-0.1826,4417
zndx_critical,0.237,0.0561,0.1053,0.0545,4417
pcp_critical_anom,0.2357,0.0556,0.0809,0.0623,4417
pcp_critical_z,0.2345,0.055,0.0827,0.0623,4417
pcp_critical,0.2339,0.0547,0.0723,0.0623,4417
tmp_grow_sd,-0.2281,0.052,-0.0782,-0.1864,4417
tmp_critical_anom,-0.2206,0.0487,-0.1622,-0.1392,4417
tmin10,0.2156,0.0465,0.2301,0.3234,4417
tmp_critical_z,-0.2151,0.0463,-0.1592,-0.1392,4417
tmp_critical,-0.185,0.0342,-0.2156,-0.1392,4417
tmp06,0.1751,0.0307,0.2665,0.1938,4417
pcp04,-0.1735,0.0301,-0.0639,-0.1724,4417
tmp04,0.1578,0.0249,-0.0003,0.1852,4417
pcp05,-0.1574,0.0248,-0.0342,-0.2816,4417
tmin04,0.1427,0.0204,-0.0198,0.177,4417
pcp_summer,0.1367,0.0187,0.0649,-0.0282,4417
zndx_jja,0.1351,0.0182,0.0779,-0.0307,4417
tmax_summer,-0.1335,0.0178,-0.132,-0.0518,4417
tmax_jja,-0.1335,0.0178,-0.132,-0.0518,4417
tmp_grow_anom,0.1324,0.0175,0.2254,0.124,4417
pdsi08_z,0.1322,0.0175,0.0823,-0.0316,4417
pdsi08_anom,0.1318,0.0174,0.0813,-0.0316,4417
pdsi08,0.1313,0.0172,0.0813,-0.0316,4417
tmp_grow_z,0.1306,0.0171,0.2244,0.124,4417
tmax07,-0.1021,0.0104,-0.1884,-0.0378,4417
tmp_grow,0.0949,0.009,0.0637,0.124,4417
pcp_grow_cv,-0.0927,0.0086,-0.0789,-0.1322,4417
pdsi_may,-0.0797,0.0064,0.0202,-0.1969,4417
pcp06,-0.0779,0.0061,0.0189,-0.1493,4417
tmp_summer,-0.0751,0.0056,-0.0637,-0.0258,4417
pdsi_critical,0.0717,0.0051,0.0582,-0.0924,4417
pcp07,0.0708,0.005,-0.0038,-0.0406,4417
zndx07,0.0706,0.005,0.0184,-0.0479,4417
pdsi06,-0.0671,0.0045,0.0262,-0.1615,4417
tmp05,0.0601,0.0036,0.0142,-0.0253,4417
tmp07,-0.0595,0.0035,-0.1366,-0.0112,4417
pcp_prevND,-0.039,0.0015,-0.075,-0.0084,4417
tmin05,0.0367,0.0013,0.024,-0.0893,4417
pcp09,0.0357,0.0013,-0.0291,-0.1167,4417
pdsi_jja,0.0276,0.0008,0.0495,-0.1181,4417
pcp_grow_anom,0.0171,0.0003,0.0313,-0.1783,4417
pcp_grow,0.0168,0.0003,0.0113,-0.1783,4417
pcp_grow_z,0.016,0.0003,0.034,-0.1783,4417
pcp_win,-0.0109,0.0001,0.1471,0.0749,4417
pdsi07,0.0075,0.0001,0.0315,-0.1501,4417
