model,term,coef,se,t,p,ci_low,ci_high
M1 Baseline pooled OLS,Intercept,27.855,2.5567,10.89489,0.0,22.84395,32.86605
M1 Baseline pooled OLS,PCP,0.25466,0.02093,12.1655,0.0,0.21364,0.29569
M1 Baseline pooled OLS,TMX,-0.36059,0.02961,-12.17778,0.0,-0.41862,-0.30255
M2 Quadratic + interaction,Intercept,-226.03768,32.80949,-6.8894,0.0,-290.3431,-161.73227
M2 Quadratic + interaction,PCP,-3.73893,0.66521,-5.6207,0.0,-5.04272,-2.43515
M2 Quadratic + interaction,PCP2,-0.09243,0.00383,-24.1341,0.0,-0.09993,-0.08492
M2 Quadratic + interaction,TMX,5.94392,0.73854,8.04817,0.0,4.49641,7.39144
M2 Quadratic + interaction,TMX2,-0.04025,0.00418,-9.62824,0.0,-0.04845,-0.03206
M2 Quadratic + interaction,PT,0.07137,0.00763,9.3566,0.0,0.05642,0.08632
M3 M2 + county FE,Intercept,-209.61701,35.81903,-5.85211,0.0,-279.82103,-139.413
M3 M2 + county FE,PCP,-3.87235,0.6909,-5.60476,0.0,-5.2265,-2.5182
M3 M2 + county FE,PCP2,-0.09227,0.00389,-23.74985,0.0,-0.09989,-0.08466
M3 M2 + county FE,TMX,5.67055,0.80769,7.02072,0.0,4.08751,7.25359
M3 M2 + county FE,TMX2,-0.03926,0.00458,-8.56846,0.0,-0.04824,-0.03028
M3 M2 + county FE,PT,0.07268,0.00789,9.20825,0.0,0.05721,0.08815
M4 Two-way FE (county + year),Intercept,-550.88681,44.08611,-12.4957,0.0,-637.294,-464.47963
M4 Two-way FE (county + year),PCP,-1.68495,0.59263,-2.84316,0.00447,-2.84648,-0.52341
M4 Two-way FE (county + year),PCP2,-0.03114,0.00483,-6.45128,0.0,-0.0406,-0.02168
M4 Two-way FE (county + year),TMX,13.69949,1.01271,13.52753,0.0,11.71461,15.68437
M4 Two-way FE (county + year),TMX2,-0.085,0.00584,-14.54679,0.0,-0.09646,-0.07355
M4 Two-way FE (county + year),PT,0.03072,0.00698,4.4039,1e-05,0.01705,0.04439
M5 Palmer Z specification,Intercept,-431.78191,26.75311,-16.1395,0.0,-484.21704,-379.34677
M5 Palmer Z specification,zndx08,1.28383,0.04808,26.70323,0.0,1.1896,1.37806
M5 Palmer Z specification,I(zndx08 ** 2),-0.21736,0.01095,-19.8477,0.0,-0.23883,-0.1959
M5 Palmer Z specification,TMX,10.59412,0.6366,16.64182,0.0,9.34641,11.84182
M5 Palmer Z specification,TMX2,-0.06473,0.00379,-17.07923,0.0,-0.07216,-0.0573
"M6 Raw yield, two-way FE",Intercept,-1245.98611,38.42392,-32.42736,0.0,-1321.2956,-1170.67662
"M6 Raw yield, two-way FE",PCP,-3.88468,0.68453,-5.67497,0.0,-5.22633,-2.54303
"M6 Raw yield, two-way FE",PCP2,-0.09256,0.00395,-23.43679,0.0,-0.1003,-0.08482
"M6 Raw yield, two-way FE",TMX,5.86417,0.78741,7.44739,0.0,4.32087,7.40747
"M6 Raw yield, two-way FE",TMX2,-0.04046,0.00449,-9.01883,0.0,-0.04925,-0.03166
"M6 Raw yield, two-way FE",PT,0.07288,0.00784,9.2935,0.0,0.05751,0.08825
"M6 Raw yield, two-way FE",year,0.53574,0.0051,104.94578,0.0,0.52574,0.54575
"M7 Log yield, county FE",Intercept,-25.03796,1.06867,-23.42903,0.0,-27.13252,-22.9434
"M7 Log yield, county FE",PCP,-0.1471,0.0181,-8.12533,0.0,-0.18258,-0.11162
"M7 Log yield, county FE",PCP2,-0.0021,0.0001,-20.04802,0.0,-0.0023,-0.00189
"M7 Log yield, county FE",TMX,0.15624,0.02301,6.78926,0.0,0.11114,0.20134
"M7 Log yield, county FE",TMX2,-0.00111,0.00014,-8.21853,0.0,-0.00137,-0.00085
"M7 Log yield, county FE",PT,0.00235,0.00021,11.09316,0.0,0.00193,0.00276
"M7 Log yield, county FE",year,0.01163,0.00013,87.99703,0.0,0.01137,0.01189
