model,split,RMSE,MAE,R2,MAPE,bias,err_sd,validation,skill_vs_baseline_%
Baseline: trend only (anomaly=0),test,4.676,3.9638,-0.0739,100.0,-1.227,4.5121,fixed split,
Linear Regression,validation,3.9235,3.1697,-0.0192,829.9841,1.4141,3.6598,fixed split,
Linear Regression,test,3.7922,3.0214,0.2937,341.6136,0.6816,3.7304,fixed split,
Ridge,validation,3.9171,3.1628,-0.0159,824.47,1.427,3.6479,fixed split,
Ridge,test,3.7839,3.0167,0.2967,341.6733,0.6841,3.7216,fixed split,
Random Forest,validation,4.2379,3.3548,-0.1891,736.3238,0.6065,4.1942,fixed split,
Random Forest,test,4.2353,3.4709,0.1189,262.4816,-1.7901,3.8384,fixed split,
Gradient Boosting,validation,3.9676,3.1937,-0.0423,833.7268,0.587,3.9239,fixed split,
Gradient Boosting,test,4.3439,3.5249,0.0732,314.1012,-1.9149,3.8991,fixed split,
HistGBM (XGB-class),validation,4.2479,3.378,-0.1947,1123.6428,0.7159,4.1871,fixed split,
HistGBM (XGB-class),test,4.3312,3.5159,0.0786,284.2933,-1.9465,3.8692,fixed split,
Random Forest,rolling test,4.7178,3.6059,0.2881,642.8987,0.8296,4.6442,expanding window,15.81
Gradient Boosting,rolling test,4.7731,3.6166,0.2713,623.8744,0.8384,4.6989,expanding window,14.82
Ridge,rolling test,4.7847,3.6998,0.2677,579.2414,1.3651,4.5858,expanding window,14.62
Linear Regression,rolling test,4.7912,3.7046,0.2657,581.0606,1.3663,4.5923,expanding window,14.5
HistGBM (XGB-class),rolling test,4.9157,3.7391,0.2271,728.0449,0.8942,4.8337,expanding window,12.28
Baseline: trend only (anomaly=0),rolling test,5.6037,4.2321,-0.0044,100.0,0.3716,5.5914,expanding window,0.0
