feature,importance,sd
heat_x_dry,0.3786403149072437,0.028374371230950258
tmin10,0.06064606230234878,0.008726265751012876
pcp_grow,0.05909408570834861,0.018977796990650993
tmp_grow_sd,0.03550934139876249,0.014839212893938795
pdsi_critical,0.02369573609719869,0.00797497917739085
tmax_critical,0.02005680510719038,0.005128028806926803
pcp_critical,0.01979369878678146,0.004381213028727154
climate_normal_tmax,0.008705616608740816,0.004776011099954344
pcp_win,0.006085250212327521,0.021148796891098866
tmp_grow,0.005067310216708698,0.002183307201399167
climate_normal_pcp,0.0024789352813054575,0.003262541279136717
zndx08,0.001305983410434484,0.00307791675808798
hot_month_count,-0.00015790959408912286,0.000573731443312003
dry_month_count,-0.0002986282268312342,0.00020868797149987557
pcp07,-0.005719386794067666,0.0011953719083649293
pcp_grow_cv,-0.018074117441512428,0.00533136512584949
zndx07,-0.020394704418013,0.004959750285043159
pcp08,-0.02093567156192024,0.012897435861355238
pdsi08,-0.03084947356637378,0.007167612586932477
tmax08,-0.05757226078036565,0.011481891416021616
