county,fips5,ag_district,n,r_moisture,r_precip,r_heat,beta_moisture_bu_per_sd,beta_heat_bu_per_sd,yield_recent,trend,volatility,normal_pcp,normal_tmax,sensitivity_index
APPANOOSE,19007,SOUTH CENTRAL,43,0.5521,0.3467,-0.5157,2.7329,-2.3148,48.45,0.4828,6.7012,8.726,84.943,0.974
HARRISON,19085,WEST CENTRAL,42,0.4683,0.4688,-0.615,1.2396,-2.4448,53.7857,0.4793,4.8102,7.6645,84.431,0.974
DAVIS,19051,SOUTHEAST,46,0.5083,0.4567,-0.5676,2.3442,-2.9624,51.3727,0.5424,6.6955,8.5615,84.9815,0.9688
ADAIR,19001,SOUTHWEST,44,0.5189,0.47,-0.439,2.5013,-1.6399,54.0333,0.4752,6.171,8.6698,83.8273,0.9062
VAN BUREN,19177,SOUTHEAST,45,0.4521,0.37,-0.4984,1.9833,-2.353,50.89,0.5195,5.8091,8.2189,85.0,0.9062
POTTAWATTAMIE,19155,SOUTHWEST,43,0.4264,0.3976,-0.4992,1.7863,-2.4286,57.525,0.5343,6.0067,7.9447,84.5744,0.8802
CASS,19029,SOUTHWEST,45,0.4215,0.3945,-0.501,1.4271,-2.2292,57.02,0.5637,5.6919,8.546,84.0211,0.8802
MONONA,19133,WEST CENTRAL,46,0.4094,0.3865,-0.5752,1.0084,-2.3865,55.5636,0.5842,4.8744,7.3993,84.2576,0.8698
LEE,19111,SOUTHEAST,46,0.4289,0.4095,-0.4665,1.8106,-2.138,58.5273,0.614,5.8571,8.132,85.1533,0.8646
UNION,19175,SOUTH CENTRAL,45,0.4577,0.3024,-0.4067,2.4932,-1.8823,52.54,0.5589,7.1164,8.5744,84.2844,0.8542
DECATUR,19053,SOUTH CENTRAL,43,0.4502,0.2239,-0.4248,2.6065,-2.3151,50.2625,0.5194,7.549,8.9872,85.0767,0.8438
SAC,19161,WEST CENTRAL,45,0.5184,0.4915,-0.3614,2.5426,-1.297,59.86,0.5466,5.6314,7.9969,82.6733,0.8438
GUTHRIE,19077,WEST CENTRAL,42,0.4683,0.3679,-0.3599,2.2043,-1.0653,54.6143,0.4443,5.7403,8.455,83.7452,0.8229
