county,fips5,ag_district,baseline_yield,d_S1 Baseline,d_S2 +1C,d_S3 -10% precip,d_S4 +1C and -10% precip,d_S5 +2C,d_S6 +2C and -20% precip,pct_S4
ADAIR,19001,SOUTHWEST,43.8295,0.0,-0.7683,-0.3528,-0.692,-1.0944,-0.9448,-1.5788
ALLAMAKEE,19005,NORTHEAST,46.4467,0.0,0.5087,0.4475,0.7459,0.1784,0.659,1.6058
APPANOOSE,19007,SOUTH CENTRAL,37.9581,0.0,-0.4989,0.0236,-0.3064,-1.1682,-0.7686,-0.8072
AUDUBON,19009,WEST CENTRAL,47.4739,0.0,-0.1201,0.1617,0.0315,-0.5219,-0.2446,0.0664
BENTON,19011,EAST CENTRAL,48.6023,0.0,-0.3715,0.0141,-0.1044,-0.957,-0.5005,-0.2147
BLACK HAWK,19013,NORTHEAST,48.2304,0.0,-0.3782,0.1988,-0.0256,-0.5786,-0.1066,-0.0531
BOONE,19015,CENTRAL,47.8761,0.0,-0.0998,0.3637,0.0962,-0.8233,-0.594,0.201
BREMER,19017,NORTHEAST,48.0756,0.0,-0.1953,0.2346,0.0277,-0.339,0.1102,0.0576
BUCHANAN,19019,NORTHEAST,47.7087,0.0,-0.1726,0.1917,0.1424,-0.4565,0.031,0.2986
BUENA VISTA,19021,NORTHWEST,47.325,0.0,-0.0846,0.3141,0.1174,-0.5974,-0.4383,0.248
BUTLER,19023,NORTH CENTRAL,47.037,0.0,-0.2588,0.2027,0.0069,-0.5424,-0.0157,0.0146
CALHOUN,19025,WEST CENTRAL,46.8413,0.0,-0.2171,0.0651,-0.0789,-0.7787,-0.6932,-0.1684
CARROLL,19027,WEST CENTRAL,47.8733,0.0,-0.1463,0.2134,0.0194,-0.6005,-0.4435,0.0404
CASS,19029,SOUTHWEST,45.4556,0.0,-0.5548,-0.0099,-0.4016,-0.903,-0.7355,-0.8835
CEDAR,19031,EAST CENTRAL,51.3244,0.0,-0.2944,0.4785,0.1514,-1.0784,-0.4895,0.295
CERRO GORDO,19033,NORTH CENTRAL,45.0227,0.0,-0.2475,0.2119,-0.0002,-0.4482,0.0074,-0.0004
CHEROKEE,19035,NORTHWEST,51.0667,0.0,-0.2307,0.3039,-0.0857,-0.8313,-0.7591,-0.1678
CHICKASAW,19037,NORTHEAST,44.9178,0.0,-0.5816,-0.4337,-0.3317,-0.788,-0.3568,-0.7385
