check,n,r2,dY_dT,dY_dP,p_TMX,p_PCP,p_interaction
"Reference: balanced panel, two-way FE",4296,0.6854,-0.1824,0.3479,0.0,0.00447,1e-05
All 102 counties (no balance rule),4417,0.684,-0.1854,0.3489,0.0,0.00174,0.0
Fully balanced only (28 counties),1610,0.6922,-0.0121,0.38,0.0,0.00056,1e-05
Trim 1% extreme yield years,4210,0.6608,-0.2364,0.3358,0.0,0.07295,0.00075
Trim 2% extreme precip years,4124,0.6736,-0.2237,0.3495,0.0,0.5076,0.22813
"Drop 1988, 2003, 2012",4008,0.591,-0.0459,0.3083,0.0,0.00658,2e-05
Early period only (1980-2002),2208,0.6798,-0.2684,0.2542,0.0,0.0,0.0
Late period only (2003-2025),2088,0.7092,-0.1151,0.4497,0.0,0.00094,0.17665
County FE only (no year FE),4296,0.2892,-0.251,0.6248,0.0,0.0,0.0
Alternative indicator: growing-season precip,4296,0.6924,-0.234,0.2927,0.0,1e-05,0.0
Target: log yield,4296,0.8731,-0.0059,0.0077,0.0,0.0,0.0
Target: raw yield (trend uncontrolled),4296,0.8904,-0.154,0.3653,0.0,0.00301,0.0
Target: yield growth (%),4200,0.6776,-2.2893,0.7397,0.00051,0.209,0.5181
