column,dtype,non_null,nulls,distinct,min,max,example
state,text,3985,0,1,,,INDIANA
state_ansi,number,3985,0,1,18.0,18.0,18
county,text,3985,0,92,,,ADAMS
county_ansi,text,3985,0,92,,,001
fips5,text,3985,0,92,,,18001
ag_district,text,3985,0,9,,,NORTHEAST
ag_district_code,number,3985,0,9,10.0,90.0,30
year,number,3985,0,46,1980.0,2025.0,1980
produced_soy,number,3985,0,1,1.0,1.0,1.0
acres_planted,number,3985,0,1087,800.0,128000.0,70800.0
acres_harvested,number,3985,0,1130,700.0,127700.0,70700.0
production_bu,number,3985,0,3733,25100.0,8051000.0,2730900.0
yield_bu_ac,number,3985,0,440,17.0,73.3,38.6
yield_kg_ha,number,3985,0,440,1143.266,4929.496,2595.8872541368787
production_tonnes,number,3985,0,3733,683.109,219111.991,74322.80895
area_harvested_ha,number,3985,0,1130,283.28,51678.356,28611.2748894
pcp04,number,3985,0,828,0.3,15.1,2.48
pcp05,number,3985,0,871,0.63,13.14,3.18
pcp06,number,3985,0,895,0.26,14.7,5.28
pcp07,number,3985,0,818,0.43,14.47,3.99
pcp08,number,3985,0,739,0.46,11.38,5.35
pcp09,number,3985,0,776,0.09,12.3,2.24
tmp04,number,3985,0,202,40.3,62.1,47.1
tmp05,number,3985,0,202,52.1,73.4,60.9
tmp06,number,3985,0,144,63.5,79.4,67.4
tmp07,number,3985,0,165,66.2,84.4,75.7
tmp08,number,3985,0,159,65.2,82.8,74.9
tmp09,number,3985,0,163,58.4,76.0,66.5
pcp_win,number,3985,0,1449,2.3,18.19,5.15
pcp_prevND,number,3985,0,1201,1.95,15.1,7.51
tmin04,number,3985,0,203,29.6,50.6,37.1
tmin05,number,3985,0,198,41.5,63.0,48.8
tmin09,number,3985,0,158,47.1,64.6,53.9
tmin10,number,3985,0,198,33.7,54.0,38.4
tmax07,number,3985,0,182,76.7,97.0,87.0
tmax08,number,3985,0,189,75.4,94.9,85.4
tmax_jja,number,3985,0,636,76.433,91.467,83.93333333333334
pdsi06,number,3985,0,857,-4.51,6.95,0.63
pdsi07,number,3985,0,864,-5.22,6.91,0.73
pdsi08,number,3985,0,861,-4.89,6.77,1.63
pdsi_jja,number,3985,0,2203,-4.65,6.273,0.9966666666666666
pdsi_may,number,3985,0,791,-4.28,5.85,-0.53
zndx07,number,3985,0,926,-5.38,12.09,0.49
zndx08,number,3985,0,865,-3.95,9.79,2.93
zndx_jja,number,3985,0,2075,-4.027,6.553,1.7733333333333334
pcp_grow,number,3985,0,2056,10.47,42.38,22.520000000000003
pcp_critical,number,3985,0,1260,2.26,18.73,9.34
pcp_summer,number,3985,0,1519,4.41,25.96,14.62
tmp_grow,number,3985,0,1025,60.05,73.85,65.41666666666667
tmp_critical,number,3985,0,348,66.9,81.6,75.30000000000001
tmp_summer,number,3985,0,573,65.767,80.233,72.66666666666667
tmax_critical,number,3985,0,389,76.9,93.4,86.2
tmax_summer,number,3985,0,636,76.433,91.467,83.93333333333334
tmp_range_crit,number,3985,0,902,28.6,46.5,40.05
pcp_grow_cv,number,3985,0,3985,0.047,1.004,0.3609378712170791
tmp_grow_sd,number,3985,0,3943,5.513,12.861,10.551666535039226
pdsi_critical,number,3985,0,1600,-4.97,6.84,1.18
zndx_critical,number,3985,0,1630,-3.71,6.785,1.71
drought_flag,number,3985,0,2,0.0,1.0,0
severe_drought,number,3985,0,2,0.0,1.0,0
hot_month_count,number,3985,0,3,0.0,2.0,0
dry_month_count,number,3985,0,3,0.0,2.0,0
heat_x_dry,number,3985,0,3913,-807.675,357.475,-252.56600000000003
pcp_grow_anom,number,3985,0,3955,-12.213,19.249,0.8390151515151558
pcp_grow_z,number,3985,0,3968,-2.597,3.986,0.1823064977091388
pcp_critical_anom,number,3985,0,3876,-5.361,11.194,2.065454545454545
pcp_critical_z,number,3985,0,3902,-2.181,4.528,0.820656898511215
pcp08_anom,number,3985,0,3762,-3.091,8.174,1.9868939393939389
pcp08_z,number,3985,0,3822,-1.947,5.543,1.2890225591858586
tmp_grow_anom,number,3985,0,3796,-3.136,3.72,0.7718686868687001
tmp_grow_z,number,3985,0,3821,-2.151,2.658,0.5006377634563497
tmp_critical_anom,number,3985,0,3404,-4.529,4.828,3.0492424242424363
tmp_critical_z,number,3985,0,3520,-2.325,2.572,1.6889182048509424
tmax_critical_anom,number,3985,0,3466,-6.348,6.536,2.6246212121212125
tmax_critical_z,number,3985,0,3628,-2.525,2.602,1.2339216190601323
tmax08_anom,number,3985,0,3029,-6.252,7.634,2.970454545454544
tmax08_z,number,3985,0,3208,-2.353,3.094,1.2284806941970985
pdsi08_anom,number,3985,0,3834,-4.989,6.327,1.186742424242424
pdsi08_z,number,3985,0,3869,-2.357,2.755,0.5168513497198901
zndx08_anom,number,3985,0,3817,-4.107,9.469,2.558787878787879
zndx08_z,number,3985,0,3871,-2.165,4.779,1.2412423622272408
climate_normal_pcp,number,3985,0,89,6.834,7.854,7.274545454545454
climate_normal_tmax,number,3985,0,92,82.108,88.376,83.57537878787879
trend_slope,number,3985,0,92,0.367,0.778,0.5403739393974067
yield_trend,number,3985,0,3985,25.694,66.772,33.081517871976985
yield_anom,number,3985,0,3985,-25.9,14.37,5.518482128023017
log_yield,number,3985,0,440,2.833,4.295,3.653252276470785
n_years_county,number,3985,0,12,22.0,46.0,45
in_balanced_panel,number,3985,0,2,0.0,1.0,1
is_focal,number,3985,0,2,0.0,1.0,0
