feature,importance,sd,kind
heat_x_dry,0.10441151584711102,0.02452855144722168,climate
pcp_grow,0.054067031239393736,0.009896619383630165,climate
pcp_grow_cv,0.04209696055807377,0.014542376079088879,climate
tmp_grow_sd,0.02748950374498745,0.007932273225570425,climate
pdsi_critical,0.01860215713068694,0.004631548982661195,climate
zndx08,0.011087052989597649,0.01360843284762673,climate
pcp_critical,0.010895621603943084,0.0030139788305622896,climate
pcp_win,0.005972386727377442,0.0077340362373763535,climate
soil_om_subsoil,0.0057035620814911425,0.003073905261851827,soil
climate_normal_tmax,0.00551790367381196,0.004215730459555409,climate
zndx07,0.005243845718318356,0.005136794362969712,climate
pdsi08,0.005034055554492693,0.00162264399834161,climate
tmin10,0.0044902629252234665,0.004735763299087132,climate
soil_cec_subsoil,0.004317495449519278,0.0009789297725025152,soil
soil_silt_subsoil,0.004083587065116699,0.0008723176693206023,soil
soil_clay_subsoil,0.0031244064552531925,0.001185203160686682,soil
soil_silt_topsoil,0.0030647380939604896,0.0017163109176415502,soil
soil_om_topsoil,0.001970579225008521,0.0018071791856777136,soil
soil_cec_topsoil,0.001502930020971192,0.0009404667675897897,soil
tmp_grow,0.0012931712272035805,0.003480751758297867,climate
soil_sand_topsoil,0.0011189170651449882,0.0008733708458101331,soil
soil_sand_subsoil,0.0010894077861815232,0.0005704110699245376,soil
soil_drain_somewhat_poorly_pct,0.0009064530111527006,0.00045950666706501416,soil
soil_mollisol_pct,0.0008436918020927145,0.00043460940027772923,soil
climate_normal_pcp,0.0005776252108226724,0.0007622665223020653,climate
pcp08,0.0002934389625803187,0.0011983057062213806,climate
soil_drain_poorly_pct,0.00015871899401512235,0.00017383482183221975,soil
soil_aws_0_100cm,0.00015633467430313983,0.00022858637867731853,soil
soil_ph_topsoil,0.00014499338992177147,0.0001410300711005502,soil
soil_slope,8.697521716324874e-05,0.00034749157893073973,soil
soil_ph_subsoil,7.638581315049427e-05,4.048907218307147e-05,soil
soil_drain_mod_well_pct,0.0,0.0,soil
soil_clay_topsoil,0.0,0.0,soil
soil_bd_topsoil,-2.843335114881736e-05,0.00021099498060726503,soil
soil_ksat_topsoil,-3.884246068149485e-05,7.257117751105046e-05,soil
soil_awc_subsoil,-0.00014333375506282256,0.0005654440909433233,soil
hot_month_count,-0.00021766314641905962,0.001721144039812744,climate
soil_awc_topsoil,-0.00047294623368350036,0.0002706916136925617,soil
soil_drain_well_pct,-0.0008452578076754239,0.0006382171931298676,soil
soil_ksat_subsoil,-0.0010599790773981415,0.0003461402627154763,soil
pcp07,-0.0011397191329443612,0.0016214788855670945,climate
dry_month_count,-0.0014434345456950475,0.003061787321571598,climate
soil_bd_subsoil,-0.00287300507218081,0.0026610836730162667,soil
tmax_critical,-0.0030732355588965754,0.0022077256805865626,climate
tmax08,-0.005878426307488961,0.00694723590958428,climate
