feature,r,abs_r
wb_season_deficit_mm,-0.47428,0.47428
season_edd,-0.42358,0.42358
win_hot_days,-0.42168,0.42168
win_vpd_max,-0.41923,0.41923
win_edd,-0.39036,0.39036
win_vpd_mean,-0.35765,0.35765
wb_stress_days,-0.3523,0.3523
wb_min_water_frac,0.34492,0.34492
win_et0_mm,-0.28376,0.28376
win_water_deficit_mm,-0.28236,0.28236
season_prcp_mm,0.27694,0.27694
win_tmax_mean,-0.25944,0.25944
win_prcp_mm,0.21125,0.21125
win_gdd,-0.13916,0.13916
plant_doy,-0.11206,0.11206
season_gdd,-0.07527,0.07527
window_days,-0.02276,0.02276
end_doy,0.02239,0.02239
