feature,importance,sd,kind
heat_x_dry,0.06915922365861918,0.018708349064721342,calendar
tmp_grow_sd,0.05145333909573954,0.0074550985495568526,calendar
season_gdd,0.032655137876406136,0.005176192037348783,process
pcp_grow,0.026846209526828885,0.01163516935152512,calendar
pcp_grow_cv,0.02166784181816858,0.006054810104909962,calendar
zndx08,0.013114650879343742,0.008929453862733347,calendar
win_vpd_mean,0.01274064087995555,0.0028469635261196497,process
pdsi_critical,0.011181860474400424,0.003821227296859598,calendar
pcp_critical,0.009176470931987915,0.002538742496715805,calendar
win_et0_mm,0.007477354857007022,0.0036798203454268584,process
zndx07,0.004555864008603611,0.004405122676662442,calendar
pcp07,0.0038309795749962017,0.0017513782473011056,calendar
dry_month_count,0.0029235878303571308,0.002219596461026832,calendar
wb_stress_days,0.0027177207156361773,0.0020699870385273243,process
win_edd,0.001964912816374833,0.002098771867699995,process
season_edd,0.0017885711249741032,0.001565949992623503,process
climate_normal_tmax,0.0011304059907932078,0.0011287902721939056,calendar
tmp_grow,0.00044235851382231256,0.0008110757889316871,calendar
hot_month_count,0.0003725283484435349,0.0013809863164041289,calendar
window_days,0.0,0.0,process
season_prcp_mm,-7.394775094066164e-06,0.0017795528018051672,process
pdsi08,-0.00010917839037142645,0.00013310135602524406,calendar
win_tmax_mean,-0.00022895982662661055,0.00018191290137427804,process
pcp08,-0.000582585954602551,0.0004876742227932284,calendar
win_gdd,-0.0005926370140289239,0.0009417791875503094,process
win_hot_days,-0.0007643715578718457,0.0005215147597583408,process
win_prcp_mm,-0.0008320814273082936,0.0014636621766165477,process
tmax_critical,-0.0010696236846763167,0.0016807919552392545,calendar
climate_normal_pcp,-0.0011703513540547346,0.0006105660159112013,calendar
wb_season_deficit_mm,-0.0015930638389812697,0.001305198512103908,process
tmax08,-0.0033726741338724144,0.0020235630207658907,calendar
end_doy,-0.0038756151529295755,0.0007207341154227998,process
pcp_win,-0.004797958237813075,0.002924055660699266,calendar
wb_min_water_frac,-0.00823309267421076,0.00511055001826961,process
plant_doy,-0.008573973692121336,0.006716570968566509,process
win_water_deficit_mm,-0.010101936451037916,0.0030657173510102455,process
tmin10,-0.019497693267895255,0.0038216098440598256,calendar
win_vpd_max,-0.02239072305144867,0.007203111164091481,process
