scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,-2.5615,-4.6231,78.0979,5.9365,11.2913,-8.9841,4.1663,-14.145,-25.7869,3.8826
ssp245,late_century,CanESM5,-3.4294,-7.2621,97.4747,7.4094,19.0743,-8.4325,3.9051,-12.6318,-24.2164,4.7696
ssp245,late_century,EC-Earth3,-3.6077,-5.2509,77.8354,5.9165,12.5884,-7.4741,3.4425,-12.1583,-21.4369,4.2567
ssp245,late_century,GFDL-ESM4,-0.1469,-1.1892,44.9851,3.4195,3.4198,-6.5601,3.0584,-10.7317,-18.8538,2.4941
ssp245,late_century,INM-CM5-0,-0.7747,-1.2487,40.6246,3.088,2.329,-4.9561,2.3066,-8.2966,-14.265,2.3211
ssp245,late_century,MIROC6,-0.2357,-0.6824,39.4095,2.9956,2.1521,-5.8107,2.7311,-9.4764,-16.7456,2.1543
ssp245,late_century,MPI-ESM1-2-LR,-0.1688,-0.1109,31.1049,2.3644,1.2087,-4.7925,2.2485,-8.2821,-13.8037,1.6661
ssp245,late_century,MRI-ESM2-0,-0.4541,-0.82,44.2963,3.3671,3.184,-6.9113,3.2061,-11.867,-19.837,2.3423
ssp245,mid_century,ACCESS-ESM1-5,-2.1295,-3.2434,63.2844,4.8105,7.842,-7.4136,3.4231,-11.9478,-21.2774,3.4976
ssp245,mid_century,CanESM5,-3.7638,-6.0085,81.9855,6.232,13.0012,-7.0563,3.2677,-9.9505,-20.2417,4.4467
ssp245,mid_century,EC-Earth3,-1.5624,-1.7134,44.3393,3.3704,3.2724,-6.1265,2.8408,-9.8222,-17.6141,2.6466
ssp245,mid_century,GFDL-ESM4,-0.0179,-0.6323,32.6631,2.4828,1.6804,-4.5071,2.0967,-6.3847,-12.9602,1.8252
ssp245,mid_century,INM-CM5-0,-0.0909,-0.0555,25.3365,1.9259,0.4127,-3.1675,1.4782,-5.2562,-9.0999,1.2302
ssp245,mid_century,MIROC6,-0.4677,-0.7707,35.6392,2.709,1.6509,-4.5646,2.1542,-7.8835,-13.1495,2.0218
ssp245,mid_century,MPI-ESM1-2-LR,0.0154,0.0906,24.9287,1.8949,0.6191,-3.5318,1.6418,-5.3697,-10.1498,1.2058
ssp245,mid_century,MRI-ESM2-0,-0.6526,-0.8051,38.3597,2.9158,2.0342,-5.6816,2.6498,-9.0298,-16.347,2.1397
ssp585,late_century,ACCESS-ESM1-5,-6.7318,-15.3823,168.2598,12.79,63.6498,-11.76,5.431,-17.6757,-33.745,6.3555
ssp585,late_century,CanESM5,-5.8099,-22.0288,220.7199,16.7776,89.829,-12.6518,5.8446,-18.9257,-36.3334,7.23
ssp585,late_century,EC-Earth3,-7.6032,-16.6208,174.2193,13.243,64.6521,-10.8921,5.0339,-18.0147,-31.2491,7.0385
ssp585,late_century,GFDL-ESM4,-3.4484,-6.1621,88.8981,6.7574,14.5637,-8.5649,3.926,-13.4139,-24.5542,4.511
ssp585,late_century,INM-CM5-0,-2.7935,-5.2028,80.5155,6.1202,12.0283,-7.5823,3.5112,-12.2789,-21.7574,4.2727
ssp585,late_century,MIROC6,-1.982,-5.0896,85.6224,6.5084,13.0012,-9.3154,4.2951,-15.1666,-26.7341,3.9745
ssp585,late_century,MPI-ESM1-2-LR,-4.8587,-7.5121,102.6482,7.8026,21.4623,-9.403,4.3544,-15.6392,-27.0003,4.8914
ssp585,late_century,MRI-ESM2-0,-2.1044,-4.6977,84.1442,6.3961,12.3821,-9.7226,4.4829,-16.0245,-27.8738,4.0399
ssp585,mid_century,ACCESS-ESM1-5,-2.7205,-4.4586,74.5805,5.6691,10.5542,-8.1144,3.7689,-13.3547,-23.3302,3.9459
ssp585,mid_century,CanESM5,-3.6863,-7.7611,102.4147,7.7849,21.8455,-8.6733,3.9861,-12.9873,-24.8665,4.8901
ssp585,mid_century,EC-Earth3,-2.5546,-4.0771,69.6601,5.2951,10.5837,-7.342,3.3756,-12.7795,-21.0522,3.9265
ssp585,mid_century,GFDL-ESM4,-0.2217,-1.185,42.466,3.228,2.8597,-5.8429,2.732,-9.5519,-16.8234,2.3819
ssp585,mid_century,INM-CM5-0,-0.5698,-1.1702,42.9263,3.263,2.5059,-5.3499,2.5053,-8.6194,-15.375,2.2526
ssp585,mid_century,MIROC6,0.175,-0.2591,37.4869,2.8495,1.9458,-5.8511,2.7267,-9.4726,-16.839,1.9771
ssp585,mid_century,MPI-ESM1-2-LR,-0.5268,-0.375,32.7065,2.4861,1.6509,-5.1784,2.4101,-8.7093,-14.893,1.7774
ssp585,mid_century,MRI-ESM2-0,-0.742,-1.3752,47.8641,3.6383,3.8325,-7.0781,3.2689,-11.3662,-20.3028,2.5238
