scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,-3.0189,-4.6189,75.501,5.755,10.3184,-12.6306,3.8358,-14.145,-25.7869,3.8826
ssp245,late_century,CanESM5,-4.0346,-7.1638,93.2156,7.1053,14.9764,-13.1495,3.9915,-12.6318,-24.2164,4.7696
ssp245,late_century,EC-Earth3,-3.8672,-5.2578,75.0854,5.7233,11.5271,-11.4004,3.4729,-12.1583,-21.4369,4.2567
ssp245,late_century,GFDL-ESM4,-0.5971,-1.1315,44.0866,3.3604,3.3019,-8.4269,2.5796,-10.7317,-18.8538,2.4941
ssp245,late_century,INM-CM5-0,-1.1457,-1.3058,39.7235,3.0279,2.1226,-7.1389,2.1893,-8.2966,-14.265,2.3211
ssp245,late_century,MIROC6,-0.6347,-0.6706,38.4196,2.9285,1.9458,-7.8166,2.3812,-9.4764,-16.7456,2.1543
ssp245,late_century,MPI-ESM1-2-LR,-0.3966,-0.1563,30.682,2.3387,1.0908,-6.1987,1.8765,-8.2821,-13.8037,1.6661
ssp245,late_century,MRI-ESM2-0,-0.9259,-0.8394,42.8608,3.267,2.9776,-9.1869,2.8054,-11.867,-19.837,2.3423
ssp245,mid_century,ACCESS-ESM1-5,-2.4642,-3.2671,61.0959,4.657,6.9281,-10.6784,3.2406,-11.9478,-21.2774,3.4976
ssp245,mid_century,CanESM5,-4.2868,-6.0147,79.0768,6.0275,11.9693,-11.1825,3.4304,-9.9505,-20.2417,4.4467
ssp245,mid_century,EC-Earth3,-1.746,-1.7951,43.6194,3.3248,3.184,-8.1203,2.4732,-9.8222,-17.6141,2.6466
ssp245,mid_century,GFDL-ESM4,-0.3001,-0.607,32.3535,2.4661,1.6509,-5.8432,1.7892,-6.3847,-12.9602,1.8252
ssp245,mid_century,INM-CM5-0,-0.3064,-0.0911,25.1336,1.9158,0.3833,-4.3045,1.3302,-5.2562,-9.0999,1.2302
ssp245,mid_century,MIROC6,-0.82,-0.8282,35.0998,2.6754,1.6215,-6.3267,1.9404,-7.8835,-13.1495,2.0218
ssp245,mid_century,MPI-ESM1-2-LR,-0.1109,0.0674,24.719,1.8842,0.5307,-4.3965,1.3718,-5.3697,-10.1498,1.2058
ssp245,mid_century,MRI-ESM2-0,-1.0127,-0.8861,37.5292,2.8606,2.0047,-7.6893,2.3611,-9.0298,-16.347,2.1397
ssp585,late_century,ACCESS-ESM1-5,-6.3834,-14.366,155.1495,11.8261,58.7559,-18.9316,5.7267,-17.6757,-33.745,6.3555
ssp585,late_century,CanESM5,-5.5542,-20.4699,203.1548,15.4852,83.9328,-20.9814,6.3697,-18.9257,-36.3334,7.23
ssp585,late_century,EC-Earth3,-6.686,-15.1951,158.2065,12.0591,58.1073,-18.3647,5.5572,-18.0147,-31.2491,7.0385
ssp585,late_century,GFDL-ESM4,-3.9285,-6.0489,84.7932,6.4633,12.5,-12.9956,3.9649,-13.4139,-24.5542,4.511
ssp585,late_century,INM-CM5-0,-3.3797,-5.18,77.0371,5.8721,10.8196,-11.9183,3.6223,-12.2789,-21.7574,4.2727
ssp585,late_century,MIROC6,-2.6633,-4.8782,80.392,6.1278,10.908,-13.7105,4.1872,-15.1666,-26.7341,3.9745
ssp585,late_century,MPI-ESM1-2-LR,-4.7943,-7.2234,96.0157,7.3187,16.2441,-14.7391,4.4764,-15.6392,-27.0003,4.8914
ssp585,late_century,MRI-ESM2-0,-2.7424,-4.5772,79.7568,6.0794,10.6722,-14.0908,4.2709,-16.0245,-27.8738,4.0399
ssp585,mid_century,ACCESS-ESM1-5,-3.1161,-4.4723,71.8382,5.4758,9.1981,-11.8461,3.605,-13.3547,-23.3302,3.9459
ssp585,mid_century,CanESM5,-4.1633,-7.5049,96.4258,7.3499,16.48,-13.7836,4.1731,-12.9873,-24.8665,4.8901
ssp585,mid_century,EC-Earth3,-2.9291,-4.1041,67.3287,5.1321,9.5224,-10.9074,3.3152,-12.7795,-21.0522,3.9265
ssp585,mid_century,GFDL-ESM4,-0.6107,-1.1449,41.5176,3.1646,2.5943,-7.7739,2.3603,-9.5519,-16.8234,2.3819
ssp585,mid_century,INM-CM5-0,-1.0372,-1.2279,41.8091,3.1868,2.2995,-7.7995,2.3892,-8.6194,-15.375,2.2526
ssp585,mid_century,MIROC6,-0.2205,-0.2717,36.7372,2.8002,1.7983,-7.5876,2.3467,-9.4726,-16.839,1.9771
ssp585,mid_century,MPI-ESM1-2-LR,-0.7008,-0.448,32.2116,2.4553,1.4741,-6.7621,2.0469,-8.7093,-14.893,1.7774
ssp585,mid_century,MRI-ESM2-0,-1.2401,-1.4284,46.468,3.542,3.5377,-9.485,2.9042,-11.3662,-20.3028,2.5238
