scenario,horizon,mg,mature_rate,seedfill,podfill,r6_doy,r8_doy,frost_margin,season_edd,win_edd,water_deficit,pred
baseline,baseline,2.0,0.9018,21.9364,36.7999,245.5659,256.3664,52.7869,10.5381,6.2975,26.2246,-7.2534
baseline,baseline,2.5,0.861,23.5252,39.0623,249.6798,261.1075,48.0328,11.3951,6.695,30.8614,-4.8866
baseline,baseline,3.0,0.8247,25.1014,41.2676,253.5196,264.6516,44.6317,12.337,7.053,36.0474,-2.4702
baseline,baseline,3.5,0.7755,27.0403,43.8118,257.7272,269.4944,39.8632,13.2865,7.3813,41.4013,-0.1071
baseline,baseline,4.0,0.7039,29.0279,46.3696,261.7782,274.1447,35.4523,14.2993,7.7034,46.748,2.2627
baseline,baseline,4.5,0.6306,30.208,48.0642,264.6516,278.6934,31.3088,15.5692,8.12,52.3566,4.6299
baseline,baseline,5.0,0.5358,32.5696,51.0198,269.0157,281.5206,28.7698,16.5773,8.3537,57.8707,7.0553
ssp245,late_century,2.0,1.0,17.2406,29.8585,221.5569,230.8582,90.3202,25.9877,14.5488,19.7481,-9.152
ssp245,late_century,2.5,1.0,18.008,31.1486,224.9121,234.7827,86.3956,27.8689,15.6303,22.582,-6.8916
ssp245,late_century,3.0,0.9997,18.7344,32.4773,228.288,238.7647,82.4136,29.7666,16.7048,25.5998,-4.613
ssp245,late_century,3.5,0.9968,19.5245,33.8959,231.7335,242.7267,78.4883,31.6117,17.7208,28.7692,-2.3338
ssp245,late_century,4.0,0.9894,20.3281,35.3152,235.1934,246.8493,74.3319,33.6133,18.8493,31.9683,-0.0932
ssp245,late_century,4.5,0.9791,21.2783,36.8673,238.7647,251.3112,69.9402,35.6169,19.9202,35.3719,2.1066
ssp245,late_century,5.0,0.969,22.2864,38.5016,242.3092,255.5067,65.8331,37.5776,20.9125,39.1448,4.3168
ssp245,mid_century,2.0,1.0,17.5678,30.4419,226.0607,235.8119,82.3673,22.3302,13.1557,21.4007,-8.8016
ssp245,mid_century,2.5,0.9962,18.3381,31.8443,229.533,239.9843,78.213,24.0142,14.1288,24.456,-6.5117
ssp245,mid_century,3.0,0.9897,19.1822,33.3181,233.087,244.1398,74.0632,25.6565,15.0853,27.5974,-4.2123
ssp245,mid_century,3.5,0.977,20.168,34.8974,236.745,248.5659,69.6684,27.3831,16.0944,30.9922,-1.9223
ssp245,mid_century,4.0,0.9657,21.2454,36.5553,240.3977,252.8485,65.6208,29.1243,16.9934,34.6428,0.3271
ssp245,mid_century,4.5,0.9516,22.4218,38.3467,244.1398,257.239,61.4166,30.837,17.8359,38.6762,2.5611
ssp245,mid_century,5.0,0.9245,23.8448,40.3381,248.0639,262.2179,56.4922,32.4775,18.5311,43.2055,4.8193
ssp585,late_century,2.0,0.9947,15.5601,27.1571,210.8169,219.1713,115.1215,47.9337,27.0851,20.4962,-11.9056
ssp585,late_century,2.5,0.9947,16.2164,28.2857,213.844,222.5572,111.7356,51.5666,29.1793,22.6879,-9.8998
ssp585,late_century,3.0,0.9947,16.9006,29.4463,216.8903,225.9596,108.3331,55.3295,31.3274,25.3435,-7.9066
ssp585,late_century,3.5,0.9947,17.6123,30.6253,219.9298,229.3653,104.9271,59.1614,33.4593,28.4961,-5.9317
ssp585,late_century,4.0,0.9947,18.2745,31.7871,222.9446,232.8066,101.4849,63.2015,35.8368,31.8816,-3.9806
ssp585,late_century,4.5,0.9947,18.9201,32.929,225.9596,236.2919,97.9994,67.2044,38.0711,35.4923,-2.0111
ssp585,late_century,5.0,0.9947,19.5769,34.107,228.9962,239.8063,94.4849,71.14,40.2078,39.299,-0.0251
ssp585,mid_century,2.0,1.0,17.0881,29.6586,222.1005,231.3323,89.5976,26.2253,15.3557,19.312,-9.2111
ssp585,mid_century,2.5,1.0,17.8452,30.9275,225.4449,235.2034,85.7264,28.2327,16.5228,22.2141,-6.9774
ssp585,mid_century,3.0,1.0,18.5292,32.2246,228.7786,239.1813,81.7485,30.234,17.6954,25.2932,-4.7535
ssp585,mid_century,3.5,0.9973,19.3317,33.633,232.2067,243.1963,77.7467,32.222,18.8356,28.6387,-2.5136
ssp585,mid_century,4.0,0.9915,20.1713,35.0545,235.6621,247.3247,73.5835,34.2961,19.9872,32.1169,-0.2952
ssp585,mid_century,4.5,0.9805,21.102,36.579,239.1813,251.6421,69.2705,36.3336,21.048,35.7266,1.8808
ssp585,mid_century,5.0,0.9684,22.1108,38.1948,242.7077,255.9918,64.9591,38.3416,22.0318,39.9242,4.0635
