year,blooming,harvested,leaves,planted,pods
1980,,,,146.0,
1981,215.17,293.33,272.33,165.0,233.25
1982,,280.67,257.33,138.0,216.5
1983,203.83,277.33,259.25,153.67,223.2
1984,204.0,302.0,262.33,155.88,223.6
1985,199.2,286.0,262.67,141.8,221.25
1986,199.83,292.0,258.17,149.67,220.25
1987,,270.7,246.38,133.0,207.0
1988,197.91,286.04,259.1,134.91,221.12
1989,203.42,292.5,269.84,159.12,224.65
1990,205.88,296.59,270.34,156.33,225.85
1991,188.74,276.26,251.64,137.11,207.42
1992,198.97,283.69,263.5,137.77,219.94
1993,202.5,285.07,264.17,144.4,221.75
1994,195.76,280.4,260.1,140.83,215.41
1995,204.58,278.41,260.0,157.59,223.09
1996,216.61,292.96,271.19,169.75,234.11
1997,201.44,281.58,261.6,136.78,220.48
1998,200.37,280.18,253.06,143.77,219.76
1999,191.28,275.42,253.31,134.97,211.6
2000,194.65,284.0,253.42,133.25,212.91
2001,194.55,283.82,256.2,,210.0
2002,206.33,284.0,261.21,154.3,222.18
2003,205.9,287.1,261.96,148.04,224.21
2004,195.04,275.33,253.74,130.78,211.9
2005,192.75,281.53,255.35,132.96,210.54
2006,202.67,288.78,264.87,145.33,219.33
2007,194.76,280.35,254.74,135.33,213.67
2008,207.92,283.94,262.5,149.65,225.19
2009,206.61,297.44,266.04,151.0,224.64
2010,192.82,271.86,251.67,143.0,209.29
2011,204.65,287.7,264.5,156.24,223.0
2012,192.1,287.67,255.74,127.7,210.63
2013,200.38,286.88,260.59,143.67,214.25
2014,192.6,299.0,262.95,142.76,207.63
2015,199.3,280.0,259.18,141.26,211.67
2016,196.67,288.67,263.52,147.16,213.0
2017,197.0,286.6,262.1,144.0,212.17
2018,187.67,286.36,254.86,132.3,201.69
2019,214.35,292.09,272.41,162.55,230.0
2020,196.21,284.36,260.08,135.79,213.25
2021,196.2,290.5,258.08,136.0,212.12
2022,200.06,286.67,263.55,142.0,215.71
2023,200.29,287.26,262.92,133.26,215.12
2024,195.67,284.67,258.61,140.35,211.17
2025,198.42,287.99,256.7,134.5,212.5
2026,198.16,,259.06,129.0,210.94
