variable,count,mean,std,min,25%,50%,75%,max,cv_%
yield_bu_ac,3985.0,44.371,9.634,17.0,37.2,43.8,51.5,73.3,21.7
yield_kg_ha,3985.0,2983.997,647.876,1143.266,2501.736,2945.592,3463.425,4929.496,21.7
yield_anom,3985.0,0.0,5.027,-25.9,-2.897,0.698,3.53,14.37,1.468325865493033e+16
acres_planted,3985.0,57418.093,29550.614,800.0,34500.0,59800.0,80300.0,128000.0,51.5
production_bu,3985.0,2636563.388,1608123.874,25100.0,1383500.0,2466000.0,3754400.0,8051000.0,61.0
pcp_grow,3985.0,24.449,4.93,10.47,20.78,24.41,27.82,42.38,20.2
pcp_critical,3985.0,7.987,2.479,2.26,6.18,7.82,9.54,18.73,31.0
tmp_grow,3985.0,66.397,2.108,60.05,64.9,66.3,67.783,73.85,3.2
tmax_critical,3985.0,84.313,2.739,76.9,82.45,84.1,86.05,93.4,3.2
pdsi08,3985.0,0.791,2.032,-4.89,-0.8,1.03,2.35,6.77,257.0
zndx08,3985.0,0.308,1.986,-3.95,-1.11,0.11,1.45,9.79,645.8
