year,ge_aug,yield_anom,season_edd,wb_min_water_frac,win_prcp_mm
1986,72.6,1.187,6.351,0.208,101.195
1987,78.4,2.265,21.437,0.198,98.031
1988,14.5,-9.162,75.328,0.202,109.473
1989,83.25,-1.191,1.716,0.51,215.895
1990,65.25,1.994,7.159,0.51,137.86
1991,14.25,0.093,20.196,0.173,118.674
1992,75.8,3.198,1.202,0.544,149.492
1993,79.8,5.474,5.049,0.559,183.503
1994,68.0,5.428,6.559,0.241,83.181
1995,60.0,-1.693,12.395,0.213,62.425
1996,40.0,-3.94,3.463,0.229,99.252
1997,54.0,0.451,5.223,0.449,102.23
1998,69.0,-1.385,6.214,0.188,98.301
1999,33.0,-5.147,36.472,0.07,55.346
2000,69.5,2.325,7.081,0.321,163.894
2001,67.75,4.17,20.729,0.307,154.562
2002,35.75,-5.255,22.255,0.122,77.984
2003,58.2,-7.214,7.715,0.365,153.808
2004,73.2,4.919,1.182,0.448,137.202
2005,51.75,2.158,24.248,0.205,136.398
2006,70.5,2.316,9.189,0.409,179.504
2007,40.0,-3.432,27.889,0.285,154.84
2008,60.0,-4.331,3.88,0.249,104.64
2009,62.8,-0.279,1.365,0.296,95.869
2010,59.8,-2.237,16.804,0.157,71.646
2011,45.25,-5.358,15.634,0.162,96.38
2012,18.5,-7.392,73.117,0.145,191.569
2013,73.25,-0.236,11.173,0.14,58.691
2014,68.8,3.197,2.976,0.339,178.246
2015,45.6,-2.242,2.813,0.21,87.698
2016,73.5,3.789,10.448,0.396,187.926
2017,54.0,0.427,6.029,0.196,79.571
2018,69.5,2.919,9.47,0.328,227.657
2019,34.0,-3.99,4.206,0.206,93.181
2020,66.2,3.368,7.891,0.275,92.025
2021,68.6,3.837,11.449,0.218,113.373
2022,53.5,1.031,12.023,0.294,142.907
2023,67.75,3.449,21.024,0.159,94.494
2024,69.75,0.946,26.344,0.102,84.534
