variable,r_detrended,r2,r_raw_yield,r_champaign,n
zndx08_z,0.4972,0.2472,0.2544,0.3624,3985
heat_x_dry,-0.4968,0.2468,-0.2618,-0.36,3985
zndx08_anom,0.4931,0.2432,0.2533,0.3624,3985
zndx08,0.4908,0.2408,0.256,0.3624,3985
zndx_critical,0.4443,0.1974,0.2857,0.3521,3985
tmax_critical_z,-0.4296,0.1845,-0.2984,-0.4185,3985
tmax_critical_anom,-0.4287,0.1838,-0.3015,-0.4185,3985
tmax08_anom,-0.4083,0.1667,-0.2447,-0.4135,3985
tmax08_z,-0.4071,0.1657,-0.2439,-0.4135,3985
pcp08_anom,0.398,0.1584,0.1763,0.1915,3985
pcp08_z,0.3975,0.158,0.1751,0.1915,3985
pcp08,0.3952,0.1562,0.1786,0.1915,3985
pcp_critical_anom,0.3918,0.1535,0.2356,0.2275,3985
pcp_critical,0.3908,0.1527,0.2369,0.2275,3985
pcp_critical_z,0.3882,0.1507,0.2327,0.2275,3985
zndx_jja,0.3751,0.1407,0.2984,0.3627,3985
tmp_range_crit,-0.3678,0.1352,-0.4558,-0.3627,3985
tmax_critical,-0.3568,0.1273,-0.3243,-0.4185,3985
pcp_grow_cv,-0.3511,0.1232,-0.146,-0.225,3985
pcp_summer,0.3408,0.1162,0.3021,0.3167,3985
tmax08,-0.3406,0.116,-0.2804,-0.4135,3985
tmp_critical_z,-0.3229,0.1043,-0.1899,-0.2955,3985
tmax_summer,-0.3222,0.1038,-0.2432,-0.3831,3985
tmax_jja,-0.3222,0.1038,-0.2432,-0.3831,3985
tmp_critical_anom,-0.3207,0.1029,-0.1891,-0.2955,3985
pdsi08_anom,0.3014,0.0908,0.2461,0.2355,3985
pdsi08_z,0.3012,0.0907,0.2446,0.2355,3985
pdsi08,0.3006,0.0904,0.2493,0.2355,3985
tmax07,-0.298,0.0888,-0.3003,-0.3185,3985
tmp_critical,-0.2514,0.0632,-0.2351,-0.2955,3985
pdsi_critical,0.237,0.0562,0.2377,0.2574,3985
tmp_summer,-0.2264,0.0512,-0.1518,-0.272,3985
tmp08,-0.2253,0.0507,-0.1882,-0.2554,3985
zndx07,0.2132,0.0455,0.193,0.1911,3985
tmp07,-0.2076,0.0431,-0.2174,-0.2215,3985
tmp_grow_z,-0.1921,0.0369,0.1541,-0.2426,3985
pcp04,-0.1882,0.0354,-0.0114,0.0873,3985
tmp_grow_anom,-0.1875,0.0351,0.1556,-0.2426,3985
tmp_grow_sd,-0.1857,0.0345,-0.194,-0.0591,3985
pdsi_jja,0.1752,0.0307,0.2118,0.2328,3985
pcp07,0.1621,0.0263,0.1525,0.1108,3985
pdsi07,0.1568,0.0246,0.2105,0.2611,3985
pcp05,-0.1373,0.0188,-0.1412,-0.2321,3985
tmin10,0.1258,0.0158,0.2418,0.0645,3985
tmp_grow,-0.1194,0.0142,-0.0103,-0.2426,3985
tmp06,-0.1045,0.0109,0.0617,-0.0884,3985
pdsi_may,-0.0905,0.0082,0.0306,0.0647,3985
pcp_prevND,-0.0813,0.0066,-0.2254,-0.1766,3985
pcp09,-0.0786,0.0062,-0.0719,-0.2075,3985
pcp_grow_anom,0.0633,0.004,0.1256,0.0896,3985
pcp_grow,0.062,0.0038,0.1082,0.0896,3985
pcp06,0.0616,0.0038,0.1837,0.2146,3985
pcp_grow_z,0.0613,0.0038,0.1214,0.0896,3985
tmp09,-0.0534,0.0029,0.1426,0.0374,3985
pcp_win,-0.0481,0.0023,0.0797,0.0505,3985
tmin09,0.0448,0.002,0.1861,0.1202,3985
pdsi06,0.03,0.0009,0.1329,0.1542,3985
tmp05,0.0291,0.0008,0.0898,-0.1098,3985
tmin05,0.0289,0.0008,0.1184,-0.1217,3985
tmin04,-0.0082,0.0001,0.0041,-0.0783,3985
tmp04,0.0004,0.0,0.0331,-0.0913,3985
