model,term,coef,se,t,p,ci_low,ci_high
M1 Baseline pooled OLS,Intercept,35.2239,2.85675,12.33008,0.0,29.62478,40.82302
M1 Baseline pooled OLS,PCP,0.59999,0.0514,11.67178,0.0,0.49924,0.70074
M1 Baseline pooled OLS,TMX,-0.47522,0.03283,-14.47449,0.0,-0.53957,-0.41087
M2 Quadratic + interaction,Intercept,-251.57163,50.34255,-4.9972,0.0,-350.24122,-152.90204
M2 Quadratic + interaction,PCP,-1.58211,1.07755,-1.46825,0.14204,-3.69407,0.52985
M2 Quadratic + interaction,PCP2,-0.16067,0.00773,-20.7813,0.0,-0.17582,-0.14552
M2 Quadratic + interaction,TMX,6.38718,1.16702,5.47308,0.0,4.09987,8.6745
M2 Quadratic + interaction,TMX2,-0.04256,0.00682,-6.24038,0.0,-0.05592,-0.02919
M2 Quadratic + interaction,PT,0.0592,0.01249,4.7407,0.0,0.03472,0.08367
M3 M2 + county FE,Intercept,-368.75969,47.26181,-7.80249,0.0,-461.39114,-276.12823
M3 M2 + county FE,PCP,0.0238,1.17181,0.02031,0.98379,-2.27291,2.32052
M3 M2 + county FE,PCP2,-0.15924,0.00768,-20.73269,0.0,-0.17429,-0.14418
M3 M2 + county FE,TMX,9.26396,1.07686,8.60279,0.0,7.15336,11.37455
M3 M2 + county FE,TMX2,-0.06016,0.00619,-9.71893,0.0,-0.07229,-0.04803
M3 M2 + county FE,PT,0.03889,0.01359,2.86181,0.00421,0.01225,0.06552
M4 Two-way FE (county + year),Intercept,-402.21853,64.08146,-6.27668,0.0,-527.81588,-276.62118
M4 Two-way FE (county + year),PCP,0.02954,1.19135,0.0248,0.98022,-2.30546,2.36455
M4 Two-way FE (county + year),PCP2,-0.10856,0.00815,-13.31532,0.0,-0.12454,-0.09258
M4 Two-way FE (county + year),TMX,10.78677,1.53738,7.01633,0.0,7.77356,13.79998
M4 Two-way FE (county + year),TMX2,-0.07219,0.00929,-7.76793,0.0,-0.09041,-0.05398
M4 Two-way FE (county + year),PT,0.0274,0.01361,2.01286,0.04413,0.00072,0.05409
M5 Palmer Z specification,Intercept,-517.0908,51.50698,-10.03924,0.0,-618.04262,-416.13897
M5 Palmer Z specification,zndx08,1.30586,0.04809,27.1523,0.0,1.2116,1.40013
M5 Palmer Z specification,I(zndx08 ** 2),-0.14591,0.00968,-15.07604,0.0,-0.16488,-0.12694
M5 Palmer Z specification,TMX,12.75215,1.23528,10.32329,0.0,10.33105,15.17326
M5 Palmer Z specification,TMX2,-0.07855,0.00741,-10.60667,0.0,-0.09306,-0.06403
"M6 Raw yield, two-way FE",Intercept,-1409.61943,49.38069,-28.54597,0.0,-1506.4038,-1312.83507
"M6 Raw yield, two-way FE",PCP,-0.91548,1.16174,-0.78803,0.43068,-3.19244,1.36148
"M6 Raw yield, two-way FE",PCP2,-0.16055,0.00806,-19.90902,0.0,-0.17636,-0.14475
"M6 Raw yield, two-way FE",TMX,9.62799,1.0699,8.99896,0.0,7.53103,11.72496
"M6 Raw yield, two-way FE",TMX2,-0.06291,0.00614,-10.25272,0.0,-0.07493,-0.05088
"M6 Raw yield, two-way FE",PT,0.05038,0.01332,3.78113,0.00016,0.02427,0.07649
"M6 Raw yield, two-way FE",year,0.53676,0.00757,70.94431,0.0,0.52193,0.55158
"M7 Log yield, county FE",Intercept,-31.5863,1.19686,-26.39096,0.0,-33.9321,-29.24049
"M7 Log yield, county FE",PCP,-0.05124,0.02857,-1.79376,0.07285,-0.10723,0.00475
"M7 Log yield, county FE",PCP2,-0.00346,0.00019,-18.33752,0.0,-0.00383,-0.00309
"M7 Log yield, county FE",TMX,0.29108,0.02735,10.64088,0.0,0.23746,0.34469
"M7 Log yield, county FE",TMX2,-0.00189,0.00016,-11.6799,0.0,-0.00221,-0.00158
"M7 Log yield, county FE",PT,0.00147,0.00033,4.43001,1e-05,0.00082,0.00212
"M7 Log yield, county FE",year,0.01196,0.00017,69.38693,0.0,0.01162,0.0123
