feature,importance,sd
heat_x_dry,0.10489062761281671,0.02479607405230773
pcp_grow_cv,0.04745839481067655,0.015427031264675832
pcp_grow,0.04106949276197768,0.009901853270389933
tmp_grow_sd,0.03350165192366397,0.00895094557224835
climate_normal_tmax,0.025850286847658156,0.009402283880991891
pdsi_critical,0.02381680570844615,0.00471846453244807
zndx08,0.012480341711879664,0.013745543635512862
pcp_critical,0.010398908034434448,0.003390969007643784
zndx07,0.005033492865049459,0.004856424614813426
pdsi08,0.0033119916067560298,0.0013776772475601181
tmp_grow,0.0031231688384697567,0.004979403073201657
tmin10,0.001936011715652099,0.004732221344176366
pcp08,0.001359051295274268,0.000802128540912113
climate_normal_pcp,0.0005782330793700127,0.0018576336029402548
hot_month_count,-0.00030699708037123147,0.001691254719988108
pcp07,-0.0015840757738376694,0.000900119970717796
dry_month_count,-0.0017888005473030617,0.003033438004292641
pcp_win,-0.003865157366322971,0.00788569039881822
tmax08,-0.0039528239365739515,0.005950965164964121
tmax_critical,-0.005173154914859322,0.002455680637718862
