county,fips5,ag_district,n,r_moisture,r_precip,r_heat,beta_moisture_bu_per_sd,beta_heat_bu_per_sd,yield_recent,trend,volatility,normal_pcp,normal_tmax,sensitivity_index
HARRISON,18061,SOUTH CENTRAL,45,0.776,0.6886,-0.6503,4.499,-2.6472,51.66,0.553,7.4771,7.9936,86.8456,0.9873
LAWRENCE,18093,SOUTH CENTRAL,43,0.7264,0.719,-0.711,2.8316,-2.6378,51.6333,0.5988,5.8465,8.2612,85.4709,0.9873
ORANGE,18117,SOUTH CENTRAL,43,0.6533,0.7219,-0.7067,2.9108,-3.7571,59.6125,0.7325,7.487,8.0777,86.0488,0.9494
WASHINGTON,18175,SOUTH CENTRAL,45,0.7513,0.7422,-0.592,3.8239,-1.9932,53.22,0.6266,6.2906,7.9536,85.7089,0.9304
SHELBY,18145,CENTRAL,46,0.6255,0.5817,-0.6073,2.5702,-2.403,59.1273,0.57,5.6128,7.9626,84.4543,0.9114
WARRICK,18173,SOUTHWEST,42,0.659,0.5465,-0.605,2.3903,-1.8318,55.5556,0.676,5.0491,7.5421,87.4643,0.9114
DUBOIS,18037,SOUTHWEST,45,0.6142,0.5551,-0.6108,2.2884,-2.251,57.84,0.6617,5.5685,7.9764,86.6522,0.8987
SPENCER,18147,SOUTHWEST,44,0.6617,0.6037,-0.5756,2.6335,-1.6809,55.0889,0.6782,5.302,7.442,87.3943,0.8861
CLARK,18019,SOUTHEAST,46,0.6027,0.5423,-0.6269,2.4617,-2.7299,48.2,0.4721,6.119,8.3113,86.7848,0.8797
WAYNE,18177,EAST CENTRAL,45,0.5928,0.4677,-0.6484,2.3553,-2.8682,57.27,0.5698,5.7781,7.8122,83.3044,0.8734
JOHNSON,18081,CENTRAL,43,0.6173,0.6295,-0.5736,2.5704,-2.1719,59.9333,0.556,5.5408,7.9107,84.2128,0.8481
FRANKLIN,18047,SOUTHEAST,46,0.6134,0.5278,-0.571,2.5795,-2.2277,54.9818,0.5273,5.4515,7.828,84.5533,0.8291
MONROE,18105,SOUTH CENTRAL,43,0.5994,0.5966,-0.5449,2.2364,-1.7657,50.6,0.5105,4.9771,8.1712,84.6186,0.7975
BARTHOLOMEW,18005,CENTRAL,44,0.5755,0.5479,-0.5762,2.2776,-2.2847,58.2667,0.5207,5.6334,7.962,84.9489,0.7911
PIKE,18125,SOUTHWEST,42,0.6187,0.6023,-0.473,2.5498,-1.136,55.2143,0.559,5.0102,7.7936,87.0405,0.7722
POSEY,18129,SOUTHWEST,45,0.532,0.4502,-0.6006,1.4163,-2.1116,58.78,0.694,4.766,7.432,87.8333,0.7532
DEARBORN,18029,SOUTHEAST,45,0.6771,0.6514,-0.4373,3.3485,-1.0967,47.61,0.4137,5.5989,7.8002,85.0767,0.7405
JACKSON,18071,SOUTH CENTRAL,42,0.6755,0.6097,-0.4429,3.2868,-0.8765,55.1143,0.5546,5.4771,7.9536,85.4869,0.7405
JENNINGS,18079,SOUTHEAST,45,0.609,0.4762,-0.4683,2.1701,-1.0797,52.94,0.5007,4.3433,8.1764,85.2989,0.7215
DAVIESS,18027,SOUTHWEST,46,0.5573,0.5834,-0.5035,2.244,-1.7412,58.0636,0.6134,5.3581,7.9339,86.4891,0.7152
VANDERBURGH,18163,SOUTHWEST,45,0.5415,0.4317,-0.5284,2.1818,-2.0233,61.77,0.7784,5.928,7.4369,87.7289,0.7089
FAYETTE,18041,EAST CENTRAL,46,0.4621,0.4572,-0.607,1.4302,-2.5236,57.1,0.4956,4.9632,7.7928,83.8326,0.6329
WHITE,18181,NORTHWEST,43,0.523,0.2058,-0.4711,1.8224,-1.4171,57.4875,0.5248,4.5979,8.2628,83.5,0.6203
DECATUR,18031,CENTRAL,46,0.574,0.5291,-0.4316,2.3942,-1.2847,62.7364,0.596,4.9789,8.0828,84.2413,0.6139
GREENE,18055,SOUTHWEST,44,0.4976,0.5267,-0.4891,1.6433,-1.5744,53.89,0.5581,4.6427,8.0586,85.6455,0.6076
KOSCIUSKO,18085,NORTH CENTRAL,46,0.5889,0.4338,-0.3994,2.2569,-0.8378,54.9818,0.5665,4.416,7.9589,82.5685,0.6013
HANCOCK,18059,CENTRAL,46,0.5023,0.3525,-0.4766,1.9142,-1.7377,54.9273,0.461,4.8371,8.018,83.8326,0.6013
JEFFERSON,18077,SOUTHEAST,42,0.5885,0.5267,-0.3973,2.6874,-0.8958,44.9625,0.3665,5.2372,8.4005,85.8095,0.5886
UNION,18161,EAST CENTRAL,45,0.4508,0.4334,-0.5918,1.526,-2.6367,59.8545,0.5441,5.299,7.7536,84.1422,0.5759
GIBSON,18051,SOUTHWEST,45,0.4801,0.4914,-0.5074,1.4564,-1.7167,59.2455,0.6652,4.8087,7.5418,87.3678,0.5759
RUSH,18139,CENTRAL,45,0.4531,0.441,-0.5298,1.3622,-1.9659,60.51,0.5332,4.7336,8.0416,83.7833,0.5443
MORGAN,18109,CENTRAL,45,0.4548,0.4409,-0.5146,1.8228,-2.3469,57.41,0.5168,5.7711,8.0278,84.2267,0.538
WHITLEY,18183,NORTHEAST,46,0.5483,0.413,-0.389,2.598,-1.0628,52.5909,0.5015,5.5589,8.0454,82.6685,0.5316
NEWTON,18111,NORTHWEST,45,0.5506,0.3028,-0.3861,2.2901,-0.9096,57.8364,0.5617,4.8553,8.2038,83.53,0.5253
BENTON,18007,NORTHWEST,46,0.4907,0.3004,-0.4549,1.9351,-1.5964,63.0727,0.6623,5.3543,8.0624,83.513,0.519
HENRY,18065,EAST CENTRAL,44,0.4811,0.3264,-0.4697,1.7996,-1.7132,56.34,0.5184,4.9624,8.0702,83.1739,0.519
LA PORTE,18091,NORTHWEST,46,0.6037,0.4776,-0.2826,2.647,-0.4607,54.6545,0.567,4.629,8.2926,82.2543,0.519
NOBLE,18113,NORTHEAST,46,0.5336,0.4872,-0.3736,1.9224,-0.9279,53.3455,0.4776,4.1733,7.8254,82.2141,0.5
RIPLEY,18137,SOUTHEAST,45,0.5618,0.4619,-0.3194,2.1859,-0.485,50.89,0.439,4.2334,8.1331,84.3944,0.4937
KNOX,18083,SOUTHWEST,43,0.4705,0.514,-0.4584,1.6269,-1.5265,58.4556,0.6797,4.8093,7.7295,86.7523,0.4873
CLAY,18021,WEST CENTRAL,45,0.4906,0.5497,-0.4257,1.949,-1.4429,55.8,0.5459,5.0196,7.8827,85.3489,0.4747
VERMILLION,18165,WEST CENTRAL,42,0.4079,0.3951,-0.487,1.2492,-1.9292,57.8143,0.5785,5.0263,7.7726,85.0893,0.4494
WABASH,18169,NORTH CENTRAL,45,0.5188,0.3144,-0.3692,2.1501,-1.1035,54.42,0.4842,4.8087,8.0569,83.3644,0.443
RANDOLPH,18135,EAST CENTRAL,45,0.4617,0.1971,-0.4449,1.7692,-1.6399,57.04,0.6316,5.0541,7.7458,82.8611,0.443
PULASKI,18131,NORTHWEST,43,0.5228,0.3266,-0.3272,2.1288,-0.7801,50.6667,0.468,4.5744,8.6284,83.1733,0.4367
MIAMI,18103,NORTH CENTRAL,45,0.4698,0.2606,-0.4263,1.5522,-1.2614,54.61,0.485,4.2722,8.142,83.2711,0.4367
VIGO,18167,WEST CENTRAL,44,0.421,0.4759,-0.471,1.3605,-1.7786,54.1778,0.5457,4.9533,7.7007,85.8443,0.4367
WARREN,18171,WEST CENTRAL,44,0.406,0.3101,-0.476,1.4268,-1.95,64.4778,0.7373,5.0638,7.8759,84.0057,0.4241
HUNTINGTON,18069,NORTHEAST,46,0.4657,0.2178,-0.4136,1.8584,-1.4268,56.1636,0.5621,5.1505,8.052,83.338,0.4051
HAMILTON,18057,CENTRAL,46,0.5168,0.233,-0.3123,2.1233,-0.8564,59.4636,0.5843,4.5494,7.777,83.5652,0.3987
