county,fips5,ag_district,baseline_yield,d_S1 Baseline,d_S2 +1C,d_S3 -10% precip,d_S4 +1C and -10% precip,d_S5 +2C,d_S6 +2C and -20% precip,pct_S4
ADAMS,18001,NORTHEAST,45.0178,0.0,0.3351,-0.0276,0.2434,0.4619,0.5943,0.5407
ALLEN,18003,NORTHEAST,44.737,0.0,0.5546,0.4376,0.704,0.7173,0.7039,1.5736
BARTHOLOMEW,18005,CENTRAL,45.8273,0.0,0.0815,0.1501,0.3164,-0.3757,-0.0484,0.6905
BENTON,18007,NORTHWEST,49.6674,0.0,0.0821,0.2853,0.261,0.1615,0.3878,0.5254
BLACKFORD,18009,EAST CENTRAL,44.8182,0.0,0.5093,0.5914,0.7641,0.5864,0.8206,1.7048
BOONE,18011,CENTRAL,49.2696,0.0,-0.0311,0.1223,0.2824,0.0653,0.4164,0.5733
CARROLL,18015,NORTH CENTRAL,51.1419,0.0,0.4667,0.5863,0.6741,0.4284,0.6317,1.3181
CASS,18017,NORTH CENTRAL,47.8837,0.0,0.5881,0.5655,0.7071,0.6815,0.7882,1.4767
CLARK,18019,SOUTHEAST,39.1478,0.0,-0.6586,0.4129,-0.2581,-1.1889,-0.5833,-0.6593
CLAY,18021,WEST CENTRAL,44.02,0.0,-0.2729,-0.104,-0.0828,-1.0628,-0.6579,-0.1882
CLINTON,18023,CENTRAL,51.4133,0.0,0.1994,0.4459,0.5425,0.3022,0.7581,1.0552
DAVIESS,18027,SOUTHWEST,45.2196,0.0,-0.8963,0.0259,-0.5788,-1.6553,-1.1112,-1.28
DE KALB,18033,NORTHEAST,39.7977,0.0,0.3314,0.1005,0.3478,0.3342,0.1823,0.874
DEARBORN,18029,SOUTHEAST,38.7867,0.0,0.4147,0.1997,0.4896,-0.0957,-0.0107,1.2623
DECATUR,18031,CENTRAL,50.3217,0.0,0.5943,0.5165,0.8991,0.1795,0.5379,1.7867
DELAWARE,18035,EAST CENTRAL,45.6933,0.0,0.2176,0.3557,0.4583,0.2312,0.5029,1.003
DUBOIS,18037,SOUTHWEST,44.0756,0.0,-0.9871,-0.1752,-0.7563,-1.758,-1.2847,-1.716
ELKHART,18039,NORTH CENTRAL,44.9205,0.0,0.7701,0.4141,0.8653,0.8752,0.814,1.9263
FAYETTE,18041,EAST CENTRAL,46.9783,0.0,-0.284,-0.0361,-0.0059,-0.2644,0.019,-0.0126
FRANKLIN,18047,SOUTHEAST,44.8435,0.0,-0.2006,0.1459,0.0324,-0.2805,-0.0272,0.0724
FULTON,18049,NORTH CENTRAL,43.5044,0.0,0.4741,0.4232,0.5702,0.6378,0.7213,1.3108
GIBSON,18051,SOUTHWEST,44.5578,0.0,-1.3267,-0.2264,-1.0588,-1.9128,-1.5641,-2.3762
GRANT,18053,CENTRAL,47.0182,0.0,0.2053,0.305,0.4721,0.2704,0.6185,1.0042
GREENE,18055,SOUTHWEST,42.4636,0.0,-0.3985,0.0092,-0.1175,-1.064,-0.6113,-0.2766
HAMILTON,18057,CENTRAL,49.1457,0.0,0.0672,0.2453,0.2241,0.1516,0.3961,0.456
HANCOCK,18059,CENTRAL,46.6696,0.0,0.0689,0.3513,0.3092,0.0409,0.304,0.6625
HARRISON,18061,SOUTH CENTRAL,38.4911,0.0,-0.4261,0.4735,-0.2196,-0.9695,-0.6254,-0.5704
HENDRICKS,18063,CENTRAL,47.3043,0.0,-0.3782,-0.2087,-0.2135,-0.3115,0.0284,-0.4514
HENRY,18065,EAST CENTRAL,46.575,0.0,0.1397,0.2943,0.4767,0.2837,0.696,1.0234
HOWARD,18067,CENTRAL,51.1804,0.0,0.4061,0.5016,0.6481,0.5401,0.881,1.2663
HUNTINGTON,18069,NORTHEAST,45.6304,0.0,0.4017,0.3422,0.4414,0.4425,0.4129,0.9674
JACKSON,18071,SOUTH CENTRAL,41.4905,0.0,0.1011,0.188,0.2485,-0.4563,-0.2545,0.599
JASPER,18073,NORTHWEST,45.1727,0.0,0.2945,0.4127,0.4596,0.45,0.6364,1.0174
JAY,18075,EAST CENTRAL,42.7667,0.0,0.3864,0.2145,0.5369,0.4042,0.5685,1.2555
