column,dtype,non_null,nulls,distinct,min,max,example
state,text,3341,0,1,,,MINNESOTA
state_ansi,number,3341,0,1,27.0,27.0,27
county,text,3341,0,84,,,AITKIN
county_ansi,text,3341,0,84,,,001
fips5,text,3341,0,84,,,27001
ag_district,text,3341,0,8,,,EAST CENTRAL
ag_district_code,number,3341,0,8,10.0,90.0,60
year,number,3341,0,46,1980.0,2025.0,1980
produced_soy,number,3341,0,1,1.0,1.0,1.0
acres_planted,number,3341,0,1465,100.0,326000.0,500.0
acres_harvested,number,3340,1,1617,100.0,324000.0,500.0
production_bu,number,3340,1,3071,1700.0,13025000.0,9300.0
yield_bu_ac,number,3340,1,402,7.0,67.4,19.0
yield_kg_ha,number,3340,1,402,470.757,4532.715,1277.7683375285155
production_tonnes,number,3340,1,3071,46.266,354481.888,253.10415
area_harvested_ha,number,3340,1,1617,40.469,131118.148,202.342821
pcp04,number,3341,0,648,0.0,8.39,0.45
pcp05,number,3341,0,735,0.26,12.14,1.4
pcp06,number,3341,0,858,0.14,13.12,3.07
pcp07,number,3341,0,752,0.31,11.76,3.56
pcp08,number,3341,0,757,0.36,15.71,4.15
pcp09,number,3341,0,763,0.08,12.04,4.48
tmp04,number,3341,0,226,29.4,54.1,44.2
tmp05,number,3341,0,192,46.1,66.1,57.3
tmp06,number,3341,0,174,56.3,75.1,62.1
tmp07,number,3341,0,171,59.6,78.6,68.6
tmp08,number,3341,0,165,58.0,76.4,64.8
tmp09,number,3341,0,170,50.2,68.1,53.4
pcp_win,number,3341,0,655,0.3,7.0,2.17
pcp_prevND,number,3341,0,713,0.08,8.43,1.48
tmin04,number,3341,0,208,19.7,42.1,30.4
tmin05,number,3341,0,195,32.9,54.4,42.2
tmin09,number,3341,0,173,37.7,57.3,43.0
tmin10,number,3341,0,189,24.6,46.0,30.2
tmax07,number,3341,0,187,70.6,90.9,81.9
tmax08,number,3341,0,177,68.7,89.6,75.8
tmax_jja,number,3341,0,631,70.867,88.733,77.56666666666666
pdsi06,number,3341,0,1018,-7.64,8.47,-3.01
pdsi07,number,3341,0,1068,-8.29,9.27,-3.27
pdsi08,number,3341,0,1073,-7.5,9.79,-3.02
pdsi_jja,number,3341,0,2205,-7.683,9.01,-3.1
pdsi_may,number,3341,0,978,-6.27,10.02,-2.42
zndx07,number,3341,0,1004,-6.07,9.42,-1.71
zndx08,number,3341,0,957,-4.64,12.54,-0.26
zndx_jja,number,3341,0,2053,-5.03,6.703,-1.4933333333333332
pcp_grow,number,3341,0,1896,8.65,41.08,17.11
pcp_critical,number,3341,0,1226,1.92,19.15,7.710000000000001
pcp_summer,number,3341,0,1477,3.59,26.11,10.78
tmp_grow,number,3341,0,988,53.533,66.3,58.4
tmp_critical,number,3341,0,358,60.05,76.95,66.69999999999999
tmp_summer,number,3341,0,589,59.6,74.9,65.16666666666667
tmax_critical,number,3341,0,396,71.4,88.9,78.85
tmax_summer,number,3341,0,631,70.867,88.733,77.56666666666666
tmp_range_crit,number,3341,0,968,28.5,49.6,42.24999999999999
pcp_grow_cv,number,3341,0,3341,0.061,1.289,0.5602393683760043
tmp_grow_sd,number,3341,0,3310,6.361,14.827,8.792496801250483
pdsi_critical,number,3341,0,1791,-7.895,9.49,-3.145
zndx_critical,number,3341,0,1673,-4.625,6.385,-0.985
drought_flag,number,3341,0,2,0.0,1.0,1
severe_drought,number,3341,0,2,0.0,1.0,1
hot_month_count,number,3341,0,3,0.0,2.0,0
dry_month_count,number,3341,0,3,0.0,2.0,0
heat_x_dry,number,3341,0,3299,-1015.74,383.728,20.501
pcp_grow_anom,number,3341,0,3302,-11.018,17.923,-2.987424242424243
pcp_grow_z,number,3341,0,3309,-2.496,3.753,-0.7267572603630069
pcp_critical_anom,number,3341,0,3281,-5.186,11.086,0.1853030303030314
pcp_critical_z,number,3341,0,3295,-1.891,3.658,0.0680468409556166
pcp08_anom,number,3341,0,3189,-3.43,11.739,0.5140151515151521
pcp08_z,number,3341,0,3214,-2.104,5.114,0.2959877098258903
tmp_grow_anom,number,3341,0,3228,-3.68,4.708,1.4442171717171632
tmp_grow_z,number,3341,0,3232,-2.161,2.74,0.8523051256099893
tmp_critical_anom,number,3341,0,2798,-7.367,5.732,0.925757575757558
tmp_critical_z,number,3341,0,2909,-3.335,2.721,0.4508791732003187
tmax_critical_anom,number,3341,0,2901,-9.61,6.076,1.2662878787878782
tmax_critical_z,number,3341,0,3011,-3.423,2.535,0.5534677503096475
tmax08_anom,number,3341,0,2618,-8.469,8.031,-0.4136363636363711
tmax08_z,number,3341,0,2715,-2.615,2.576,-0.1432492141773457
pdsi08_anom,number,3341,0,3207,-7.696,9.188,-2.846742424242424
pdsi08_z,number,3341,0,3250,-2.891,3.462,-1.2033643654978037
zndx08_anom,number,3341,0,3236,-4.692,12.414,-0.0089393939393939
zndx08_z,number,3341,0,3263,-2.126,4.857,-0.0038882468209922
climate_normal_pcp,number,3341,0,84,5.682,8.134,7.524696969696969
climate_normal_tmax,number,3341,0,84,76.941,83.276,77.58371212121212
trend_slope,number,3332,9,83,0.011,1.364,0.2905636276544783
yield_trend,number,3332,9,3332,17.226,60.635,21.49666294108272
yield_anom,number,3332,9,3332,-28.293,18.496,-2.496662941082718
log_yield,number,3340,1,402,1.946,4.211,2.9444389791664403
n_years_county,number,3341,0,21,1.0,46.0,20
in_balanced_panel,number,3341,0,2,0.0,1.0,0
is_focal,number,3341,0,2,0.0,1.0,0
