feature,importance,sd,kind
pcp_grow,0.15742201363865563,0.01779193484901243,climate
pdsi_critical,0.07708599188359187,0.035035604448526624,climate
climate_normal_tmax,0.03138025947586135,0.009283565460875028,climate
tmp_grow,0.029733737981730252,0.02027009544362316,climate
zndx07,0.01299143686462804,0.009231745383030903,climate
soil_bd_topsoil,0.0027632756690683102,0.0006797561534617384,soil
soil_clay_topsoil,0.000900549026708238,0.0004980942415527761,soil
soil_bd_subsoil,0.0008753544689950229,0.001041657099382073,soil
soil_drain_somewhat_poorly_pct,0.0008502204611454123,0.0005803316482827794,soil
soil_awc_subsoil,0.0007150753869678561,0.00045359879946137036,soil
soil_aws_0_100cm,0.000582893535492901,0.0004112417329463106,soil
soil_ksat_subsoil,0.00032454359144753103,0.0003824706094553115,soil
soil_awc_topsoil,0.00028922389591788206,0.0007466433204882014,soil
soil_slope,0.0001693413697245738,0.0010461515142859714,soil
soil_cec_subsoil,0.0,0.0,soil
hot_month_count,0.0,0.0,climate
soil_drain_well_pct,-0.0001082619807245185,0.00044488192139735175,soil
soil_silt_subsoil,-0.0002210436762953664,0.0004940724501037073,soil
soil_om_topsoil,-0.00029190998860534334,0.0012104190347954537,soil
pcp_grow_cv,-0.00047154306870254387,0.009834111113376754,climate
soil_silt_topsoil,-0.0006891997601245295,0.0011259637360205878,soil
soil_cec_topsoil,-0.001399780012203496,0.001200557389782333,soil
soil_ph_topsoil,-0.00147971186829704,0.0014412258261053764,soil
soil_ksat_topsoil,-0.0017328746155914065,0.0014470078606496671,soil
soil_clay_subsoil,-0.0018225697137486858,0.0013031526526193484,soil
soil_sand_topsoil,-0.0023137462683060863,0.0016101595419859458,soil
pcp_critical,-0.003226145709827081,0.03402641319274341,climate
tmax_critical,-0.0033070938003482153,0.015751908940417274,climate
soil_sand_subsoil,-0.004050447634007304,0.004245775136581031,soil
pcp08,-0.008406362433555506,0.011419768456928667,climate
soil_mollisol_pct,-0.01009838849549514,0.002080620988172653,soil
soil_drain_poorly_pct,-0.010353509691597188,0.003038759668553255,soil
soil_drain_mod_well_pct,-0.01092344156532469,0.0035902206001669963,soil
soil_om_subsoil,-0.013667662667893118,0.002736197577000125,soil
soil_ph_subsoil,-0.014252307172011444,0.002278741681642377,soil
pcp_win,-0.01750949825698861,0.014504382750892603,climate
heat_x_dry,-0.020980298733408804,0.0038473341418297463,climate
zndx08,-0.026199538033318686,0.006334301215124197,climate
tmax08,-0.026387553121690166,0.0056925542255586705,climate
climate_normal_pcp,-0.03531294114778997,0.010829328173779873,climate
pdsi08,-0.03685008785691005,0.0039540044663352834,climate
pcp07,-0.037452571227227026,0.015406533574049952,climate
dry_month_count,-0.04869523793428476,0.01931457271653772,climate
tmin10,-0.10187143984852819,0.01637977125613044,climate
tmp_grow_sd,-0.15076937075636118,0.013340556073647944,climate
