feature,r,abs_r
end_doy,-0.26416,0.26416
window_days,0.24906,0.24906
win_hot_days,-0.20982,0.20982
wb_season_deficit_mm,-0.19476,0.19476
win_edd,-0.18239,0.18239
win_prcp_mm,0.1812,0.1812
season_gdd,0.15104,0.15104
win_gdd,0.13751,0.13751
win_water_deficit_mm,-0.11632,0.11632
wb_min_water_frac,0.10719,0.10719
wb_stress_days,-0.10686,0.10686
season_edd,-0.08068,0.08068
win_vpd_mean,-0.06252,0.06252
win_tmax_mean,0.06182,0.06182
win_et0_mm,0.04735,0.04735
season_prcp_mm,0.041,0.041
win_vpd_max,-0.02941,0.02941
plant_doy,0.02196,0.02196
