feature,importance,sd,kind
pcp_grow,0.15459968927167558,0.010213352426570736,calendar
end_doy,0.10156117725464246,0.01673229569717167,process
win_gdd,0.025698564790131995,0.005276521239249721,process
season_gdd,0.023609863811918836,0.0050662433997896725,process
season_prcp_mm,0.014287527082141057,0.0063662485097787875,process
win_vpd_max,0.013552699987237737,0.0035739932250250673,process
season_edd,0.010965253762696395,0.004863656465957398,process
win_et0_mm,0.010885352420348196,0.003756255917961544,process
tmp_grow,0.005029719691019415,0.006021029546756282,calendar
win_prcp_mm,0.004474096069840765,0.008421117188691978,process
window_days,0.003641550866132918,0.0018421255737185666,process
wb_min_water_frac,0.001147061263894485,0.016444298749460327,process
plant_doy,0.0006965635171969168,0.015684651153830477,process
hot_month_count,0.0,0.0,calendar
win_edd,-0.0023729829492592502,0.0020082049323451702,process
pcp_grow_cv,-0.002387908796791053,0.0024528816934880145,calendar
pcp08,-0.002715025204615492,0.0033087054593774574,calendar
climate_normal_tmax,-0.0028549994784190327,0.0017746569865270546,calendar
pcp_win,-0.0033574635037087277,0.013122194034835914,calendar
win_vpd_mean,-0.003965533011386506,0.0010888845827837417,process
zndx07,-0.004229354642011167,0.009813681302522411,calendar
win_hot_days,-0.004701083293419506,0.0036166599205089676,process
wb_season_deficit_mm,-0.00834868499315955,0.0019450745784792749,process
tmax08,-0.008406812469534453,0.003979707428840583,calendar
win_water_deficit_mm,-0.00877871577290873,0.004893317266287404,process
wb_stress_days,-0.011322797704346113,0.0028352682591412715,process
pdsi_critical,-0.013652001708328032,0.03205881130585444,calendar
tmax_critical,-0.018320045691898785,0.0038681774231522463,calendar
heat_x_dry,-0.022175303704111193,0.004037819168977727,calendar
win_tmax_mean,-0.02343304078047098,0.005103230534029048,process
dry_month_count,-0.02635087119620812,0.01965224366770692,calendar
pcp07,-0.031096158268909196,0.007387890677198345,calendar
pcp_critical,-0.040393830384699236,0.011938448310871945,calendar
climate_normal_pcp,-0.04088056504687811,0.013684614876625076,calendar
pdsi08,-0.042521661766111475,0.00687967090845691,calendar
zndx08,-0.050284390048667714,0.009391084704085766,calendar
tmp_grow_sd,-0.09044273131523894,0.012467294310910173,calendar
tmin10,-0.10821030507178632,0.014605853073809887,calendar
